date,open,high,low,close,volume,adjusted
2017-12-19,11.685,11.685,11.685,11.685,0,11.057298
2017-12-20,11.6568,11.6568,11.6568,11.6568,0,11.030612
2017-12-21,11.6804,11.6804,11.6804,11.6804,0,11.052945
2017-12-22,11.6655,11.6655,11.6655,11.6655,0,11.038845
2017-12-27,11.662,11.662,11.662,11.662,0,11.035532
2017-12-28,11.6511,11.6511,11.6511,11.6511,0,11.025219
2017-12-29,11.6104,11.6104,11.6104,11.6104,0,10.986705
2018-01-03,11.7059,11.7059,11.7059,11.7059,0,11.077075
2018-01-04,11.7806,11.7806,11.7806,11.7806,0,11.147762
2018-01-05,11.88,11.88,11.878,11.878,31400,11.23993
2018-01-08,11.886,11.892,11.886,11.892,60500,11.253179
2018-01-09,11.95,11.97,11.95,11.97,7080,11.326988
2018-01-10,11.994,11.994,11.894,11.91,10140,11.27021
2018-01-11,11.926,11.934,11.918,11.918,14120,11.277781
2018-01-12,11.988,11.988,11.988,11.988,3667,11.34402
2018-01-15,12.038,12.058,12.038,12.058,6155,11.41026
2018-01-16,12.072,12.084,12.072,12.084,10470,11.434864
2018-01-17,11.992,11.992,11.992,11.992,5400,11.347806
2018-01-18,12.014,12.014,12.006,12.006,9900,11.361053
2018-01-19,12.01,12.036,12.008,12.036,13665,11.389442
2018-01-22,12.03,12.072,12.03,12.06,11830,11.412153
2018-01-23,12.198,12.198,12.116,12.12,18299,11.46893
2018-01-24,12.096,12.096,12.072,12.072,5850,11.423507
2018-01-25,12.03,12.076,12.03,12.036,7860,11.389442
2018-01-26,12.06,12.088,12.06,12.088,8500,11.438649
2018-01-29,12.106,12.106,12.096,12.096,2800,11.446218
2018-01-30,12.064,12.064,11.99,11.99,17399,11.345913
2018-01-31,12.048,12.048,11.958,11.958,5130,11.317709
2018-02-01,11.964,11.964,11.956,11.956,7200,11.315816
2018-02-02,11.816,11.846,11.816,11.846,7920,11.211705
2018-02-05,11.67,11.712,11.67,11.712,4290,11.084881
