date,open,high,low,close,volume,adjusted
2019-05-20,10,10,10,10,0,9.980463
2019-05-21,9.9995,9.9995,9.9995,9.9995,0,9.979963
2019-05-22,10.0077,10.0077,10.0077,10.0077,0,9.988148
2019-05-23,10.0192,10.0192,10.0192,10.0192,0,9.999625
2019-05-24,10.019,10.019,10.019,10.019,0,9.999425
2019-05-27,NA,NA,NA,NA,NA,NA
2019-05-28,10.0331,10.0331,10.0331,10.0331,0,10.013498
2019-05-29,10.0539,10.0539,10.0539,10.0539,0,10.034258
2019-05-31,10.0866,10.0866,10.0866,10.0866,0,10.066894
2019-06-03,10.1123,10.1123,10.1123,10.1123,0,10.092544
2019-06-04,10.1072,10.1072,10.1072,10.1072,0,10.087453
2019-06-05,10.118,10.118,10.118,10.118,0,10.098232
2019-06-06,10.1143,10.1143,10.1143,10.1143,0,10.09454
2019-06-07,10.1407,10.1407,10.1407,10.1407,0,10.120889
2019-06-11,10.1214,10.1214,10.1214,10.1214,0,10.101625
2019-06-12,10.1085,10.1085,10.1085,10.1085,0,10.088751
2019-06-13,10.166,10.166,10.166,10.166,5,10.146139
2019-06-14,10.166,10.166,10.166,10.166,0,10.146139
2019-06-17,10.146,10.146,10.146,10.146,0,10.126177
2019-06-18,10.134,10.134,10.134,10.134,0,10.114202
2019-06-19,10.164,10.164,10.164,10.164,0,10.144142
2019-06-20,10.164,10.164,10.164,10.164,0,10.144142
2019-06-21,10.216,10.216,10.216,10.216,0,10.196041
2019-06-24,10.216,10.216,10.216,10.216,0,10.196041
2019-06-25,10.216,10.216,10.216,10.216,0,10.196041
2019-06-26,10.216,10.216,10.216,10.216,0,10.196041
2019-06-27,10.216,10.216,10.216,10.216,0,10.196041
2019-06-28,10.216,10.216,10.216,10.216,0,10.196041
2019-07-01,10.216,10.216,10.216,10.216,0,10.196041
2019-07-02,10.216,10.216,10.216,10.216,0,10.196041
2019-07-03,10.216,10.216,10.216,10.216,0,10.196041
2019-07-04,10.232,10.232,10.232,10.232,0,10.212009
2019-07-05,10.232,10.232,10.232,10.232,0,10.212009
2019-07-08,10.232,10.232,10.232,10.232,0,10.212009
2019-07-09,10.232,10.232,10.232,10.232,0,10.222
2019-07-10,10.222,10.222,10.222,10.222,0,10.222
2019-07-11,10.22,10.22,10.22,10.22,0,10.22
2019-07-12,10.22,10.22,10.22,10.22,0,10.22
2019-07-15,10.218,10.218,10.218,10.218,0,10.218
2019-07-16,10.218,10.218,10.218,10.218,0,10.218
2019-07-17,10.222,10.222,10.222,10.222,0,10.222
2019-07-18,10.236,10.236,10.236,10.236,0,10.236
2019-07-19,10.24,10.24,10.24,10.24,0,10.24
2019-07-22,10.254,10.254,10.254,10.254,0,10.254
2019-07-23,10.254,10.254,10.254,10.254,0,10.254
2019-07-24,10.254,10.254,10.254,10.254,0,10.254
2019-07-25,10.26,10.26,10.26,10.26,0,10.26
2019-07-26,10.26,10.26,10.26,10.26,0,10.26
2019-07-29,10.26,10.26,10.26,10.26,0,10.26
2019-07-30,10.26,10.26,10.26,10.26,0,10.26
2019-07-31,10.26,10.26,10.26,10.26,0,10.26
2019-08-02,10.274,10.274,10.274,10.274,0,10.274
2019-08-05,10.278,10.278,10.278,10.278,0,10.278
2019-08-06,10.3,10.3,10.3,10.3,0,10.3
2019-08-07,10.318,10.318,10.318,10.318,0,10.318
2019-08-08,10.342,10.342,10.342,10.342,0,10.342
2019-08-09,10.338,10.338,10.338,10.338,0,10.338
2019-08-12,10.338,10.338,10.338,10.338,0,10.338
2019-08-13,10.338,10.338,10.338,10.338,0,10.338
2019-08-14,10.338,10.338,10.338,10.338,0,10.338
2019-08-15,10.338,10.338,10.338,10.338,0,10.338
2019-08-16,10.352,10.352,10.352,10.352,0,10.352
2019-08-19,10.352,10.352,10.352,10.352,0,10.352
2019-08-20,10.352,10.352,10.352,10.352,0,10.352
2019-08-21,10.352,10.352,10.352,10.352,0,10.352
2019-08-22,10.352,10.352,10.352,10.352,0,10.352
2019-08-23,10.348,10.348,10.348,10.348,0,10.348
2019-08-26,10.348,10.348,10.348,10.348,0,10.348
2019-08-27,10.348,10.348,10.348,10.348,0,10.348
2019-08-28,10.37,10.37,10.37,10.37,0,10.37
2019-08-29,10.386,10.386,10.386,10.386,0,10.386
2019-08-30,10.386,10.386,10.386,10.386,0,10.386
2019-09-02,10.386,10.386,10.386,10.386,0,10.386
2019-09-03,10.386,10.386,10.386,10.386,0,10.386
2019-09-04,10.386,10.386,10.386,10.386,0,10.386
2019-09-05,10.386,10.386,10.386,10.386,0,10.386
2019-09-06,10.368,10.368,10.368,10.368,0,10.368
2019-09-09,10.364,10.364,10.364,10.364,0,10.364
2019-09-10,10.352,10.352,10.352,10.352,0,10.352
2019-09-11,10.34,10.34,10.34,10.34,0,10.34
2019-09-12,10.34,10.34,10.34,10.34,0,10.34
2019-09-13,10.302,10.302,10.302,10.302,0,10.302
2019-09-16,10.308,10.308,10.308,10.308,0,10.308
2019-09-17,10.308,10.308,10.308,10.308,0,10.308
2019-09-18,10.308,10.308,10.308,10.308,0,10.308
2019-09-19,10.32,10.32,10.32,10.32,0,10.32
2019-09-20,10.306,10.306,10.306,10.306,0,10.306
2019-09-23,10.318,10.318,10.318,10.318,0,10.318
2019-09-24,10.33,10.33,10.33,10.33,0,10.33
2019-09-25,10.33,10.33,10.33,10.33,0,10.33
2019-09-26,10.326,10.326,10.326,10.326,0,10.326
