date,open,high,low,close,volume,adjusted
2013-10-15,49.389999,49.389999,49.389999,49.389999,2000,49.389999
2013-10-16,NA,NA,NA,NA,NA,NA
2013-10-17,NA,NA,NA,NA,NA,NA
2013-10-18,NA,NA,NA,NA,NA,NA
2013-10-21,NA,NA,NA,NA,NA,NA
2013-10-22,NA,NA,NA,NA,NA,NA
2013-10-23,NA,NA,NA,NA,NA,NA
2013-10-24,55.529999,55.66,55.529999,55.66,4000,55.66
2013-10-25,NA,NA,NA,NA,NA,NA
2013-10-28,NA,NA,NA,NA,NA,NA
2013-10-29,NA,NA,NA,NA,NA,NA
2013-10-30,NA,NA,NA,NA,NA,NA
2013-10-31,56.310001,56.310001,56.310001,56.310001,2000,56.310001
2013-11-01,NA,NA,NA,NA,NA,NA
2013-11-04,NA,NA,NA,NA,NA,NA
2013-11-05,NA,NA,NA,NA,NA,NA
2013-11-06,54.119999,54.119999,54.119999,54.119999,185,54.119999
2013-11-07,54.459999,54.459999,53.560001,53.560001,7428,53.560001
2013-11-08,52.080002,52.080002,52.080002,52.080002,2000,52.080002
2013-11-11,NA,NA,NA,NA,NA,NA
2013-11-12,53.220001,53.220001,53.220001,53.220001,2000,53.220001
2013-11-13,NA,NA,NA,NA,NA,NA
2013-11-14,52.990002,52.990002,52.990002,52.990002,2000,52.990002
2013-11-15,NA,NA,NA,NA,NA,NA
2013-11-18,52.73,52.73,52.73,52.73,2000,52.73
2013-11-19,NA,NA,NA,NA,NA,NA
2013-11-20,51.650002,51.650002,51.650002,51.650002,2000,51.650002
2013-11-21,50.16,50.16,50.16,50.16,2000,50.16
2013-11-22,49.43,49.43,49.43,49.43,17955,49.43
2013-11-25,NA,NA,NA,NA,NA,NA
2013-11-26,NA,NA,NA,NA,NA,NA
2013-11-27,47.400002,47.77,47.400002,47.599998,3938,47.599998
2013-11-28,NA,NA,NA,NA,NA,NA
2013-11-29,NA,NA,NA,NA,NA,NA
2013-12-02,NA,NA,NA,NA,NA,NA
2013-12-03,NA,NA,NA,NA,NA,NA
2013-12-04,NA,NA,NA,NA,NA,NA
2013-12-05,45.830002,45.830002,45.830002,45.830002,250,45.830002
