date,open,high,low,close,volume,adjusted
2007-05-07,252.699997,252.699997,252.699997,252.699997,177,252.699997
2007-05-08,NA,NA,NA,NA,NA,NA
2007-05-09,NA,NA,NA,NA,NA,NA
2007-05-10,NA,NA,NA,NA,NA,NA
2007-05-11,NA,NA,NA,NA,NA,NA
2007-05-14,254.5,254.5,254.5,254.5,0,254.5
2007-05-15,252.110001,252.110001,252.110001,252.110001,0,252.110001
2007-05-16,NA,NA,NA,NA,NA,NA
2007-05-18,NA,NA,NA,NA,NA,NA
2007-05-21,NA,NA,NA,NA,NA,NA
2007-05-22,NA,NA,NA,NA,NA,NA
2007-05-23,NA,NA,NA,NA,NA,NA
2007-05-24,NA,NA,NA,NA,NA,NA
2007-05-25,NA,NA,NA,NA,NA,NA
2007-05-29,NA,NA,NA,NA,NA,NA
2007-05-30,NA,NA,NA,NA,NA,NA
2007-05-31,NA,NA,NA,NA,NA,NA
2007-06-01,248.550003,248.550003,248.550003,248.550003,0,248.550003
2007-06-04,NA,NA,NA,NA,NA,NA
2007-06-05,NA,NA,NA,NA,NA,NA
2007-06-06,NA,NA,NA,NA,NA,NA
2007-06-07,246.660004,246.660004,246.660004,246.660004,0,246.660004
2007-06-08,NA,NA,NA,NA,NA,NA
2007-06-11,NA,NA,NA,NA,NA,NA
2007-06-12,NA,NA,NA,NA,NA,NA
2007-06-13,243.119995,243.119995,243.119995,243.119995,0,243.119995
2007-06-14,NA,NA,NA,NA,NA,NA
2007-06-15,NA,NA,NA,NA,NA,NA
2007-06-18,NA,NA,NA,NA,NA,NA
2007-06-19,NA,NA,NA,NA,NA,NA
2007-06-20,NA,NA,NA,NA,NA,NA
2007-06-21,NA,NA,NA,NA,NA,NA
2007-06-22,242.630005,242.630005,242.630005,242.630005,0,242.630005
2007-06-25,241.929993,241.929993,241.929993,241.929993,0,241.929993
2007-06-26,241.929993,241.929993,241.929993,241.929993,0,241.929993
2007-06-27,NA,NA,NA,NA,NA,NA
2007-06-28,NA,NA,NA,NA,NA,NA
2007-06-29,NA,NA,NA,NA,NA,NA
2007-07-02,244.270004,244.270004,244.270004,244.270004,0,244.270004
2007-07-03,NA,NA,NA,NA,NA,NA
2007-07-04,NA,NA,NA,NA,NA,NA
2007-07-05,NA,NA,NA,NA,NA,NA
2007-07-06,NA,NA,NA,NA,NA,NA
2007-07-09,NA,NA,NA,NA,NA,NA
2007-07-10,NA,NA,NA,NA,NA,NA
2007-07-11,NA,NA,NA,NA,NA,NA
2007-07-12,NA,NA,NA,NA,NA,NA
2007-07-13,NA,NA,NA,NA,NA,NA
2007-07-16,243.860001,243.860001,243.860001,243.860001,5000,243.860001
2007-07-17,NA,NA,NA,NA,NA,NA
2007-07-18,NA,NA,NA,NA,NA,NA
2007-07-19,NA,NA,NA,NA,NA,NA
2007-07-20,NA,NA,NA,NA,NA,NA
2007-07-23,249.559998,249.559998,249.559998,249.559998,0,249.559998
2007-07-24,NA,NA,NA,NA,NA,NA
2007-07-25,NA,NA,NA,NA,NA,NA
2007-07-26,NA,NA,NA,NA,NA,NA
2007-07-27,NA,NA,NA,NA,NA,NA
2007-07-30,NA,NA,NA,NA,NA,NA
2007-07-31,NA,NA,NA,NA,NA,NA
2007-08-02,NA,NA,NA,NA,NA,NA
2007-08-03,NA,NA,NA,NA,NA,NA
2007-08-06,NA,NA,NA,NA,NA,NA
2007-08-07,NA,NA,NA,NA,NA,NA
2007-08-08,NA,NA,NA,NA,NA,NA
2007-08-09,249.009995,249.009995,249.009995,249.009995,0,249.009995
2007-08-10,NA,NA,NA,NA,NA,NA
2007-08-13,NA,NA,NA,NA,NA,NA
2007-08-14,NA,NA,NA,NA,NA,NA
2007-08-15,NA,NA,NA,NA,NA,NA
2007-08-16,NA,NA,NA,NA,NA,NA
2007-08-17,NA,NA,NA,NA,NA,NA
2007-08-20,NA,NA,NA,NA,NA,NA
2007-08-21,NA,NA,NA,NA,NA,NA
2007-08-22,NA,NA,NA,NA,NA,NA
2007-08-23,NA,NA,NA,NA,NA,NA
2007-08-24,NA,NA,NA,NA,NA,NA
2007-08-27,247.809998,247.809998,247.809998,247.809998,0,247.809998
2007-08-28,NA,NA,NA,NA,NA,NA
2007-08-29,NA,NA,NA,NA,NA,NA
2007-08-30,NA,NA,NA,NA,NA,NA
2007-08-31,NA,NA,NA,NA,NA,NA
2007-09-03,NA,NA,NA,NA,NA,NA
2007-09-04,NA,NA,NA,NA,NA,NA
2007-09-05,NA,NA,NA,NA,NA,NA
2007-09-06,NA,NA,NA,NA,NA,NA
2007-09-07,NA,NA,NA,NA,NA,NA
2007-09-10,NA,NA,NA,NA,NA,NA
2007-09-11,NA,NA,NA,NA,NA,NA
2007-09-12,NA,NA,NA,NA,NA,NA
2007-09-13,NA,NA,NA,NA,NA,NA
2007-09-14,NA,NA,NA,NA,NA,NA
2007-09-17,253.860001,253.860001,253.860001,253.860001,16,253.860001
2007-09-18,NA,NA,NA,NA,NA,NA
2007-09-19,NA,NA,NA,NA,NA,NA
2007-09-20,NA,NA,NA,NA,NA,NA
2007-09-21,NA,NA,NA,NA,NA,NA
2007-09-24,NA,NA,NA,NA,NA,NA
2007-09-25,NA,NA,NA,NA,NA,NA
2007-09-26,NA,NA,NA,NA,NA,NA
2007-09-27,NA,NA,NA,NA,NA,NA
2007-09-28,NA,NA,NA,NA,NA,NA
2007-10-01,NA,NA,NA,NA,NA,NA
2007-10-02,NA,NA,NA,NA,NA,NA
2007-10-03,252.229996,252.229996,252.229996,252.229996,0,252.229996
2007-10-04,NA,NA,NA,NA,NA,NA
2007-10-05,NA,NA,NA,NA,NA,NA
2007-10-08,NA,NA,NA,NA,NA,NA
2007-10-09,NA,NA,NA,NA,NA,NA
2007-10-10,NA,NA,NA,NA,NA,NA
2007-10-11,252.509995,252.509995,252.509995,252.509995,0,252.509995
2007-10-12,NA,NA,NA,NA,NA,NA
2007-10-15,NA,NA,NA,NA,NA,NA
2007-10-16,NA,NA,NA,NA,NA,NA
2007-10-17,252.080002,252.080002,252.080002,252.080002,5000,252.080002
2007-10-18,NA,NA,NA,NA,NA,NA
2007-10-19,NA,NA,NA,NA,NA,NA
2007-10-22,NA,NA,NA,NA,NA,NA
2007-10-23,253.490005,253.490005,253.490005,253.490005,0,253.490005
2007-10-24,253.490005,253.490005,253.490005,253.490005,0,253.490005
2007-10-25,NA,NA,NA,NA,NA,NA
2007-10-26,NA,NA,NA,NA,NA,NA
2007-10-29,254.399994,254.399994,254.399994,254.399994,0,254.399994
2007-10-30,NA,NA,NA,NA,NA,NA
2007-10-31,NA,NA,NA,NA,NA,NA
2007-11-01,NA,NA,NA,NA,NA,NA
2007-11-02,NA,NA,NA,NA,NA,NA
2007-11-05,NA,NA,NA,NA,NA,NA
2007-11-06,NA,NA,NA,NA,NA,NA
2007-11-07,254.399994,254.399994,254.399994,254.399994,0,254.399994
2007-11-08,NA,NA,NA,NA,NA,NA
2007-11-09,NA,NA,NA,NA,NA,NA
2007-11-12,NA,NA,NA,NA,NA,NA
2007-11-13,NA,NA,NA,NA,NA,NA
2007-11-14,NA,NA,NA,NA,NA,NA
2007-11-15,NA,NA,NA,NA,NA,NA
2007-11-16,NA,NA,NA,NA,NA,NA
2007-11-19,NA,NA,NA,NA,NA,NA
2007-11-20,247.770004,247.770004,247.770004,247.770004,0,247.770004
2007-11-21,NA,NA,NA,NA,NA,NA
2007-11-22,NA,NA,NA,NA,NA,NA
2007-11-23,247.770004,247.770004,247.770004,247.770004,0,247.770004
2007-11-26,NA,NA,NA,NA,NA,NA
2007-11-27,NA,NA,NA,NA,NA,NA
2007-11-28,NA,NA,NA,NA,NA,NA
2007-11-29,NA,NA,NA,NA,NA,NA
2007-11-30,NA,NA,NA,NA,NA,NA
2007-12-03,NA,NA,NA,NA,NA,NA
2007-12-04,247.770004,247.770004,247.770004,247.770004,0,247.770004
2007-12-05,NA,NA,NA,NA,NA,NA
2007-12-06,NA,NA,NA,NA,NA,NA
2007-12-07,NA,NA,NA,NA,NA,NA
2007-12-10,NA,NA,NA,NA,NA,NA
2007-12-11,247.699997,247.699997,247.699997,247.699997,0,247.699997
2007-12-12,NA,NA,NA,NA,NA,NA
2007-12-13,NA,NA,NA,NA,NA,NA
2007-12-14,NA,NA,NA,NA,NA,NA
2007-12-17,NA,NA,NA,NA,NA,NA
2007-12-18,NA,NA,NA,NA,NA,NA
2007-12-19,NA,NA,NA,NA,NA,NA
2007-12-20,NA,NA,NA,NA,NA,NA
2007-12-21,NA,NA,NA,NA,NA,NA
2007-12-24,NA,NA,NA,NA,NA,NA
2007-12-27,NA,NA,NA,NA,NA,NA
2007-12-28,NA,NA,NA,NA,NA,NA
2007-12-31,NA,NA,NA,NA,NA,NA
2008-01-03,NA,NA,NA,NA,NA,NA
2008-01-04,247.479996,247.479996,247.479996,247.479996,0,247.479996
2008-01-07,NA,NA,NA,NA,NA,NA
2008-01-08,248.339996,248.339996,248.339996,248.339996,30,248.339996
2008-01-09,NA,NA,NA,NA,NA,NA
2008-01-10,NA,NA,NA,NA,NA,NA
2008-01-11,NA,NA,NA,NA,NA,NA
2008-01-14,246.910004,246.910004,246.910004,246.910004,0,246.910004
2008-01-15,NA,NA,NA,NA,NA,NA
2008-01-16,NA,NA,NA,NA,NA,NA
2008-01-17,NA,NA,NA,NA,NA,NA
2008-01-18,NA,NA,NA,NA,NA,NA
2008-01-21,NA,NA,NA,NA,NA,NA
2008-01-22,NA,NA,NA,NA,NA,NA
2008-01-23,NA,NA,NA,NA,NA,NA
2008-01-24,NA,NA,NA,NA,NA,NA
2008-01-25,NA,NA,NA,NA,NA,NA
2008-01-28,NA,NA,NA,NA,NA,NA
2008-01-29,NA,NA,NA,NA,NA,NA
2008-01-30,NA,NA,NA,NA,NA,NA
2008-01-31,NA,NA,NA,NA,NA,NA
2008-02-01,NA,NA,NA,NA,NA,NA
2008-02-04,246.580002,246.580002,246.580002,246.580002,0,246.580002
2008-02-05,NA,NA,NA,NA,NA,NA
2008-02-06,NA,NA,NA,NA,NA,NA
2008-02-07,NA,NA,NA,NA,NA,NA
2008-02-08,NA,NA,NA,NA,NA,NA
2008-02-11,NA,NA,NA,NA,NA,NA
2008-02-12,246.820007,246.820007,246.820007,246.820007,0,246.820007
2008-02-13,NA,NA,NA,NA,NA,NA
2008-02-14,NA,NA,NA,NA,NA,NA
2008-02-15,NA,NA,NA,NA,NA,NA
2008-02-18,244.229996,244.229996,244.229996,244.229996,0,244.229996
2008-02-19,NA,NA,NA,NA,NA,NA
2008-02-20,244.559998,244.559998,244.559998,244.559998,0,244.559998
2008-02-21,244.559998,244.559998,244.559998,244.559998,0,244.559998
2008-02-22,NA,NA,NA,NA,NA,NA
2008-02-25,NA,NA,NA,NA,NA,NA
2008-02-26,NA,NA,NA,NA,NA,NA
2008-02-27,NA,NA,NA,NA,NA,NA
2008-02-28,NA,NA,NA,NA,NA,NA
2008-02-29,NA,NA,NA,NA,NA,NA
2008-03-03,NA,NA,NA,NA,NA,NA
2008-03-04,NA,NA,NA,NA,NA,NA
2008-03-05,NA,NA,NA,NA,NA,NA
2008-03-06,NA,NA,NA,NA,NA,NA
2008-03-07,NA,NA,NA,NA,NA,NA
2008-03-10,NA,NA,NA,NA,NA,NA
2008-03-11,NA,NA,NA,NA,NA,NA
2008-03-12,NA,NA,NA,NA,NA,NA
2008-03-13,NA,NA,NA,NA,NA,NA
2008-03-14,NA,NA,NA,NA,NA,NA
2008-03-17,NA,NA,NA,NA,NA,NA
2008-03-18,NA,NA,NA,NA,NA,NA
2008-03-19,NA,NA,NA,NA,NA,NA
2008-03-20,NA,NA,NA,NA,NA,NA
2008-03-25,NA,NA,NA,NA,NA,NA
2008-03-26,NA,NA,NA,NA,NA,NA
2008-03-27,238.600006,238.600006,238.600006,238.600006,0,238.600006
2008-03-28,NA,NA,NA,NA,NA,NA
2008-03-31,NA,NA,NA,NA,NA,NA
2008-04-01,NA,NA,NA,NA,NA,NA
2008-04-02,NA,NA,NA,NA,NA,NA
2008-04-03,NA,NA,NA,NA,NA,NA
2008-04-04,239.639999,239.639999,239.639999,239.639999,0,239.639999
2008-04-07,NA,NA,NA,NA,NA,NA
2008-04-08,241.380005,241.380005,241.380005,241.380005,0,241.380005
2008-04-09,NA,NA,NA,NA,NA,NA
2008-04-10,NA,NA,NA,NA,NA,NA
2008-04-11,NA,NA,NA,NA,NA,NA
2008-04-14,NA,NA,NA,NA,NA,NA
2008-04-15,NA,NA,NA,NA,NA,NA
2008-04-16,NA,NA,NA,NA,NA,NA
2008-04-17,NA,NA,NA,NA,NA,NA
2008-04-18,NA,NA,NA,NA,NA,NA
2008-04-21,NA,NA,NA,NA,NA,NA
2008-04-22,NA,NA,NA,NA,NA,NA
2008-04-23,NA,NA,NA,NA,NA,NA
2008-04-24,NA,NA,NA,NA,NA,NA
2008-04-25,NA,NA,NA,NA,NA,NA
2008-04-28,240.25,240.25,240.25,240.25,0,240.25
2008-04-29,NA,NA,NA,NA,NA,NA
2008-04-30,NA,NA,NA,NA,NA,NA
2008-05-02,NA,NA,NA,NA,NA,NA
2008-05-05,NA,NA,NA,NA,NA,NA
2008-05-06,NA,NA,NA,NA,NA,NA
2008-05-07,NA,NA,NA,NA,NA,NA
2008-05-08,NA,NA,NA,NA,NA,NA
2008-05-09,NA,NA,NA,NA,NA,NA
2008-05-13,NA,NA,NA,NA,NA,NA
2008-05-14,241.119995,241.119995,241.119995,241.119995,0,241.119995
2008-05-15,NA,NA,NA,NA,NA,NA
2008-05-16,NA,NA,NA,NA,NA,NA
2008-05-19,239.759995,239.759995,239.759995,239.759995,0,239.759995
2008-05-20,NA,NA,NA,NA,NA,NA
2008-05-21,NA,NA,NA,NA,NA,NA
2008-05-22,NA,NA,NA,NA,NA,NA
2008-05-23,NA,NA,NA,NA,NA,NA
2008-05-26,NA,NA,NA,NA,NA,NA
2008-05-27,NA,NA,NA,NA,NA,NA
2008-05-28,236.399994,236.399994,236.399994,236.399994,0,236.399994
2008-05-29,235.839996,235.839996,235.839996,235.839996,0,235.839996
2008-05-30,NA,NA,NA,NA,NA,NA
2008-06-02,NA,NA,NA,NA,NA,NA
2008-06-03,NA,NA,NA,NA,NA,NA
