date,open,high,low,close,volume,adjusted
2019-06-26,4.99376,4.99376,4.99376,4.99376,0,4.99376
2019-06-27,4.99611,4.99611,4.99611,4.99611,0,4.99611
2019-06-28,5.004,5.004,5.001,5.002,81298,5.002
2019-07-01,5.002,5.002,5.002,5.002,0,5.002
2019-07-02,4.999,4.999,4.999,4.999,0,4.999
2019-07-03,4.998,4.998,4.998,4.998,0,4.998
2019-07-04,4.998,4.998,4.998,4.998,0,4.998
2019-07-05,4.9885,4.9885,4.9885,4.9885,40006,4.9885
2019-07-08,4.9885,4.9885,4.9885,4.9885,0,4.9885
2019-07-09,4.9855,4.9855,4.9855,4.9855,0,4.9855
2019-07-10,4.984,4.984,4.984,4.984,0,4.984
2019-07-11,4.9915,4.9915,4.991,4.991,46050,4.991
2019-07-12,4.986,4.986,4.985,4.986,184320,4.986
2019-07-15,4.9865,4.9865,4.9865,4.9865,10000,4.9865
2019-07-16,4.9865,4.9865,4.9865,4.9865,8500,4.9865
2019-07-17,4.9865,4.9865,4.9865,4.9865,0,4.9865
2019-07-18,4.986,4.986,4.986,4.986,0,4.986
2019-07-19,4.987,4.987,4.987,4.987,0,4.987
2019-07-22,4.9885,4.9885,4.9885,4.9885,0,4.9885
2019-07-23,4.9885,4.9885,4.9885,4.9885,0,4.9885
2019-07-24,4.987,4.987,4.987,4.987,30303,4.987
2019-07-25,4.989,4.989,4.989,4.989,50384,4.989
2019-07-26,4.981,4.9825,4.981,4.9825,137156,4.9825
2019-07-29,4.9825,4.9825,4.9825,4.9825,0,4.9825
2019-07-30,4.9825,4.9825,4.9825,4.9825,0,4.9825
2019-07-31,4.984,4.984,4.984,4.984,30497,4.984
2019-08-01,4.984,4.984,4.984,4.984,0,4.984
2019-08-02,4.984,4.984,4.984,4.984,0,4.984
2019-08-05,4.993,4.993,4.993,4.993,0,4.993
2019-08-06,5.003,5.003,5.003,5.003,0,5.003
2019-08-07,5.003,5.003,5.003,5.003,0,5.003
2019-08-08,5.009,5.009,5.009,5.009,0,5.009
2019-08-09,5.003,5.003,5.003,5.003,0,5.003
2019-08-12,5.002,5.002,5.002,5.002,11500,5.002
2019-08-13,5.002,5.002,5.002,5.002,0,5.002
2019-08-14,5,5,5,5,0,5
2019-08-15,5.003,5.003,5.003,5.003,0,5.003
2019-08-16,5.009,5.009,5.009,5.009,0,5.009
2019-08-19,5.009,5.009,5.009,5.009,0,5.009
2019-08-20,5.009,5.009,5.009,5.009,0,5.009
2019-08-21,5.009,5.009,5.009,5.009,0,5.009
2019-08-22,5.008,5.008,5.008,5.008,0,5.008
2019-08-23,5.004,5.004,5.004,5.004,0,5.004
2019-08-26,5.013,5.013,5.013,5.013,40006,5.013
2019-08-27,5.013,5.013,5.013,5.013,0,5.013
2019-08-28,5.008,5.008,5.008,5.008,0,5.008
2019-08-29,5.008,5.008,5.007,5.007,59738,5.007
2019-08-30,5.004,5.004,5.003,5.003,239624,5.003
2019-09-02,5.003,5.003,5.003,5.003,0,5.003
2019-09-03,5.003,5.003,5.003,5.003,0,5.003
2019-09-04,5.01,5.01,5.01,5.01,0,5.01
2019-09-05,5.01,5.01,5.01,5.01,0,5.01
2019-09-06,5.001,5.001,5.001,5.001,0,5.001
2019-09-09,4.9965,4.9965,4.9965,4.9965,0,4.9965
2019-09-10,4.9925,4.9925,4.9925,4.9925,0,4.9925
2019-09-11,4.9885,4.9885,4.9885,4.9885,0,4.9885
2019-09-12,4.985,4.985,4.985,4.985,0,4.985
2019-09-13,4.9765,4.9765,4.9765,4.9765,0,4.9765
2019-09-16,4.9765,4.9765,4.9765,4.9765,0,4.9765
2019-09-17,4.9775,4.9775,4.9775,4.9775,0,4.9775
2019-09-18,4.9775,4.9775,4.9775,4.9775,0,4.9775
2019-09-19,4.9785,4.9785,4.9785,4.9785,0,4.9785
2019-09-20,4.9785,4.9785,4.9785,4.9785,0,4.9785
2019-09-23,4.9845,4.9845,4.9845,4.9845,0,4.9845
