date,open,high,low,close,volume,adjusted
2008-02-18,1343.050049,1343.050049,1343.050049,1346.51001,256,1345.893555
2008-02-19,1345.75,1345.75,1345.75,1343.589966,3033,1342.974854
2008-02-20,1339.540039,1339.540039,1339.540039,1329.589966,1670,1328.981201
2008-02-21,1353.48999,1353.48999,1340,1338.930054,6880,1338.317017
2008-02-22,1327.02002,1329.410034,1326.25,1321.910034,54605,1321.30481
2008-02-25,1351.97998,1351.97998,1351.97998,1347.319946,1631,1346.703125
2008-02-26,1359.160034,1359.160034,1357.180054,1358.089966,10981,1357.468262
2008-02-27,1349.97998,1368.849976,1349.97998,1368.849976,13573,1368.223267
2008-02-28,1358.040039,1358.040039,1358.040039,1340.300049,2090,1339.686523
2008-02-29,1354.150024,1357.300049,1329.430054,1329.790039,3221,1329.181274
2008-03-03,1326,1326,1326,1326.02002,2709,1325.412842
2008-03-04,1313.859985,1313.859985,1313.859985,1295.880005,2746,1295.286743
2008-03-05,1313.920044,1314.540039,1313.920044,1322.51001,1824,1321.904541
2008-03-06,1313.640015,1313.640015,1313.640015,1285.599976,4073,1285.011475
2008-03-07,1280,1280,1270,1246.089966,1175,1245.519531
2008-03-10,1216.300049,1216.300049,1216.300049,1213.189941,780,1212.634521
2008-03-11,1262.300049,1262.300049,1262,1250.890015,6549,1250.317261
2008-03-12,1273.160034,1273.160034,1267.430054,1258.800049,11970,1258.223755
2008-03-13,1200.77002,1229.77002,1200.77002,1224.98999,5363,1224.429077
2008-03-14,1217.339966,1217.339966,1217.339966,1198.119995,3490,1197.571411
2008-03-17,1173.449951,1173.449951,1159.599976,1153.380005,3212,1152.851929
2008-03-18,1172.27002,1196.359985,1170,1195.540039,28006,1194.992676
2008-03-19,1192.5,1192.5,1192.5,1194.52002,1812,1193.973145
2008-03-20,1164,1164,1164,1154.949951,5053,1154.421143
2008-03-25,1215.290039,1215.290039,1215.290039,1219.630005,1253,1219.071655
2008-03-26,1213.939941,1213.939941,1213.939941,1206.050049,2003,1205.497803
2008-03-27,1218.150024,1223.969971,1218.150024,1231.089966,7583,1230.526367
2008-03-28,1252.459961,1252.459961,1252.459961,1239.540039,4095,1238.972534
2008-03-31,1244.5,1244.5,1244.5,1256.780029,4262,1256.20459
2008-04-01,1263.160034,1263.160034,1259.680054,1281,2196,1280.413574
2008-04-02,1286.719971,1290.640015,1286.719971,1288.680054,4686,1288.090088
2008-04-03,1294.400024,1294.400024,1294.400024,1280.579956,5892,1279.993774
2008-04-04,1302.310059,1302.310059,1300.680054,1300.859985,6875,1300.264404
2008-04-07,1318.72998,1318.72998,1318.72998,1317.209961,4195,1316.606934
2008-04-08,1318.72998,1318.72998,1300.619995,1309.540039,3945,1308.94043
2008-04-09,1292.209961,1292.209961,1292.209961,1287.380005,2649,1286.790649
2008-04-10,1284.780029,1284.780029,1284.780029,1284.280029,3044,1283.692017
2008-04-11,1284.119995,1284.119995,1284.119995,1275.920044,1744,1275.33606
2008-04-14,1271.51001,1271.51001,1271.51001,1248.209961,1776,1247.63855
2008-04-15,1270.900024,1270.900024,1270.900024,1264.790039,2045,1264.210938
2008-04-16,1265,1286.069946,1265,1281.97998,11185,1281.393066
2008-04-17,1274.140015,1277.619995,1274.140015,1265.23999,10437,1264.660767
2008-04-18,1285.439941,1285.439941,1284.800049,1281.829956,5012,1281.243042
2008-04-21,1283.75,1283.75,1283.75,1284.329956,2330,1283.741943
2008-04-22,1295.099976,1295.099976,1285.410034,1282.660034,9389,1282.072754
2008-04-23,1290.869995,1291.530029,1290.869995,1319.839966,24695,1319.235718
2008-04-24,1313,1330,1313,1321.670044,6709,1321.064941
2008-04-25,1323.680054,1323.680054,1319.130005,1313.280029,7197,1312.678833
2008-04-28,1330.640015,1332.390015,1330.640015,1320.839966,11584,1320.235229
2008-04-29,1332.180054,1332.180054,1332.180054,1319.290039,6757,1318.686035
2008-04-30,1331.959961,1331.959961,1331.959961,1327.099976,3617,1326.492432
2008-05-02,1357.420044,1357.420044,1357.420044,1374.660034,4915,1374.030762
2008-05-05,1374.660034,1374.660034,1374.660034,1374.660034,0,1374.030762
2008-05-06,1383.430054,1387.51001,1383.430054,1381.5,5025,1380.867554
2008-05-07,1393.930054,1396.180054,1393.930054,1386.459961,8658,1385.825195
