date,open,high,low,close,volume,adjusted
2008-01-03,37.740002,37.830002,37.740002,37.740002,0,37.740002
2008-01-04,NA,NA,NA,NA,NA,NA
2008-01-07,NA,NA,NA,NA,NA,NA
2008-01-08,37.349998,37.349998,37.299999,37.299999,1568,37.299999
2008-01-09,NA,NA,NA,NA,NA,NA
2008-01-10,36.200001,36.290001,36.200001,36.200001,0,36.200001
2008-01-11,NA,NA,NA,NA,NA,NA
2008-01-14,NA,NA,NA,NA,NA,NA
2008-01-15,NA,NA,NA,NA,NA,NA
2008-01-16,NA,NA,NA,NA,NA,NA
2008-01-17,34.470001,34.549999,34.470001,34.470001,0,34.470001
2008-01-18,NA,NA,NA,NA,NA,NA
2008-01-21,NA,NA,NA,NA,NA,NA
2008-01-22,NA,NA,NA,NA,NA,NA
2008-01-23,NA,NA,NA,NA,NA,NA
2008-01-24,32.900002,32.900002,32.900002,32.900002,800,32.900002
2008-01-25,NA,NA,NA,NA,NA,NA
2008-01-28,32.740002,32.740002,32.529999,32.619999,1323,32.619999
2008-01-29,NA,NA,NA,NA,NA,NA
2008-01-30,NA,NA,NA,NA,NA,NA
2008-01-31,32.799999,32.880001,32.799999,32.799999,0,32.799999
2008-02-01,NA,NA,NA,NA,NA,NA
2008-02-04,NA,NA,NA,NA,NA,NA
2008-02-05,NA,NA,NA,NA,NA,NA
2008-02-06,NA,NA,NA,NA,NA,NA
2008-02-07,NA,NA,NA,NA,NA,NA
2008-02-08,NA,NA,NA,NA,NA,NA
2008-02-11,NA,NA,NA,NA,NA,NA
2008-02-12,NA,NA,NA,NA,NA,NA
2008-02-13,NA,NA,NA,NA,NA,NA
2008-02-14,NA,NA,NA,NA,NA,NA
2008-02-15,NA,NA,NA,NA,NA,NA
2008-02-18,NA,NA,NA,NA,NA,NA
2008-02-19,NA,NA,NA,NA,NA,NA
2008-02-20,NA,NA,NA,NA,NA,NA
2008-02-21,NA,NA,NA,NA,NA,NA
2008-02-22,NA,NA,NA,NA,NA,NA
2008-02-25,NA,NA,NA,NA,NA,NA
2008-02-26,NA,NA,NA,NA,NA,NA
2008-02-27,33.73,33.810001,33.73,33.73,0,33.73
2008-02-28,NA,NA,NA,NA,NA,NA
2008-02-29,NA,NA,NA,NA,NA,NA
2008-03-03,NA,NA,NA,NA,NA,NA
2008-03-04,31.07,31.139999,31.07,31.07,0,31.07
2008-03-05,NA,NA,NA,NA,NA,NA
2008-03-06,NA,NA,NA,NA,NA,NA
2008-03-07,NA,NA,NA,NA,NA,NA
2008-03-10,NA,NA,NA,NA,NA,NA
2008-03-11,NA,NA,NA,NA,NA,NA
2008-03-12,NA,NA,NA,NA,NA,NA
2008-03-13,31.030001,31.1,31.030001,31.030001,0,31.030001
2008-03-14,NA,NA,NA,NA,NA,NA
2008-03-17,NA,NA,NA,NA,NA,NA
2008-03-18,NA,NA,NA,NA,NA,NA
2008-03-19,NA,NA,NA,NA,NA,NA
2008-03-20,NA,NA,NA,NA,NA,NA
2008-03-25,30.84,30.91,30.84,30.84,0,30.84
2008-03-26,NA,NA,NA,NA,NA,NA
2008-03-27,NA,NA,NA,NA,NA,NA
2008-03-28,NA,NA,NA,NA,NA,NA
2008-03-31,NA,NA,NA,NA,NA,NA
2008-04-01,NA,NA,NA,NA,NA,NA
2008-04-02,NA,NA,NA,NA,NA,NA
2008-04-03,32.419998,32.419998,32.419998,32.419998,50,32.419998
2008-04-04,NA,NA,NA,NA,NA,NA
2008-04-07,NA,NA,NA,NA,NA,NA
2008-04-08,NA,NA,NA,NA,NA,NA
2008-04-09,NA,NA,NA,NA,NA,NA
2008-04-10,NA,NA,NA,NA,NA,NA
2008-04-11,NA,NA,NA,NA,NA,NA
2008-04-14,NA,NA,NA,NA,NA,NA
2008-04-15,NA,NA,NA,NA,NA,NA
2008-04-16,NA,NA,NA,NA,NA,NA
2008-04-17,NA,NA,NA,NA,NA,NA
2008-04-18,NA,NA,NA,NA,NA,NA
2008-04-21,NA,NA,NA,NA,NA,NA
2008-04-22,NA,NA,NA,NA,NA,NA
2008-04-23,NA,NA,NA,NA,NA,NA
2008-04-24,NA,NA,NA,NA,NA,NA
2008-04-25,NA,NA,NA,NA,NA,NA
2008-04-28,NA,NA,NA,NA,NA,NA
2008-04-29,NA,NA,NA,NA,NA,NA
2008-04-30,NA,NA,NA,NA,NA,NA
2008-05-02,NA,NA,NA,NA,NA,NA
2008-05-05,34.279999,34.279999,34.259998,34.259998,230,34.259998
2008-05-06,NA,NA,NA,NA,NA,NA
2008-05-07,NA,NA,NA,NA,NA,NA
2008-05-08,NA,NA,NA,NA,NA,NA
2008-05-09,34,34,33.740002,33.740002,1096,33.740002
2008-05-13,NA,NA,NA,NA,NA,NA
2008-05-14,NA,NA,NA,NA,NA,NA
2008-05-15,34.150002,34.549999,34.150002,34.549999,575,34.549999
2008-05-16,34.73,34.73,34.73,34.73,85,34.73
2008-05-19,NA,NA,NA,NA,NA,NA
2008-05-20,NA,NA,NA,NA,NA,NA
2008-05-21,NA,NA,NA,NA,NA,NA
2008-05-22,NA,NA,NA,NA,NA,NA
2008-05-23,NA,NA,NA,NA,NA,NA
2008-05-26,NA,NA,NA,NA,NA,NA
2008-05-27,NA,NA,NA,NA,NA,NA
2008-05-28,NA,NA,NA,NA,NA,NA
2008-05-29,NA,NA,NA,NA,NA,NA
2008-05-30,NA,NA,NA,NA,NA,NA
2008-06-02,NA,NA,NA,NA,NA,NA
2008-06-03,33.18,33.18,33.150002,33.150002,1530,33.150002
2008-06-04,NA,NA,NA,NA,NA,NA
2008-06-05,NA,NA,NA,NA,NA,NA
2008-06-06,NA,NA,NA,NA,NA,NA
2008-06-09,32.349998,32.349998,32.349998,32.349998,400,32.349998
2008-06-10,32.049999,32.130001,32.049999,32.049999,0,32.049999
2008-06-11,NA,NA,NA,NA,NA,NA
2008-06-12,NA,NA,NA,NA,NA,NA
2008-06-13,NA,NA,NA,NA,NA,NA
2008-06-16,NA,NA,NA,NA,NA,NA
2008-06-17,NA,NA,NA,NA,NA,NA
2008-06-18,NA,NA,NA,NA,NA,NA
2008-06-19,NA,NA,NA,NA,NA,NA
2008-06-20,NA,NA,NA,NA,NA,NA
2008-06-23,NA,NA,NA,NA,NA,NA
2008-06-24,31,31,30.9,30.9,1250,30.9
2008-06-25,NA,NA,NA,NA,NA,NA
2008-06-26,NA,NA,NA,NA,NA,NA
2008-06-27,NA,NA,NA,NA,NA,NA
2008-06-30,NA,NA,NA,NA,NA,NA
2008-07-01,NA,NA,NA,NA,NA,NA
2008-07-02,NA,NA,NA,NA,NA,NA
2008-07-03,29.15,29.4,29.15,29.4,850,29.4
2008-07-04,NA,NA,NA,NA,NA,NA
2008-07-07,NA,NA,NA,NA,NA,NA
2008-07-08,NA,NA,NA,NA,NA,NA
2008-07-09,NA,NA,NA,NA,NA,NA
2008-07-10,NA,NA,NA,NA,NA,NA
2008-07-11,NA,NA,NA,NA,NA,NA
2008-07-14,NA,NA,NA,NA,NA,NA
2008-07-15,27.74,27.74,27.74,27.74,400,27.74
2008-07-16,NA,NA,NA,NA,NA,NA
2008-07-17,NA,NA,NA,NA,NA,NA
2008-07-18,NA,NA,NA,NA,NA,NA
2008-07-21,NA,NA,NA,NA,NA,NA
2008-07-22,NA,NA,NA,NA,NA,NA
2008-07-23,NA,NA,NA,NA,NA,NA
2008-07-24,NA,NA,NA,NA,NA,NA
2008-07-25,29.629999,29.940001,29.629999,29.940001,2035,29.940001
2008-07-28,NA,NA,NA,NA,NA,NA
2008-07-29,NA,NA,NA,NA,NA,NA
2008-07-30,NA,NA,NA,NA,NA,NA
2008-07-31,NA,NA,NA,NA,NA,NA
2008-08-04,29.209999,29.209999,29.209999,29.209999,1556,29.209999
2008-08-05,NA,NA,NA,NA,NA,NA
2008-08-06,30.02,30.09,30.02,30.02,0,30.02
2008-08-07,NA,NA,NA,NA,NA,NA
2008-08-08,NA,NA,NA,NA,NA,NA
2008-08-11,NA,NA,NA,NA,NA,NA
2008-08-12,NA,NA,NA,NA,NA,NA
2008-08-13,NA,NA,NA,NA,NA,NA
2008-08-14,NA,NA,NA,NA,NA,NA
2008-08-15,NA,NA,NA,NA,NA,NA
2008-08-18,29.65,29.65,29.5,29.5,1101,29.5
2008-08-19,NA,NA,NA,NA,NA,NA
2008-08-20,NA,NA,NA,NA,NA,NA
2008-08-21,NA,NA,NA,NA,NA,NA
2008-08-22,NA,NA,NA,NA,NA,NA
2008-08-25,NA,NA,NA,NA,NA,NA
2008-08-26,NA,NA,NA,NA,NA,NA
2008-08-27,NA,NA,NA,NA,NA,NA
2008-08-28,NA,NA,NA,NA,NA,NA
2008-08-29,NA,NA,NA,NA,NA,NA
2008-09-01,NA,NA,NA,NA,NA,NA
2008-09-02,NA,NA,NA,NA,NA,NA
2008-09-03,NA,NA,NA,NA,NA,NA
2008-09-04,NA,NA,NA,NA,NA,NA
2008-09-05,NA,NA,NA,NA,NA,NA
2008-09-08,NA,NA,NA,NA,NA,NA
2008-09-09,28.379999,28.450001,28.379999,28.379999,0,28.379999
2008-09-10,NA,NA,NA,NA,NA,NA
2008-09-11,NA,NA,NA,NA,NA,NA
2008-09-12,NA,NA,NA,NA,NA,NA
2008-09-15,NA,NA,NA,NA,NA,NA
2008-09-16,NA,NA,NA,NA,NA,NA
2008-09-17,NA,NA,NA,NA,NA,NA
2008-09-18,NA,NA,NA,NA,NA,NA
