date,open,high,low,close,volume,adjusted
2017-04-21,5.0338,5.0338,5.0338,5.0338,0,5.0338
2017-04-24,5.1004,5.1004,5.1004,5.1004,0,5.1004
2017-04-25,5.1196,5.1196,5.1196,5.1196,0,5.1196
2017-04-26,5.1313,5.1313,5.1313,5.1313,0,5.1313
2017-04-27,5.1343,5.1343,5.1343,5.1343,0,5.1343
2017-04-28,5.1203,5.1203,5.1203,5.1203,0,5.1203
2017-05-02,5.1381,5.1381,5.1381,5.1381,0,5.1381
2017-05-03,5.1242,5.1242,5.1242,5.1242,0,5.1242
2017-05-04,5.1307,5.1307,5.1307,5.1307,0,5.1307
2017-05-05,5.1611,5.1611,5.1611,5.1611,0,5.1611
2017-05-08,5.1674,5.1674,5.1674,5.1674,0,5.1674
2017-05-09,5.1689,5.1689,5.1689,5.1689,0,5.1689
2017-05-10,5.1961,5.1961,5.1961,5.1961,0,5.1961
2017-05-11,5.1849,5.1849,5.1849,5.1849,0,5.1849
2017-05-12,5.1707,5.1707,5.1707,5.1707,0,5.1707
2017-05-15,5.1945,5.1945,5.1945,5.1945,0,5.1945
2017-05-16,5.1971,5.1971,5.1971,5.1971,0,5.1971
2017-05-17,5.1194,5.1194,5.1194,5.1194,0,5.1194
2017-05-18,5.111,5.111,5.111,5.111,0,5.111
2017-05-19,5.1407,5.1407,5.1407,5.1407,0,5.1407
2017-05-22,5.1625,5.1625,5.1625,5.1625,0,5.1625
2017-05-23,5.1692,5.1692,5.1692,5.1692,0,5.1692
2017-05-24,5.1859,5.1859,5.1859,5.1859,0,5.1859
2017-05-26,5.199,5.199,5.199,5.199,0,5.199
2017-05-29,NA,NA,NA,NA,NA,NA
2017-05-30,5.1998,5.1998,5.1998,5.1998,0,5.1998
2017-05-31,5.2001,5.2001,5.2001,5.2001,0,5.2001
2017-06-01,5.2411,5.2411,5.2411,5.2411,0,5.2411
2017-06-02,5.258,5.258,5.258,5.258,0,5.258
2017-06-06,5.2211,5.2211,5.2211,5.2211,0,5.2211
