date,open,high,low,close,volume,adjusted
2007-12-06,15.69,15.69,15.69,15.69,0,15.69
2007-12-07,15.76,15.76,15.76,15.76,0,15.76
2007-12-10,16.129999,16.129999,16.129999,16.129999,0,16.129999
2007-12-11,16.129999,16.129999,16.129999,16.129999,0,16.129999
2007-12-12,16.08,16.08,16.08,16.08,0,16.08
2007-12-13,15.99,15.99,15.99,15.99,0,15.99
2007-12-14,15.99,15.99,15.99,15.99,0,15.99
2007-12-17,15.99,15.99,15.99,15.99,0,15.99
2007-12-18,14.74,14.74,14.74,14.74,0,14.74
2007-12-19,14.75,14.75,14.75,14.75,0,14.75
2007-12-20,NA,NA,NA,NA,NA,NA
2007-12-21,14.68,14.68,14.68,14.68,0,14.68
2007-12-24,NA,NA,NA,NA,NA,NA
2007-12-27,15.33,15.33,15.33,15.33,3000,15.33
2007-12-28,15.33,15.33,15.33,15.33,0,15.33
2007-12-31,NA,NA,NA,NA,NA,NA
2008-01-03,15.33,15.33,15.33,15.33,0,15.33
2008-01-04,14.77,14.77,14.77,14.77,0,14.77
2008-01-07,14.17,14.17,14.17,14.17,0,14.17
2008-01-08,13.97,13.97,13.97,13.97,0,13.97
2008-01-09,13.97,13.97,13.97,13.97,0,13.97
2008-01-10,13.65,13.65,13.65,13.65,0,13.65
2008-01-11,13.51,13.51,13.51,13.51,0,13.51
2008-01-14,13.51,13.51,13.51,13.51,0,13.51
2008-01-15,14.23,14.23,14.23,14.23,0,14.23
2008-01-16,14.23,14.23,14.23,14.23,0,14.23
2008-01-17,14.23,14.23,14.23,14.23,0,14.23
2008-01-18,14.23,14.23,14.23,14.23,0,14.23
2008-01-21,14.23,14.23,14.23,14.23,0,14.23
2008-01-22,14.51,14.51,14.51,14.51,9002,14.51
2008-01-23,14.23,14.23,14.23,14.23,0,14.23
2008-01-24,14.23,14.23,14.23,14.23,0,14.23
2008-01-25,14.23,14.23,14.23,14.23,0,14.23
2008-01-28,14.23,14.23,14.23,14.23,0,14.23
2008-01-29,15.16,15.16,15.16,15.16,0,15.16
2008-01-30,15.16,15.16,15.16,15.16,0,15.16
2008-01-31,15,15,15,15,0,15
2008-02-01,15.07,15.07,15.07,15.07,0,15.07
2008-02-04,15.07,15.07,15.07,15.07,0,15.07
2008-02-05,15.36,15.36,15.36,15.36,0,15.36
2008-02-06,14.86,14.86,14.86,14.86,0,14.86
2008-02-07,14.67,14.67,14.67,14.67,0,14.67
2008-02-08,14.35,14.35,14.35,14.35,0,14.35
2008-02-11,14.7,14.7,14.7,14.7,0,14.7
2008-02-12,14.56,14.56,14.56,14.56,0,14.56
2008-02-13,15.04,15.04,15.04,15.04,0,15.04
2008-02-14,15.14,15.14,15.14,15.14,0,15.14
2008-02-15,14.87,14.87,14.87,14.87,0,14.87
2008-02-18,14.31,14.31,14.31,14.31,0,14.31
2008-02-19,14.61,14.61,14.61,14.61,0,14.61
2008-02-20,14.59,14.59,14.59,14.59,0,14.59
2008-02-21,14.59,14.59,14.59,14.59,0,14.59
2008-02-22,14.8,14.8,14.8,14.8,0,14.8
2008-02-25,14.61,14.61,14.61,14.61,0,14.61
2008-02-26,15.18,15.18,15.18,15.18,0,15.18
2008-02-27,15.36,15.36,15.36,15.36,0,15.36
2008-02-28,15.36,15.36,15.36,15.36,0,15.36
2008-02-29,14.97,14.97,14.97,14.97,0,14.97
2008-03-03,14.44,14.44,14.44,14.44,0,14.44
2008-03-04,14.16,14.16,14.16,14.16,0,14.16
2008-03-05,13.99,13.99,13.99,13.99,0,13.99
2008-03-06,14.69,14.69,14.69,14.69,0,14.69
2008-03-07,14.49,14.49,14.49,14.49,0,14.49
2008-03-10,14.17,14.17,14.17,14.17,0,14.17
2008-03-11,13.88,13.88,13.88,13.88,0,13.88
2008-03-12,14.15,14.15,14.15,14.15,0,14.15
2008-03-13,14.25,14.25,14.25,14.25,0,14.25
2008-03-14,13.97,13.97,13.97,13.97,0,13.97
2008-03-17,13.04,13.04,13.04,13.04,300,13.04
2008-03-18,13.04,13.04,13.04,13.04,0,13.04
2008-03-19,13.38,13.38,13.38,13.38,0,13.38
2008-03-20,13.15,13.15,13.15,13.15,0,13.15
2008-03-25,13.1,13.1,13.1,13.1,0,13.1
2008-03-26,13.53,13.53,13.53,13.53,0,13.53
2008-03-27,13.38,13.38,13.38,13.38,0,13.38
2008-03-28,13.67,13.67,13.67,13.67,0,13.67
2008-03-31,13.37,13.37,13.37,13.37,0,13.37
2008-04-01,13.31,13.31,13.31,13.31,0,13.31
2008-04-02,14.11,14.11,14.11,14.11,0,14.11
2008-04-03,14.19,14.19,14.19,14.19,0,14.19
2008-04-04,13.89,13.89,13.89,13.89,0,13.89
2008-04-07,13.63,13.63,13.63,13.63,0,13.63
2008-04-08,13.66,13.66,13.66,13.66,0,13.66
2008-04-09,13.5,13.5,13.5,13.5,0,13.5
2008-04-10,13.28,13.28,13.28,13.28,0,13.28
2008-04-11,12.95,12.95,12.95,12.95,0,12.95
2008-04-14,12.77,12.77,12.77,12.77,150,12.77
2008-04-15,12.77,12.77,12.77,12.77,0,12.77
2008-04-16,12.77,12.77,12.77,12.77,0,12.77
2008-04-17,12.94,12.94,12.94,12.94,0,12.94
2008-04-18,13.37,13.37,13.37,13.37,150,13.37
2008-04-21,13.14,13.14,13.14,13.14,200,13.14
2008-04-22,13.14,13.14,13.14,13.14,0,13.14
2008-04-23,12.74,12.74,12.74,12.74,200,12.74
2008-04-24,12.74,12.74,12.74,12.74,0,12.74
2008-04-25,13.21,13.21,13.21,13.21,200,13.21
2008-04-28,13.21,13.21,13.21,13.21,0,13.21
2008-04-29,13.44,13.44,13.44,13.44,0,13.44
2008-04-30,13.12,13.12,13.12,13.12,0,13.12
2008-05-02,13.44,13.44,13.44,13.44,200,13.44
2008-05-05,13.55,13.55,13.55,13.55,1500,13.55
2008-05-06,13.55,13.55,13.55,13.55,0,13.55
2008-05-07,13.39,13.39,13.39,13.39,0,13.39
2008-05-08,13.31,13.31,13.31,13.31,0,13.31
2008-05-09,13.32,13.32,13.32,13.32,0,13.32
2008-05-13,12.95,12.95,12.95,12.95,0,12.95
2008-05-14,12.81,12.81,12.81,12.81,0,12.81
2008-05-15,12.73,12.73,12.73,12.73,0,12.73
2008-05-16,12.88,12.88,12.88,12.88,0,12.88
2008-05-19,12.88,12.88,12.88,12.88,0,12.88
2008-05-20,12.81,12.81,12.81,12.81,0,12.81
2008-05-21,12.58,12.58,12.58,12.58,0,12.58
2008-05-22,12.45,12.45,12.45,12.45,0,12.45
2008-05-23,12.45,12.45,12.45,12.45,0,12.45
2008-05-26,12.29,12.29,12.29,12.29,0,12.29
2008-05-27,12.29,12.29,12.29,12.29,0,12.29
2008-05-28,12.06,12.06,12.06,12.06,0,12.06
2008-05-29,12.28,12.28,12.28,12.28,0,12.28
2008-05-30,12.18,12.18,12.18,12.18,0,12.18
2008-06-02,12.15,12.15,12.15,12.15,0,12.15
2008-06-03,11.82,11.82,11.82,11.82,0,11.82
2008-06-04,11.92,11.92,11.92,11.92,0,11.92
2008-06-05,11.96,11.96,11.96,11.96,0,11.96
2008-06-06,11.97,11.97,11.97,11.97,0,11.97
2008-06-09,11.97,11.97,11.97,11.97,0,11.97
2008-06-10,11.38,11.38,11.38,11.38,0,11.38
2008-06-11,11.37,11.37,11.37,11.37,870,11.37
2008-06-12,11.37,11.37,11.37,11.37,0,11.37
2008-06-13,11.37,11.37,11.37,11.37,0,11.37
2008-06-16,11.61,11.61,11.61,11.61,0,11.61
2008-06-17,11.65,11.65,11.65,11.65,0,11.65
2008-06-18,11.77,11.77,11.77,11.77,0,11.77
2008-06-19,11.47,11.47,11.47,11.47,0,11.47
2008-06-20,11.47,11.47,11.47,11.47,0,11.47
2008-06-23,11.47,11.47,11.47,11.47,0,11.47
2008-06-24,11.23,11.23,11.23,11.23,0,11.23
2008-06-25,11.01,11.01,11.01,11.01,0,11.01
2008-06-26,11.23,11.23,11.23,11.23,0,11.23
