date,open,high,low,close,volume,adjusted
2018-05-16,7.38,7.38,7.38,7.38,1038,7.38
2018-05-17,7.37,7.38,7.37,7.38,5753,7.38
2018-05-18,7.4,7.4,7.4,7.4,2719,7.4
2018-05-22,7.46,7.46,7.46,7.46,1130,7.46
2018-05-23,7.46,7.46,7.46,7.46,0,7.46
2018-05-24,7.43,7.43,7.43,7.43,1575,7.43
2018-05-25,7.47,7.47,7.47,7.47,702,7.47
2018-05-28,7.47,7.47,7.47,7.47,1320,7.47
2018-05-29,7.34,7.34,7.34,7.34,3157,7.34
2018-05-30,7.34,7.34,7.34,7.34,0,7.34
2018-05-31,7.4,7.41,7.4,7.4,18561,7.4
2018-06-01,7.39,7.39,7.39,7.39,15000,7.39
2018-06-04,7.5,7.5,7.5,7.5,1038,7.5
2018-06-05,7.54,7.54,7.54,7.54,13200,7.54
2018-06-06,7.59,7.59,7.59,7.59,2660,7.59
2018-06-07,7.6,7.6,7.6,7.6,2300,7.6
2018-06-08,7.6,7.6,7.6,7.6,0,7.6
2018-06-11,7.6,7.6,7.6,7.6,0,7.6
2018-06-12,7.6,7.6,7.6,7.6,0,7.6
2018-06-13,7.63,7.65,7.63,7.65,697449,7.65
2018-06-14,7.58,7.6,7.58,7.6,20931,7.6
2018-06-15,7.59,7.59,7.59,7.59,12426,7.59
2018-06-18,7.56,7.6,7.56,7.6,16165,7.6
2018-06-19,7.6,7.6,7.6,7.6,0,7.6
2018-06-20,7.6,7.6,7.6,7.6,0,7.6
2018-06-21,7.57,7.57,7.54,7.57,125000,7.57
2018-06-22,7.57,7.57,7.57,7.57,0,7.57
2018-06-25,7.57,7.57,7.57,7.57,0,7.57
2018-06-26,7.32,7.32,7.32,7.32,842,7.32
2018-06-27,7.32,7.32,7.32,7.32,0,7.32
2018-06-28,7.32,7.32,7.32,7.32,0,7.32
2018-06-29,7.32,7.32,7.32,7.32,0,7.32
2018-07-02,7.32,7.32,7.32,7.32,0,7.32
2018-07-03,7.39,7.39,7.39,7.39,30000,7.39
2018-07-04,7.39,7.39,7.39,7.39,0,7.39
2018-07-05,7.39,7.39,7.39,7.39,0,7.39
2018-07-06,7.39,7.39,7.39,7.39,0,7.39
2018-07-09,7.39,7.39,7.39,7.39,0,7.39
2018-07-10,7.39,7.39,7.39,7.39,0,7.39
2018-07-11,7.47,7.47,7.47,7.47,1130,7.47
