date,open,high,low,close,volume,adjusted
2018-02-06,5.519,5.591,5.519,5.591,43054,5.591
2018-02-07,5.591,5.591,5.591,5.591,0,5.591
2018-02-08,5.591,5.591,5.591,5.591,0,5.591
2018-02-09,5.591,5.591,5.591,5.591,0,5.591
2018-02-12,5.591,5.591,5.591,5.591,0,5.591
2018-02-13,5.591,5.591,5.591,5.591,0,5.591
2018-02-14,5.591,5.591,5.591,5.591,0,5.591
2018-02-15,5.591,5.591,5.591,5.591,0,5.591
2018-02-16,5.591,5.591,5.591,5.591,0,5.591
2018-02-19,5.591,5.591,5.591,5.591,0,5.591
2018-02-20,5.591,5.591,5.591,5.591,0,5.591
2018-02-21,5.591,5.591,5.591,5.591,0,5.591
2018-02-22,5.591,5.591,5.591,5.591,0,5.591
2018-02-23,5.839,5.848,5.839,5.848,30000,5.848
2018-02-26,5.848,5.848,5.848,5.848,0,5.848
2018-02-27,5.848,5.848,5.848,5.848,0,5.848
2018-02-28,5.848,5.848,5.848,5.848,0,5.848
2018-03-01,5.848,5.848,5.848,5.848,0,5.848
2018-03-02,5.848,5.848,5.848,5.848,0,5.848
2018-03-05,5.848,5.848,5.848,5.848,0,5.848
2018-03-06,5.755,5.755,5.754,5.754,30250,5.754
2018-03-07,5.771,5.771,5.771,5.771,2342,5.771
2018-03-08,5.812,5.812,5.812,5.812,2,5.812
2018-03-09,5.812,5.812,5.812,5.812,0,5.812
2018-03-12,5.812,5.812,5.812,5.812,0,5.812
2018-03-13,5.812,5.812,5.812,5.812,0,5.812
2018-03-14,5.812,5.812,5.812,5.812,0,5.812
2018-03-15,5.812,5.812,5.812,5.812,0,5.812
2018-03-16,5.812,5.812,5.812,5.812,0,5.812
2018-03-19,5.812,5.812,5.812,5.812,0,5.812
2018-03-20,5.812,5.812,5.812,5.812,0,5.812
2018-03-21,5.812,5.812,5.812,5.812,0,5.812
2018-03-22,5.812,5.812,5.812,5.812,0,5.812
2018-03-23,5.548,5.555,5.522,5.555,30538,5.555
2018-03-26,5.495,5.508,5.495,5.508,21397,5.508
2018-03-27,5.508,5.508,5.508,5.508,0,5.508
2018-03-28,5.508,5.508,5.508,5.508,0,5.508
2018-03-29,5.429,5.429,5.429,5.429,817,5.429
2018-04-03,5.429,5.429,5.429,5.429,0,5.429
2018-04-04,5.392,5.397,5.392,5.397,36251,5.397
2018-04-05,5.53,5.53,5.529,5.529,1015,5.529
2018-04-06,NA,NA,NA,NA,NA,NA
2018-04-09,5.529,5.529,5.529,5.529,0,5.529
2018-04-10,5.529,5.529,5.529,5.529,0,5.529
2018-04-11,5.529,5.529,5.529,5.529,0,5.529
2018-04-12,5.529,5.529,5.529,5.529,0,5.529
2018-04-13,5.529,5.529,5.529,5.529,0,5.529
2018-04-16,5.667,5.667,5.664,5.664,7072,5.664
2018-04-17,5.664,5.664,5.664,5.664,0,5.664
2018-04-18,5.664,5.664,5.664,5.664,0,5.664
2018-04-19,5.664,5.664,5.664,5.664,0,5.664
2018-04-20,5.664,5.664,5.664,5.664,0,5.664
2018-04-23,5.664,5.664,5.664,5.664,0,5.664
2018-04-24,5.694,5.694,5.694,5.694,286,5.694
2018-04-25,5.52,5.52,5.51,5.517,19271,5.517
2018-04-26,5.517,5.517,5.517,5.517,0,5.517
2018-04-27,5.568,5.568,5.568,5.568,12500,5.568
2018-04-30,5.568,5.568,5.568,5.568,0,5.568
2018-05-02,5.568,5.568,5.568,5.568,0,5.568
2018-05-03,5.568,5.568,5.568,5.568,0,5.568
2018-05-04,5.568,5.568,5.568,5.568,0,5.568
2018-05-07,5.568,5.568,5.568,5.568,0,5.568
2018-05-08,5.568,5.568,5.568,5.568,0,5.568
2018-05-09,5.568,5.568,5.568,5.568,0,5.568
2018-05-11,5.568,5.568,5.568,5.568,0,5.568
2018-05-14,5.568,5.568,5.568,5.568,0,5.568
2018-05-15,5.568,5.568,5.568,5.568,0,5.568
2018-05-16,5.57,5.57,5.57,5.57,0,5.57
2018-05-17,5.57,5.57,5.57,5.57,0,5.57
2018-05-18,5.57,5.57,5.57,5.57,0,5.57
2018-05-22,5.57,5.57,5.57,5.57,0,5.57
2018-05-23,5.73,5.73,5.73,5.73,254,5.73
2018-05-24,5.73,5.73,5.73,5.73,0,5.73
2018-05-25,5.73,5.73,5.73,5.73,0,5.73
2018-05-28,5.73,5.73,5.73,5.73,0,5.73
2018-05-29,5.64,5.64,5.64,5.64,487,5.64
2018-05-30,5.64,5.64,5.64,5.64,0,5.64
2018-05-31,5.64,5.64,5.64,5.64,0,5.64
2018-06-01,5.64,5.64,5.64,5.64,0,5.64
2018-06-04,5.64,5.64,5.64,5.64,0,5.64
2018-06-05,5.64,5.64,5.64,5.64,0,5.64
2018-06-06,5.64,5.64,5.64,5.64,0,5.64
2018-06-07,5.64,5.64,5.64,5.64,0,5.64
2018-06-08,5.64,5.64,5.64,5.64,0,5.64
2018-06-11,5.64,5.64,5.64,5.64,0,5.64
2018-06-12,5.64,5.64,5.64,5.64,0,5.64
2018-06-13,5.64,5.64,5.64,5.64,0,5.64
2018-06-14,5.64,5.64,5.64,5.64,0,5.64
2018-06-15,5.64,5.64,5.64,5.64,0,5.64
2018-06-18,5.64,5.64,5.64,5.64,0,5.64
2018-06-19,5.64,5.64,5.64,5.64,0,5.64
2018-06-20,5.64,5.64,5.64,5.64,0,5.64
2018-06-21,5.64,5.64,5.64,5.64,0,5.64
2018-06-22,5.64,5.64,5.64,5.64,0,5.64
2018-06-25,5.64,5.64,5.64,5.64,0,5.64
2018-06-26,5.64,5.64,5.64,5.64,0,5.64
2018-06-27,5.64,5.64,5.64,5.64,0,5.64
2018-06-28,5.64,5.64,5.64,5.64,0,5.64
2018-06-29,5.64,5.64,5.64,5.64,0,5.64
2018-07-02,5.64,5.64,5.64,5.64,0,5.64
2018-07-03,5.64,5.64,5.64,5.64,0,5.64
2018-07-04,5.64,5.64,5.64,5.64,0,5.64
