date,open,high,low,close,volume,adjusted
2013-09-30,10.714,10.714,10.714,10.714,0,10.714
2013-10-01,10.7082,10.7082,10.7082,10.7082,0,10.7082
2013-10-02,10.5399,10.5399,10.5399,10.5399,0,10.5399
2013-10-03,10.5416,10.5416,10.5416,10.5416,0,10.5416
2013-10-04,10.4458,10.4458,10.4458,10.4458,0,10.4458
2013-10-07,10.2983,10.2983,10.2983,10.2983,0,10.2983
2013-10-08,10.3129,10.3129,10.3129,10.3129,0,10.3129
2013-10-09,10.4609,10.4609,10.4609,10.4609,0,10.4609
2013-10-10,10.5684,10.5684,10.5684,10.5684,0,10.5684
2013-10-11,10.7356,10.7356,10.7356,10.7356,0,10.7356
2013-10-14,10.7355,10.7355,10.7355,10.7355,0,10.7355
2013-10-15,10.7411,10.7411,10.7411,10.7411,0,10.7411
2013-10-16,10.79,10.79,10.79,10.79,350,10.79
2013-10-17,10.79,10.79,10.79,10.79,0,10.79
2013-10-18,10.79,10.79,10.79,10.79,0,10.79
2013-10-21,10.79,10.79,10.79,10.79,0,10.79
2013-10-22,10.79,10.79,10.79,10.79,0,10.79
2013-10-23,10.79,10.79,10.79,10.79,0,10.79
2013-10-24,10.79,10.79,10.79,10.79,5560,10.79
2013-10-25,10.79,10.79,10.79,10.79,0,10.79
2013-10-28,10.79,10.79,10.79,10.79,0,10.79
2013-10-29,10.79,10.79,10.79,10.79,0,10.79
2013-10-30,10.79,10.79,10.79,10.79,0,10.79
2013-10-31,10.79,10.79,10.79,10.79,0,10.79
2013-11-01,10.79,10.79,10.79,10.79,0,10.79
2013-11-04,10.79,10.79,10.79,10.79,0,10.79
2013-11-05,10.79,10.79,10.79,10.79,0,10.79
2013-11-06,10.79,10.79,10.79,10.79,0,10.79
2013-11-07,10.65,10.74,10.65,10.74,2700,10.74
2013-11-08,10.74,10.74,10.74,10.74,0,10.74
2013-11-11,10.74,10.74,10.74,10.74,0,10.74
2013-11-12,10.85,10.85,10.85,10.85,1500,10.85
2013-11-13,10.85,10.85,10.85,10.85,0,10.85
2013-11-14,10.85,10.85,10.85,10.85,0,10.85
2013-11-15,11.23,11.23,11.23,11.23,15000,11.23
2013-11-18,11.23,11.23,11.23,11.23,0,11.23
2013-11-19,11.13,11.14,11.13,11.14,9000,11.14
2013-11-20,11.14,11.14,11.14,11.14,0,11.14
2013-11-21,11.14,11.14,11.14,11.14,0,11.14
2013-11-22,11.14,11.14,11.14,11.14,0,11.14
2013-11-25,11.32,11.32,11.32,11.32,1335,11.32
2013-11-26,11.32,11.32,11.32,11.32,0,11.32
2013-11-27,11.32,11.32,11.32,11.32,0,11.32
2013-11-28,11.32,11.32,11.32,11.32,0,11.32
2013-11-29,11.38,11.39,11.38,11.39,51000,11.39
2013-12-02,11.38,11.38,11.38,11.38,900,11.38
2013-12-03,11.3,11.3,11.3,11.3,2780,11.3
2013-12-04,11.21,11.21,11.19,11.19,1553,11.19
2013-12-05,11.19,11.19,11.19,11.19,0,11.19
2013-12-06,11.19,11.19,11.19,11.19,0,11.19
2013-12-09,11.34,11.34,11.33,11.33,1850,11.33
2013-12-10,11.33,11.33,11.33,11.33,0,11.33
2013-12-11,11.33,11.33,11.33,11.33,0,11.33
2013-12-12,11.28,11.28,11.26,11.26,1865,11.26
