date,open,high,low,close,volume,adjusted
2017-08-11,10.76,10.76,10.76,10.76,840,10.650721
2017-08-14,10.76,10.76,10.76,10.76,0,10.650721
2017-08-15,10.76,10.76,10.76,10.76,0,10.650721
2017-08-16,10.76,10.76,10.76,10.76,0,10.650721
2017-08-17,10.76,10.76,10.76,10.76,0,10.650721
2017-08-18,10.76,10.76,10.76,10.76,0,10.650721
2017-08-21,10.76,10.76,10.76,10.76,0,10.650721
2017-08-22,10.76,10.76,10.76,10.76,0,10.650721
2017-08-23,10.76,10.76,10.76,10.76,0,10.650721
2017-08-24,10.76,10.76,10.76,10.76,0,10.650721
2017-08-25,10.76,10.76,10.76,10.76,0,10.650721
2017-08-28,10.76,10.76,10.76,10.76,0,10.650721
2017-08-29,10.76,10.76,10.76,10.76,0,10.650721
2017-08-30,10.76,10.76,10.76,10.76,0,10.650721
2017-08-31,10.76,10.76,10.76,10.76,0,10.650721
2017-09-01,10.76,10.76,10.76,10.76,0,10.650721
2017-09-04,10.76,10.76,10.76,10.76,0,10.650721
2017-09-05,10.76,10.76,10.76,10.76,0,10.650721
2017-09-06,10.76,10.76,10.76,10.76,0,10.650721
2017-09-07,10.76,10.76,10.76,10.76,0,10.650721
2017-09-08,10.76,10.76,10.76,10.76,0,10.650721
2017-09-11,10.76,10.76,10.76,10.76,0,10.650721
2017-09-12,10.76,10.76,10.76,10.76,0,10.650721
2017-09-13,11.015,11.015,11.015,11.015,2,10.903131
2017-09-14,11.015,11.015,11.015,11.015,0,10.903131
2017-09-15,11.015,11.015,11.015,11.015,0,10.903131
2017-09-18,11.015,11.015,11.015,11.015,0,10.903131
2017-09-19,11.015,11.015,11.015,11.015,0,10.903131
2017-09-20,11.22,11.22,11.22,11.22,1,11.106049
2017-09-21,11.22,11.22,11.22,11.22,0,11.106049
2017-09-22,11.24,11.24,11.24,11.24,2509,11.125845
2017-09-25,11.24,11.24,11.24,11.24,0,11.125845
2017-09-26,11.24,11.24,11.24,11.24,0,11.125845
2017-09-27,11.24,11.24,11.24,11.24,0,11.125845
2017-09-28,11.24,11.24,11.24,11.24,0,11.125845
2017-09-29,11.24,11.24,11.24,11.24,0,11.125845
2017-10-02,11.24,11.24,11.24,11.24,0,11.125845
2017-10-03,11.41,11.41,11.41,11.41,3829,11.294119
2017-10-04,11.41,11.41,11.41,11.41,0,11.294119
2017-10-05,11.41,11.41,11.41,11.41,0,11.294119
2017-10-06,11.47,11.47,11.47,11.47,1746,11.35351
2017-10-09,11.47,11.47,11.47,11.47,0,11.35351
2017-10-10,11.47,11.47,11.47,11.47,0,11.35351
2017-10-11,11.47,11.47,11.47,11.47,0,11.35351
2017-10-12,11.54,11.56,11.54,11.56,6105,11.442595
2017-10-13,11.56,11.56,11.56,11.56,0,11.442595
2017-10-16,11.56,11.56,11.56,11.56,0,11.442595
2017-10-17,11.56,11.56,11.56,11.56,0,11.442595
2017-10-18,11.73,11.73,11.73,11.73,183,11.610868
2017-10-19,11.72,11.72,11.67,11.67,861,11.551478
2017-10-20,11.67,11.67,11.67,11.67,0,11.551478
2017-10-23,11.67,11.67,11.67,11.67,0,11.551478
2017-10-24,11.92,11.92,11.92,11.92,2118,11.79894
2017-10-25,11.97,11.97,11.97,11.97,1204,11.848432
2017-10-26,11.97,11.97,11.97,11.97,0,11.848432
2017-10-27,12.06,12.06,12.06,12.06,1588,11.937518
2017-10-30,12.06,12.06,12.06,12.06,0,11.937518
2017-10-31,11.99,11.99,11.99,11.99,2175,11.868228
2017-11-01,NA,NA,NA,NA,NA,NA
2017-11-02,12.14,12.14,12.14,12.14,452,12.016706
2017-11-03,12.14,12.14,12.14,12.14,0,12.016706
2017-11-06,12.14,12.14,12.14,12.14,0,12.016706
2017-11-07,12.14,12.14,12.14,12.14,0,12.016706
2017-11-08,12.4,12.4,12.4,12.4,353,12.274064
2017-11-09,12.4,12.4,12.4,12.4,0,12.274064
2017-11-10,12.4,12.4,12.4,12.4,0,12.274064
2017-11-13,12.4,12.4,12.4,12.4,0,12.274064
2017-11-14,12.07,12.07,12.07,12.07,0,11.947415
2017-11-15,11.815,11.815,11.815,11.815,435,11.695005
2017-11-16,12.04,12.04,12.04,12.04,1,11.917721
2017-11-17,12.04,12.04,12.04,12.04,0,11.917721
2017-11-20,12.04,12.04,12.04,12.04,0,11.917721
2017-11-21,12.12,12.12,12.12,12.12,499,11.996908
2017-11-22,12.08,12.08,12.08,12.08,910,11.957314
2017-11-23,12,12,12,12,502,11.878127
2017-11-24,12,12,12,12,0,11.878127
2017-11-27,12,12,12,12,0,11.878127
2017-11-28,12.09,12.09,12.09,12.09,434,11.967213
2017-11-29,12.09,12.09,12.09,12.09,0,11.967213
2017-11-30,12.09,12.09,12.09,12.09,0,11.967213
2017-12-01,12.23,12.23,12.23,12.23,567,12.10579
2017-12-04,12.14,12.14,12.14,12.14,4507,12.016706
2017-12-05,12.02,12.11,12.02,12.11,1759,11.987009
2017-12-06,12,12,12,12,1623,11.878127
2017-12-07,12,12,12,12,0,11.878127
2017-12-08,12,12,12,12,0,11.878127
2017-12-11,12,12,12,12,0,11.878127
2017-12-12,12.34,12.34,12.34,12.34,1502,12.214674
2017-12-13,12.34,12.34,12.34,12.34,0,12.214674
2017-12-14,12.24,12.24,12.24,12.24,255,12.115689
2017-12-15,12.24,12.24,12.24,12.24,0,12.115689
2017-12-18,12.24,12.24,12.24,12.24,0,12.115689
2017-12-19,12.24,12.24,12.24,12.24,0,12.115689
2017-12-20,12.24,12.24,12.24,12.24,0,12.115689
2017-12-21,12.24,12.24,12.24,12.24,0,12.115689
2017-12-22,12.24,12.24,12.24,12.24,0,12.115689
2017-12-27,12.41,12.41,12.41,12.41,302,12.283962
2017-12-28,12.41,12.41,12.41,12.41,0,12.283962
2017-12-29,12.41,12.41,12.41,12.41,0,12.283962
2018-01-03,12.41,12.41,12.41,12.41,0,12.283962
2018-01-04,12.41,12.41,12.41,12.41,0,12.283962
2018-01-05,12.806,12.806,12.806,12.806,6290,12.675941
2018-01-08,12.856,12.856,12.856,12.856,160,12.725433
2018-01-09,12.856,12.856,12.856,12.856,0,12.725433
2018-01-10,12.8,12.8,12.8,12.8,4979,12.670002
2018-01-11,12.8,12.8,12.8,12.8,0,12.670002
2018-01-12,12.8,12.8,12.8,12.8,0,12.670002
2018-01-15,12.8,12.8,12.8,12.8,0,12.670002
2018-01-16,12.898,12.898,12.898,12.898,8015,12.767007
2018-01-17,12.856,12.856,12.856,12.856,1139,12.725433
2018-01-18,12.856,12.856,12.856,12.856,0,12.725433
2018-01-19,12.856,12.856,12.856,12.856,0,12.725433
2018-01-22,12.856,12.932,12.856,12.932,3530,12.800661
2018-01-23,12.932,12.932,12.932,12.932,0,12.800661
2018-01-24,12.908,12.908,12.908,12.908,263,12.776905
2018-01-25,12.908,12.908,12.908,12.908,0,12.776905
2018-01-26,12.908,12.908,12.908,12.908,0,12.776905
2018-01-29,12.908,12.908,12.908,12.908,0,12.776905
2018-01-30,12.564,12.564,12.564,12.564,640,12.436399
2018-01-31,12.564,12.564,12.564,12.564,0,12.436399
2018-02-01,12.546,12.546,12.546,12.546,353,12.418581
2018-02-02,12.546,12.546,12.546,12.546,0,12.418581
2018-02-05,12.546,12.546,12.546,12.546,0,12.418581
2018-02-06,12.546,12.546,12.546,12.546,0,12.418581
2018-02-07,11.982,11.982,11.982,11.982,175,11.86031
2018-02-08,11.982,11.982,11.982,11.982,0,11.86031
2018-02-09,11.982,11.982,11.982,11.982,0,11.86031
2018-02-12,11.808,11.808,11.808,11.808,618,11.688076
2018-02-13,11.808,11.808,11.808,11.808,0,11.688076
2018-02-14,11.548,11.548,11.548,11.548,249,11.430717
2018-02-15,11.644,11.644,11.644,11.644,871,11.525743
2018-02-16,11.844,11.844,11.828,11.828,22928,11.707873
2018-02-19,11.958,11.958,11.958,11.958,88,11.836554
2018-02-20,11.84,11.84,11.84,11.84,471,11.719752
2018-02-21,11.84,11.84,11.84,11.84,0,11.719752
2018-02-22,11.84,11.84,11.84,11.84,0,11.719752
2018-02-23,11.84,11.84,11.84,11.84,0,11.719752
2018-02-26,12.042,12.042,11.994,11.994,3611,11.872189
2018-02-27,12.05,12.05,12.05,12.05,557,11.927619
2018-02-28,11.9,11.938,11.9,11.934,116689,11.812798
2018-03-01,11.592,11.714,11.564,11.638,513958,11.519803
2018-03-02,11.638,11.638,11.638,11.638,0,11.519803
2018-03-05,11.406,11.406,11.406,11.406,2523,11.29016
2018-03-06,11.406,11.406,11.406,11.406,0,11.29016
2018-03-07,11.406,11.406,11.406,11.406,0,11.29016
2018-03-08,11.406,11.406,11.406,11.406,0,11.29016
2018-03-09,11.406,11.406,11.406,11.406,0,11.29016
2018-03-12,11.406,11.406,11.406,11.406,0,11.29016
