date,open,high,low,close,volume,adjusted
2012-06-18,38.376099,38.376099,38.376099,38.376099,0,38.376099
2012-06-19,38.0952,38.0952,38.0952,38.0952,0,38.0952
2012-06-20,38.449001,38.449001,38.449001,38.449001,0,38.449001
2012-06-21,38.302399,38.302399,38.302399,38.302399,0,38.302399
2012-06-22,37.3554,37.3554,37.3554,37.3554,0,37.3554
2012-06-25,36.787399,36.787399,36.787399,36.787399,0,36.787399
2012-06-26,36.767502,36.767502,36.767502,36.767502,0,36.767502
2012-06-27,36.900002,36.900002,36.900002,36.900002,0,36.900002
2012-06-28,37.108799,37.108799,37.108799,37.108799,0,37.108799
2012-06-29,37.408199,37.408199,37.408199,37.408199,0,37.408199
2012-07-02,37.564499,37.564499,37.564499,37.564499,0,37.564499
2012-07-03,38.0825,38.0825,38.0825,38.0825,0,38.0825
2012-07-04,38.615601,38.615601,38.615601,38.615601,0,38.615601
2012-07-05,39.014801,39.014801,39.014801,39.014801,0,39.014801
2012-07-06,38.739201,38.739201,38.739201,38.739201,0,38.739201
2012-07-09,38.021702,38.021702,38.021702,38.021702,0,38.021702
2012-07-10,37.946301,37.946301,37.946301,37.946301,0,37.946301
2012-07-11,37.946899,37.946899,37.946899,37.946899,0,37.946899
2012-07-12,36.914799,36.914799,36.914799,36.914799,0,36.914799
2012-07-13,37.464001,37.464001,37.464001,37.464001,0,37.464001
2012-07-16,37.709202,37.709202,37.709202,37.709202,0,37.709202
2012-07-17,38.036598,38.036598,38.036598,38.036598,0,38.036598
2012-07-18,37.315498,37.315498,37.315498,37.315498,0,37.315498
2012-07-19,38.109699,38.109699,38.109699,38.109699,0,38.109699
2012-07-20,38.326099,38.326099,38.326099,38.326099,0,38.326099
2012-07-23,37.559299,37.559299,37.559299,37.559299,0,37.559299
2012-07-24,37.821602,37.821602,37.821602,37.821602,0,37.821602
2012-07-25,37.001202,37.001202,37.001202,37.001202,0,37.001202
2012-07-26,36.898602,36.898602,36.898602,36.898602,0,36.898602
2012-07-27,38.094501,38.094501,38.094501,38.094501,0,38.094501
2012-07-30,38.979801,38.979801,38.979801,38.979801,0,38.979801
2012-07-31,39.9118,39.9118,39.9118,39.9118,0,39.9118
2012-08-02,39.932899,39.932899,39.932899,39.932899,0,39.932899
2012-08-03,38.706501,38.706501,38.706501,38.706501,0,38.706501
2012-08-06,39.594101,39.594101,39.594101,39.594101,0,39.594101
2012-08-07,39.5821,39.5821,39.5821,39.5821,0,39.5821
2012-08-08,40.198399,40.198399,40.198399,40.198399,0,40.198399
2012-08-09,41.252201,41.252201,41.252201,41.252201,0,41.252201
2012-08-10,41.2024,41.2024,41.2024,41.2024,0,41.2024
2012-08-13,40.632,40.632,40.632,40.632,0,40.632
2012-08-14,41.348301,41.348301,41.348301,41.348301,0,41.348301
2012-08-15,NA,NA,NA,NA,NA,NA
2012-08-16,41.001999,41.001999,41.001999,41.001999,0,41.001999
2012-08-17,40.805302,40.805302,40.805302,40.805302,0,40.805302
2012-08-20,40.549599,40.549599,40.549599,40.549599,0,40.549599
2012-08-21,40.2117,40.2117,40.2117,40.2117,0,40.2117
2012-08-22,39.8736,39.8736,39.8736,39.8736,0,39.8736
2012-08-23,39.8759,39.8759,39.8759,39.8759,0,39.8759
2012-08-24,39.401501,39.401501,39.401501,39.401501,0,39.401501
2012-08-27,39.056301,39.056301,39.056301,39.056301,0,39.056301
2012-08-28,38.832298,38.832298,38.832298,38.832298,0,38.832298
2012-08-29,39.409199,39.409199,39.409199,39.409199,0,39.409199
2012-08-30,38.981201,38.981201,38.981201,38.981201,0,38.981201
2012-08-31,38.6236,38.6236,38.6236,38.6236,0,38.6236
2012-09-03,38.9198,38.9198,38.9198,38.9198,0,38.9198
2012-09-04,38.809399,38.809399,38.809399,38.809399,0,38.809399
2012-09-05,37.840698,37.840698,37.840698,37.840698,0,37.840698
2012-09-06,37.941502,37.941502,37.941502,37.941502,0,37.941502
2012-09-07,38.717201,38.717201,38.717201,38.717201,0,38.717201
2012-09-10,38.713501,38.713501,38.713501,38.713501,0,38.713501
2012-09-11,38.4753,38.4753,38.4753,38.4753,0,38.4753
2012-09-12,39.049999,39.049999,39.049999,39.049999,0,39.049999
2012-09-13,38.901402,38.901402,38.901402,38.901402,0,38.901402
2012-09-14,39.8344,39.8344,39.8344,39.8344,0,39.8344
2012-09-17,39.7509,39.7509,39.7509,39.7509,0,39.7509
2012-09-18,39.9212,39.9212,39.9212,39.9212,0,39.9212
2012-09-19,40.020901,40.020901,40.020901,40.020901,0,40.020901
2012-09-20,39.625599,39.625599,39.625599,39.625599,0,39.625599
2012-09-21,39.858398,39.858398,39.858398,39.858398,0,39.858398
2012-09-24,40.091801,40.091801,40.091801,40.091801,0,40.091801
2012-09-25,39.756699,39.756699,39.756699,39.756699,0,39.756699
2012-09-26,39.848099,39.848099,39.848099,39.848099,0,39.848099
2012-09-27,40.125599,40.125599,40.125599,40.125599,0,40.125599
2012-09-28,40.453602,40.453602,40.453602,40.453602,0,40.453602
2012-10-01,NA,NA,NA,NA,NA,NA
2012-10-02,40.204399,40.204399,40.204399,40.204399,0,40.204399
2012-10-03,NA,NA,NA,NA,NA,NA
2012-10-04,39.850101,39.850101,39.850101,39.850101,0,39.850101
2012-10-05,39.802799,39.802799,39.802799,39.802799,0,39.802799
2012-10-08,39.744598,39.744598,39.744598,39.744598,0,39.744598
2012-10-09,39.910801,39.910801,39.910801,39.910801,0,39.910801
2012-10-10,39.063,39.063,39.063,39.063,0,39.063
2012-10-11,38.606499,38.606499,38.606499,38.606499,0,38.606499
2012-10-12,38.535702,38.535702,38.535702,38.535702,0,38.535702
2012-10-15,38.473999,38.473999,38.473999,38.473999,0,38.473999
2012-10-16,38.751499,38.751499,38.751499,38.751499,0,38.751499
2012-10-17,38.848801,38.848801,38.848801,38.848801,0,38.848801
2012-10-18,39.181999,39.181999,39.181999,39.181999,0,39.181999
2012-10-19,38.995701,38.995701,38.995701,38.995701,0,38.995701
2012-10-22,38.761799,38.761799,38.761799,38.761799,0,38.761799
2012-10-23,38.743301,38.743301,38.743301,38.743301,0,38.743301
2012-10-24,38.3209,38.3209,38.3209,38.3209,0,38.3209
