date,open,high,low,close,volume,adjusted
2012-06-18,4.0856,4.0856,4.0856,4.0856,0,4.0856
2012-06-19,4.1014,4.1014,4.1014,4.1014,0,4.1014
2012-06-20,4.1248,4.1248,4.1248,4.1248,0,4.1248
2012-06-21,4.067,4.067,4.067,4.067,0,4.067
2012-06-22,4.0029,4.0029,4.0029,4.0029,0,4.0029
2012-06-25,3.9638,3.9638,3.9638,3.9638,0,3.9638
2012-06-26,3.9662,3.9662,3.9662,3.9662,0,3.9662
2012-06-27,4.0027,4.0027,4.0027,4.0027,0,4.0027
2012-06-28,3.9886,3.9886,3.9886,3.9886,0,3.9886
2012-06-29,4.0959,4.0959,4.0959,4.0959,0,4.0959
2012-07-02,4.1132,4.1132,4.1132,4.1132,0,4.1132
2012-07-03,4.1619,4.1619,4.1619,4.1619,0,4.1619
2012-07-04,4.1855,4.1855,4.1855,4.1855,0,4.1855
2012-07-05,4.1875,4.1875,4.1875,4.1875,0,4.1875
2012-07-06,4.1654,4.1654,4.1654,4.1654,0,4.1654
2012-07-09,4.0992,4.0992,4.0992,4.0992,0,4.0992
2012-07-10,4.0998,4.0998,4.0998,4.0998,0,4.0998
2012-07-11,4.1062,4.1062,4.1062,4.1062,0,4.1062
2012-07-12,4.0198,4.0198,4.0198,4.0198,0,4.0198
2012-07-13,4.0595,4.0595,4.0595,4.0595,0,4.0595
2012-07-16,4.0714,4.0714,4.0714,4.0714,0,4.0714
2012-07-17,4.1103,4.1103,4.1103,4.1103,0,4.1103
2012-07-18,4.091,4.091,4.091,4.091,0,4.091
2012-07-19,4.1644,4.1644,4.1644,4.1644,0,4.1644
2012-07-20,4.1572,4.1572,4.1572,4.1572,0,4.1572
2012-07-23,4.0569,4.0569,4.0569,4.0569,0,4.0569
2012-07-24,4.0544,4.0544,4.0544,4.0544,0,4.0544
2012-07-25,4.0309,4.0309,4.0309,4.0309,0,4.0309
2012-07-26,4.0557,4.0557,4.0557,4.0557,0,4.0557
2012-07-27,4.1446,4.1446,4.1446,4.1446,0,4.1446
2012-07-30,4.195,4.195,4.195,4.195,0,4.195
2012-07-31,4.2521,4.2521,4.2521,4.2521,0,4.2521
2012-08-02,4.2299,4.2299,4.2299,4.2299,0,4.2299
2012-08-03,4.2103,4.2103,4.2103,4.2103,0,4.2103
2012-08-06,4.2781,4.2781,4.2781,4.2781,0,4.2781
2012-08-07,4.2896,4.2896,4.2896,4.2896,0,4.2896
2012-08-08,4.3031,4.3031,4.3031,4.3031,0,4.3031
2012-08-09,4.3414,4.3414,4.3414,4.3414,0,4.3414
2012-08-10,4.3216,4.3216,4.3216,4.3216,0,4.3216
2012-08-13,4.3051,4.3051,4.3051,4.3051,0,4.3051
2012-08-14,4.3304,4.3304,4.3304,4.3304,0,4.3304
2012-08-15,4.3125,4.3125,4.3125,4.3125,0,4.3125
2012-08-16,4.3154,4.3154,4.3154,4.3154,0,4.3154
2012-08-17,4.3158,4.3158,4.3158,4.3158,0,4.3158
2012-08-20,4.319,4.319,4.319,4.319,0,4.319
2012-08-21,4.3472,4.3472,4.3472,4.3472,0,4.3472
2012-08-22,4.3182,4.3182,4.3182,4.3182,0,4.3182
2012-08-23,4.3521,4.3521,4.3521,4.3521,0,4.3521
2012-08-24,4.2985,4.2985,4.2985,4.2985,0,4.2985
2012-08-27,4.2785,4.2785,4.2785,4.2785,0,4.2785
2012-08-28,4.2715,4.2715,4.2715,4.2715,0,4.2715
2012-08-29,4.2707,4.2707,4.2707,4.2707,0,4.2707
2012-08-30,4.2295,4.2295,4.2295,4.2295,0,4.2295
2012-08-31,4.2355,4.2355,4.2355,4.2355,0,4.2355
2012-09-03,4.2466,4.2466,4.2466,4.2466,0,4.2466
2012-09-04,4.2283,4.2283,4.2283,4.2283,0,4.2283
2012-09-05,4.1748,4.1748,4.1748,4.1748,0,4.1748
2012-09-06,4.2013,4.2013,4.2013,4.2013,0,4.2013
2012-09-07,4.2921,4.2921,4.2921,4.2921,0,4.2921
2012-09-10,4.301,4.301,4.301,4.301,0,4.301
2012-09-11,4.3107,4.3107,4.3107,4.3107,0,4.3107
2012-09-12,4.3608,4.3608,4.3608,4.3608,0,4.3608
2012-09-13,4.3525,4.3525,4.3525,4.3525,0,4.3525
2012-09-14,4.4851,4.4851,4.4851,4.4851,0,4.4851
2012-09-17,4.4885,4.4885,4.4885,4.4885,0,4.4885
2012-09-18,4.4629,4.4629,4.4629,4.4629,0,4.4629
2012-09-19,4.4923,4.4923,4.4923,4.4923,0,4.4923
2012-09-20,4.4353,4.4353,4.4353,4.4353,0,4.4353
2012-09-21,4.4789,4.4789,4.4789,4.4789,0,4.4789
2012-09-24,4.4598,4.4598,4.4598,4.4598,0,4.4598
2012-09-25,4.4558,4.4558,4.4558,4.4558,0,4.4558
2012-09-26,4.4117,4.4117,4.4117,4.4117,0,4.4117
2012-09-27,4.4543,4.4543,4.4543,4.4543,0,4.4543
2012-09-28,4.4828,4.4828,4.4828,4.4828,0,4.4828
2012-10-01,4.4777,4.4777,4.4777,4.4777,0,4.4777
2012-10-02,4.4858,4.4858,4.4858,4.4858,0,4.4858
2012-10-03,4.4809,4.4809,4.4809,4.4809,0,4.4809
2012-10-04,4.4948,4.4948,4.4948,4.4948,0,4.4948
2012-10-05,4.5175,4.5175,4.5175,4.5175,0,4.5175
2012-10-08,4.4747,4.4747,4.4747,4.4747,0,4.4747
2012-10-09,4.4811,4.4811,4.4811,4.4811,0,4.4811
2012-10-10,4.4616,4.4616,4.4616,4.4616,0,4.4616
2012-10-11,4.4588,4.4588,4.4588,4.4588,0,4.4588
2012-10-12,4.4634,4.4634,4.4634,4.4634,0,4.4634
2012-10-15,4.4583,4.4583,4.4583,4.4583,0,4.4583
2012-10-16,4.4798,4.4798,4.4798,4.4798,0,4.4798
2012-10-17,4.5231,4.5231,4.5231,4.5231,0,4.5231
2012-10-18,4.5525,4.5525,4.5525,4.5525,0,4.5525
2012-10-19,4.5299,4.5299,4.5299,4.5299,0,4.5299
2012-10-22,4.5246,4.5246,4.5246,4.5246,0,4.5246
2012-10-23,4.505,4.505,4.505,4.505,0,4.505
2012-10-24,4.4982,4.4982,4.4982,4.4982,0,4.4982
2012-10-25,4.5146,4.5146,4.5146,4.5146,0,4.5146
2012-10-26,4.4688,4.4688,4.4688,4.4688,0,4.4688
2012-10-29,4.46,4.46,4.46,4.46,0,4.46
2012-10-30,4.474,4.474,4.474,4.474,0,4.474
2012-10-31,4.5012,4.5012,4.5012,4.5012,0,4.5012
2012-11-01,4.4964,4.4964,4.4964,4.4964,0,4.4964
2012-11-02,4.5236,4.5236,4.5236,4.5236,0,4.5236
2012-11-05,4.5104,4.5104,4.5104,4.5104,0,4.5104
2012-11-06,4.5309,4.5309,4.5309,4.5309,0,4.5309
2012-11-07,4.5666,4.5666,4.5666,4.5666,0,4.5666
2012-11-08,4.5115,4.5115,4.5115,4.5115,0,4.5115
2012-11-09,4.4942,4.4942,4.4942,4.4942,0,4.4942
2012-11-12,4.4947,4.4947,4.4947,4.4947,0,4.4947
2012-11-13,4.4482,4.4482,4.4482,4.4482,0,4.4482
2012-11-14,4.4635,4.4635,4.4635,4.4635,0,4.4635
2012-11-15,4.4113,4.4113,4.4113,4.4113,0,4.4113
2012-11-16,4.3932,4.3932,4.3932,4.3932,0,4.3932
2012-11-19,4.4234,4.4234,4.4234,4.4234,0,4.4234
2012-11-20,4.4349,4.4349,4.4349,4.4349,0,4.4349
2012-11-21,4.44,4.44,4.44,4.44,0,4.44
2012-11-22,4.4778,4.4778,4.4778,4.4778,0,4.4778
2012-11-23,4.5169,4.5169,4.5169,4.5169,0,4.5169
2012-11-26,4.5227,4.5227,4.5227,4.5227,0,4.5227
2012-11-27,4.5465,4.5465,4.5465,4.5465,0,4.5465
2012-11-28,4.5314,4.5314,4.5314,4.5314,0,4.5314
2012-11-29,4.5783,4.5783,4.5783,4.5783,0,4.5783
2012-11-30,4.6045,4.6045,4.6045,4.6045,0,4.6045
2012-12-03,4.6,4.6,4.6,4.6,0,4.6
2012-12-04,4.5971,4.5971,4.5971,4.5971,0,4.5971
2012-12-05,4.6365,4.6365,4.6365,4.6365,0,4.6365
2012-12-06,4.6454,4.6454,4.6454,4.6454,0,4.6454
2012-12-07,4.6625,4.6625,4.6625,4.6625,0,4.6625
2012-12-10,4.6723,4.6723,4.6723,4.6723,0,4.6723
2012-12-11,4.6891,4.6891,4.6891,4.6891,0,4.6891
2012-12-12,4.7219,4.7219,4.7219,4.7219,0,4.7219
2012-12-13,4.7309,4.7309,4.7309,4.7309,0,4.7309
2012-12-14,4.7328,4.7328,4.7328,4.7328,0,4.7328
2012-12-17,4.7103,4.7103,4.7103,4.7103,0,4.7103
2012-12-18,4.7214,4.7214,4.7214,4.7214,0,4.7214
2012-12-19,4.7395,4.7395,4.7395,4.7395,0,4.7395
2012-12-20,4.736,4.736,4.736,4.736,0,4.736
2012-12-21,4.6978,4.6978,4.6978,4.6978,0,4.6978
2012-12-27,4.7202,4.7202,4.7202,4.7202,0,4.7202
2012-12-28,4.7467,4.7467,4.7467,4.7467,0,4.7467
2013-01-03,4.8704,4.8704,4.8704,4.8704,0,4.8704
2013-01-04,4.8456,4.8456,4.8456,4.8456,0,4.8456
2013-01-07,4.84,4.84,4.84,4.84,0,4.84
2013-01-08,4.8116,4.8116,4.8116,4.8116,0,4.8116
2013-01-09,4.8294,4.8294,4.8294,4.8294,0,4.8294
2013-01-10,4.8614,4.8614,4.8614,4.8614,0,4.8614
