date,open,high,low,close,volume,adjusted
2017-12-14,20,20,20,20,7000,19.773146
2017-12-15,20,20,20,20,0,19.773146
2017-12-18,20,20,20,20,0,19.773146
2017-12-19,20,20,20,20,0,19.773146
2017-12-20,20,20,20,20,0,19.773146
2017-12-21,20,20,20,20,0,19.773146
2017-12-22,20,20,20,20,0,19.773146
2017-12-27,20,20,20,20,0,19.773146
2017-12-28,20,20,20,20,7000,19.773146
2017-12-29,20,20,20,20,0,19.773146
2018-01-03,20,20,20,20,0,19.773146
2018-01-04,20,20,20,20,0,19.773146
2018-01-05,19.732,19.732,19.732,19.732,1300,19.508186
2018-01-08,19.732,19.732,19.732,19.732,0,19.508186
2018-01-09,19.851999,19.851999,19.785999,19.785999,3104,19.561573
2018-01-10,19.785999,19.785999,19.785999,19.785999,0,19.561573
2018-01-11,19.836,19.836,19.836,19.836,7000,19.611006
2018-01-12,19.836,19.836,19.836,19.836,0,19.611006
2018-01-15,19.836,19.836,19.83,19.83,7022,19.605074
2018-01-16,19.827999,19.827999,19.785999,19.785999,7100,19.561573
2018-01-17,19.802,19.802,19.708,19.708,10488,19.484459
2018-01-18,19.677999,19.677999,19.677999,19.677999,7000,19.454798
2018-01-19,19.677999,19.677999,19.677999,19.677999,0,19.454798
2018-01-22,19.677999,19.677999,19.677999,19.677999,0,19.454798
2018-01-23,19.677999,19.677999,19.677999,19.677999,0,19.454798
2018-01-24,19.652,19.652,19.596001,19.596001,14000,19.37373
2018-01-25,19.615999,19.615999,19.615999,19.615999,7000,19.393501
2018-01-26,19.566,19.566,19.566,19.566,7000,19.344069
2018-01-29,19.528,19.542,19.528,19.542,2350,19.320341
2018-01-30,19.254,19.32,19.254,19.32,14000,19.100859
2018-01-31,19.25,19.288,19.25,19.288,14000,19.069221
2018-02-01,19.256001,19.256001,19.256001,19.256001,7000,19.037586
2018-02-02,19.177999,19.177999,19.177999,19.177999,7000,18.960468
2018-02-05,19.16,19.16,19.16,19.16,7000,18.942673
2018-02-06,18.992001,19.153999,18.992001,19.104,37000,18.887308
2018-02-07,19.108,19.108,19.108,19.108,7000,18.891264
2018-02-08,19.108,19.108,19.108,19.108,0,18.891264
2018-02-09,19.360001,19.360001,19.164,19.285999,31966,19.067244
2018-02-12,19.356001,19.356001,19.356001,19.356001,7000,19.136452
2018-02-13,19.356001,19.356001,19.356001,19.356001,0,19.136452
2018-02-14,19.214001,19.214001,19.214001,19.214001,240,18.996061
2018-02-15,19.214001,19.214001,19.214001,19.214001,0,18.996061
2018-02-16,19.278,19.278,19.188,19.238001,14016,19.019791
2018-02-19,19.238001,19.238001,19.238001,19.238001,0,19.019791
2018-02-20,19.238001,19.238001,19.238001,19.238001,0,19.019791
2018-02-21,19.238001,19.238001,19.238001,19.238001,0,19.019791
2018-02-22,19.238001,19.238001,19.238001,19.238001,0,19.019791
