date,open,high,low,close,volume,adjusted
2012-06-18,143.539993,143.539993,143.539993,143.539993,0,143.539993
2012-06-19,142.940002,142.940002,142.940002,142.940002,0,142.940002
2012-06-20,142.399994,142.399994,142.399994,142.399994,0,142.399994
2012-06-21,142.770004,142.770004,142.770004,142.770004,0,142.770004
2012-06-22,142.610001,142.610001,142.610001,142.610001,0,142.610001
2012-06-25,143.160004,143.160004,143.160004,143.160004,0,143.160004
2012-06-26,142.949997,142.949997,142.949997,142.949997,0,142.949997
2012-06-27,142.729996,142.729996,142.729996,142.729996,0,142.729996
2012-06-28,143.059998,143.059998,143.059998,143.059998,0,143.059998
2012-06-29,142.649994,142.649994,142.649994,142.649994,0,142.649994
2012-07-02,143.039993,143.039993,143.039993,143.039993,0,143.039993
2012-07-03,143.029999,143.029999,143.029999,143.029999,0,143.029999
2012-07-04,143.460007,143.460007,143.460007,143.460007,0,143.460007
2012-07-05,143.860001,143.860001,143.860001,143.860001,0,143.860001
2012-07-06,144.330002,144.330002,144.330002,144.330002,0,144.330002
2012-07-09,144.259995,144.259995,144.259995,144.259995,0,144.259995
2012-07-10,144.360001,144.360001,144.360001,144.360001,0,144.360001
2012-07-11,144.490005,144.490005,144.490005,144.490005,0,144.490005
2012-07-12,144.720001,144.720001,144.720001,144.720001,0,144.720001
2012-07-13,144.660004,144.660004,144.660004,144.660004,0,144.660004
2012-07-16,144.839996,144.839996,144.839996,144.839996,0,144.839996
2012-07-17,144.910004,144.910004,144.910004,144.910004,0,144.910004
2012-07-18,144.970001,144.970001,144.970001,144.970001,0,144.970001
2012-07-19,144.880005,144.880005,144.880005,144.880005,0,144.880005
2012-07-20,145.179993,145.179993,145.179993,145.179993,0,145.179993
2012-07-23,145.059998,145.059998,145.059998,145.059998,0,145.059998
2012-07-24,144.770004,144.770004,144.770004,144.770004,0,144.770004
2012-07-25,144.580002,144.580002,144.580002,144.580002,0,144.580002
2012-07-26,144.419998,144.419998,144.419998,144.419998,0,144.419998
2012-07-27,143.970001,143.970001,143.970001,143.970001,0,143.970001
2012-07-30,144.100006,144.100006,144.100006,144.100006,0,144.100006
2012-07-31,144.679993,144.679993,144.679993,144.679993,0,144.679993
2012-08-02,144.839996,144.839996,144.839996,144.839996,0,144.839996
2012-08-03,143.940002,143.940002,143.940002,143.940002,0,143.940002
2012-08-06,144.100006,144.100006,144.100006,144.100006,0,144.100006
2012-08-07,143.639999,143.639999,143.639999,143.639999,0,143.639999
2012-08-08,143.910004,143.910004,143.910004,143.910004,0,143.910004
2012-08-09,144.009995,144.009995,144.009995,144.009995,0,144.009995
2012-08-10,144.320007,144.320007,144.320007,144.320007,0,144.320007
2012-08-13,144.039993,144.039993,144.039993,144.039993,0,144.039993
2012-08-14,143.75,143.75,143.75,143.75,0,143.75
2012-08-15,142.350006,142.350006,142.350006,142.350006,0,142.350006
2012-08-16,142.550003,142.550003,142.550003,142.550003,0,142.550003
2012-08-17,142.75,142.75,142.75,142.75,0,142.75
2012-08-20,142.710007,142.710007,142.710007,142.710007,0,142.710007
2012-08-21,142.410004,142.410004,142.410004,142.410004,0,142.410004
2012-08-22,142.839996,142.839996,142.839996,142.839996,0,142.839996
2012-08-23,143.240005,143.240005,143.240005,143.240005,0,143.240005
2012-08-24,143.460007,143.460007,143.460007,143.460007,0,143.460007
2012-08-27,143.369995,143.369995,143.369995,143.369995,0,143.369995
2012-08-28,143.399994,143.399994,143.399994,143.399994,0,143.399994
2012-08-29,143.279999,143.279999,143.279999,143.279999,0,143.279999
2012-08-30,143.600006,143.600006,143.600006,143.600006,0,143.600006
2012-08-31,143.460007,143.460007,143.460007,143.460007,0,143.460007
2012-09-03,143.419998,143.419998,143.419998,143.419998,0,143.419998
2012-09-04,143.320007,143.320007,143.320007,143.320007,0,143.320007
2012-09-05,143.110001,143.110001,143.110001,143.110001,0,143.110001
2012-09-06,142.419998,142.419998,142.419998,142.419998,0,142.419998
2012-09-07,142.630005,142.630005,142.630005,142.630005,0,142.630005
2012-09-10,142.449997,142.449997,142.449997,142.449997,0,142.449997
2012-09-11,142.539993,142.539993,142.539993,142.539993,0,142.539993
2012-09-12,142.070007,142.070007,142.070007,142.070007,0,142.070007
2012-09-13,142.389999,142.389999,142.389999,142.389999,0,142.389999
2012-09-14,141.710007,141.710007,141.710007,141.710007,0,141.710007
2012-09-17,141.809998,141.809998,141.809998,141.809998,0,141.809998
2012-09-18,142.029999,142.029999,142.029999,142.029999,0,142.029999
2012-09-19,142.199997,142.199997,142.199997,142.199997,0,142.199997
2012-09-20,142.419998,142.419998,142.419998,142.419998,0,142.419998
2012-09-21,142.369995,142.369995,142.369995,142.369995,0,142.369995
2012-09-24,142.520004,142.520004,142.520004,142.520004,0,142.520004
2012-09-25,142.419998,142.419998,142.419998,142.419998,0,142.419998
2012-09-26,142.889999,142.889999,142.889999,142.889999,0,142.889999
2012-09-27,142.899994,142.899994,142.899994,142.899994,0,142.899994
2012-09-28,143.070007,143.070007,143.070007,143.070007,0,143.070007
2012-10-01,142.839996,142.839996,142.839996,142.839996,0,142.839996
2012-10-02,142.880005,142.880005,142.880005,142.880005,0,142.880005
2012-10-03,142.970001,142.970001,142.970001,142.970001,0,142.970001
2012-10-04,142.970001,142.970001,142.970001,142.970001,0,142.970001
2012-10-05,142.660004,142.660004,142.660004,142.660004,0,142.660004
2012-10-08,142.789993,142.789993,142.789993,142.789993,0,142.789993
2012-10-09,142.899994,142.899994,142.899994,142.899994,0,142.899994
2012-10-10,142.880005,142.880005,142.880005,142.880005,0,142.880005
2012-10-11,142.789993,142.789993,142.789993,142.789993,0,142.789993
2012-10-12,143.009995,143.009995,143.009995,143.009995,0,143.009995
2012-10-15,143,143,143,143,0,143
2012-10-16,142.610001,142.610001,142.610001,142.610001,0,142.610001
2012-10-17,142.210007,142.210007,142.210007,142.210007,0,142.210007
2012-10-18,142.149994,142.149994,142.149994,142.149994,0,142.149994
2012-10-19,142.210007,142.210007,142.210007,142.210007,0,142.210007
2012-10-22,142.070007,142.070007,142.070007,142.070007,0,142.070007
2012-10-23,142.350006,142.350006,142.350006,142.350006,0,142.350006
2012-10-24,142.440002,142.440002,142.440002,142.440002,0,142.440002
2012-10-25,142.380005,142.380005,142.380005,142.380005,0,142.380005
2012-10-26,142.729996,142.729996,142.729996,142.729996,0,142.729996
2012-10-29,143.050003,143.050003,143.050003,143.050003,0,143.050003
2012-10-30,143.009995,143.009995,143.009995,143.009995,0,143.009995
2012-10-31,143.070007,143.070007,143.070007,143.070007,0,143.070007
2012-11-01,143.130005,143.130005,143.130005,143.130005,0,143.130005
2012-11-02,143.229996,143.229996,143.229996,143.229996,0,143.229996
2012-11-05,143.440002,143.440002,143.440002,143.440002,0,143.440002
2012-11-06,143.389999,143.389999,143.389999,143.389999,0,143.389999
2012-11-07,143.770004,143.770004,143.770004,143.770004,0,143.770004
2012-11-08,143.839996,143.839996,143.839996,143.839996,0,143.839996
2012-11-09,143.889999,143.889999,143.889999,143.889999,0,143.889999
2012-11-12,143.889999,143.889999,143.889999,143.889999,0,143.889999
2012-11-13,143.880005,143.880005,143.880005,143.880005,0,143.880005
2012-11-14,143.910004,143.910004,143.910004,143.910004,0,143.910004
2012-11-15,142.979996,142.979996,142.979996,142.979996,0,142.979996
2012-11-16,143.089996,143.089996,143.089996,143.089996,0,143.089996
2012-11-19,142.929993,142.929993,142.929993,142.929993,0,142.929993
2012-11-20,142.630005,142.630005,142.630005,142.630005,0,142.630005
2012-11-21,142.490005,142.490005,142.490005,142.490005,0,142.490005
2012-11-22,142.5,142.5,142.5,142.5,0,142.5
2012-11-23,142.470001,142.470001,142.470001,142.470001,0,142.470001
2012-11-26,142.490005,142.490005,142.490005,142.490005,0,142.490005
2012-11-27,142.490005,142.490005,142.490005,142.490005,0,142.490005
2012-11-28,142.880005,142.880005,142.880005,142.880005,0,142.880005
2012-11-29,142.800003,142.800003,142.800003,142.800003,0,142.800003
2012-11-30,142.809998,142.809998,142.809998,142.809998,0,142.809998
2012-12-03,142.570007,142.570007,142.570007,142.570007,0,142.570007
2012-12-04,142.570007,142.570007,142.570007,142.570007,0,142.570007
2012-12-05,143.039993,143.039993,143.039993,143.039993,0,143.039993
2012-12-06,143.330002,143.330002,143.330002,143.330002,0,143.330002
2012-12-07,143.419998,143.419998,143.419998,143.419998,0,143.419998
2012-12-10,143.380005,143.380005,143.380005,143.380005,0,143.380005
2012-12-11,143.279999,143.279999,143.279999,143.279999,0,143.279999
2012-12-12,143.259995,143.259995,143.259995,143.259995,0,143.259995
2012-12-13,143.160004,143.160004,143.160004,143.160004,0,143.160004
2012-12-14,143.100006,143.100006,143.100006,143.100006,0,143.100006
2012-12-17,143.029999,143.029999,143.029999,143.029999,0,143.029999
2012-12-18,142.729996,142.729996,142.729996,142.729996,0,142.729996
2012-12-19,142.759995,142.759995,142.759995,142.759995,0,142.759995
2012-12-20,142.800003,142.800003,142.800003,142.800003,0,142.800003
2012-12-21,143.020004,143.020004,143.020004,143.020004,0,143.020004
2012-12-27,143.369995,143.369995,143.369995,143.369995,0,143.369995
2012-12-28,143.410004,143.410004,143.410004,143.410004,0,143.410004
2013-01-03,142.429993,142.429993,142.429993,142.429993,0,142.429993
2013-01-04,142.009995,142.009995,142.009995,142.009995,0,142.009995
2013-01-07,142.089996,142.089996,142.089996,142.089996,0,142.089996
2013-01-08,142.300003,142.300003,142.300003,142.300003,0,142.300003
2013-01-09,142.389999,142.389999,142.389999,142.389999,0,142.389999
2013-01-10,141.940002,141.940002,141.940002,141.940002,0,141.940002
2013-01-11,172.389999,172.389999,172.389999,172.389999,577,172.389999
2013-01-14,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-15,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-16,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-17,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-18,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-21,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-22,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-23,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-24,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-25,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-28,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-29,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-30,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-01-31,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-01,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-04,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-05,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-06,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-07,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-08,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-11,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-12,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-13,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-14,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-15,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-18,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-19,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-20,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-21,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-22,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-25,172.389999,172.389999,172.389999,172.389999,0,172.389999
2013-02-26,172.860001,172.860001,172.860001,172.860001,700,172.860001
2013-02-27,172.860001,172.860001,172.860001,172.860001,0,172.860001
2013-02-28,172.860001,172.860001,172.860001,172.860001,0,172.860001
2013-03-01,172.860001,172.860001,172.860001,172.860001,0,172.860001
2013-03-04,172.860001,172.860001,172.860001,172.860001,0,172.860001
2013-03-05,174.449997,174.449997,174.449997,174.449997,700,174.449997
2013-03-06,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-07,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-08,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-11,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-12,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-13,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-14,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-15,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-18,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-19,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-20,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-21,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-22,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-25,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-26,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-27,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-03-28,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-02,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-03,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-04,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-05,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-08,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-09,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-10,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-11,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-12,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-15,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-16,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-17,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-18,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-19,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-22,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-23,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-24,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-25,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-26,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-29,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-04-30,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-02,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-03,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-06,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-07,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-08,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-10,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-13,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-14,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-15,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-16,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-17,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-21,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-22,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-23,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-24,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-27,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-28,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-29,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-30,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-05-31,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-03,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-04,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-05,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-06,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-07,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-10,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-11,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-12,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-13,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-14,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-17,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-18,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-19,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-20,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-21,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-24,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-25,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-26,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-27,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-06-28,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-01,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-02,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-03,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-04,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-05,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-08,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-09,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-10,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-11,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-12,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-15,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-16,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-17,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-18,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-19,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-22,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-23,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-24,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-25,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-26,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-29,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-30,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-07-31,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-02,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-05,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-06,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-07,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-08,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-09,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-12,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-13,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-14,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-15,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-16,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-19,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-20,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-21,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-22,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-23,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-26,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-27,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-28,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-29,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-08-30,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-09-02,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-09-03,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-09-04,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-09-05,174.449997,174.449997,174.449997,174.449997,0,174.449997
2013-09-06,174.449997,174.449997,174.449997,174.449997,0,174.449997
