date,open,high,low,close,volume,adjusted
2016-04-18,25.9,25.9,25.620001,25.620001,9,25.620001
2016-04-19,NA,NA,NA,NA,NA,NA
2016-04-20,NA,NA,NA,NA,NA,NA
2016-04-21,NA,NA,NA,NA,NA,NA
2016-04-22,NA,NA,NA,NA,NA,NA
2016-04-25,NA,NA,NA,NA,NA,NA
2016-04-26,NA,NA,NA,NA,NA,NA
2016-04-27,25.9,25.9,25.9,25.9,14,25.9
2016-04-28,NA,NA,NA,NA,NA,NA
2016-04-29,NA,NA,NA,NA,NA,NA
2016-05-02,NA,NA,NA,NA,NA,NA
2016-05-03,NA,NA,NA,NA,NA,NA
2016-05-04,NA,NA,NA,NA,NA,NA
2016-05-06,NA,NA,NA,NA,NA,NA
2016-05-09,NA,NA,NA,NA,NA,NA
2016-05-10,NA,NA,NA,NA,NA,NA
2016-05-11,NA,NA,NA,NA,NA,NA
2016-05-12,NA,NA,NA,NA,NA,NA
2016-05-13,NA,NA,NA,NA,NA,NA
2016-05-17,25.620001,25.620001,25.469999,25.469999,200,25.469999
2016-05-18,NA,NA,NA,NA,NA,NA
2016-05-19,NA,NA,NA,NA,NA,NA
2016-05-20,NA,NA,NA,NA,NA,NA
2016-05-23,NA,NA,NA,NA,NA,NA
2016-05-24,NA,NA,NA,NA,NA,NA
2016-05-25,25.68,25.68,25.68,25.68,600,25.68
2016-05-26,NA,NA,NA,NA,NA,NA
2016-05-27,NA,NA,NA,NA,NA,NA
2016-05-30,NA,NA,NA,NA,NA,NA
2016-05-31,NA,NA,NA,NA,NA,NA
2016-06-01,NA,NA,NA,NA,NA,NA
2016-06-02,25.83,25.83,25.83,25.83,38,25.83
2016-06-03,26,26,26,26,100,26
2016-06-06,NA,NA,NA,NA,NA,NA
2016-06-07,NA,NA,NA,NA,NA,NA
2016-06-08,NA,NA,NA,NA,NA,NA
2016-06-09,25.5,25.5,25.5,25.5,50,25.5
2016-06-10,25.67,25.67,25.67,25.67,100,25.67
2016-06-13,NA,NA,NA,NA,NA,NA
2016-06-14,NA,NA,NA,NA,NA,NA
2016-06-15,NA,NA,NA,NA,NA,NA
2016-06-16,NA,NA,NA,NA,NA,NA
2016-06-17,NA,NA,NA,NA,NA,NA
2016-06-20,NA,NA,NA,NA,NA,NA
2016-06-21,NA,NA,NA,NA,NA,NA
2016-06-22,NA,NA,NA,NA,NA,NA
2016-06-23,NA,NA,NA,NA,NA,NA
2016-06-24,25.35,25.35,25.35,25.35,95,25.35
2016-06-27,NA,NA,NA,NA,NA,NA
2016-06-28,NA,NA,NA,NA,NA,NA
2016-06-29,NA,NA,NA,NA,NA,NA
2016-06-30,NA,NA,NA,NA,NA,NA
2016-07-01,NA,NA,NA,NA,NA,NA
2016-07-04,NA,NA,NA,NA,NA,NA
2016-07-05,NA,NA,NA,NA,NA,NA
2016-07-06,25.91,25.91,25.76,25.76,76457,25.76
2016-07-07,NA,NA,NA,NA,NA,NA
2016-07-08,NA,NA,NA,NA,NA,NA
2016-07-11,NA,NA,NA,NA,NA,NA
2016-07-12,NA,NA,NA,NA,NA,NA
2016-07-13,NA,NA,NA,NA,NA,NA
2016-07-14,NA,NA,NA,NA,NA,NA
2016-07-15,NA,NA,NA,NA,NA,NA
2016-07-18,NA,NA,NA,NA,NA,NA
2016-07-19,NA,NA,NA,NA,NA,NA
2016-07-20,NA,NA,NA,NA,NA,NA
2016-07-21,NA,NA,NA,NA,NA,NA
2016-07-22,NA,NA,NA,NA,NA,NA
2016-07-25,NA,NA,NA,NA,NA,NA
2016-07-26,NA,NA,NA,NA,NA,NA
2016-07-27,26.99,26.99,26.99,26.99,130488,26.99
2016-07-28,NA,NA,NA,NA,NA,NA
2016-07-29,26.709999,26.709999,26.709999,26.709999,3000,26.709999
2016-08-02,NA,NA,NA,NA,NA,NA
2016-08-03,26.17,26.17,26.17,26.17,2500,26.17
2016-08-04,NA,NA,NA,NA,NA,NA
2016-08-05,26.51,26.51,26.51,26.51,111,26.51
2016-08-08,26.77,26.790001,26.77,26.790001,1370,26.790001
2016-08-09,27.08,27.08,26.85,26.85,180,26.85
2016-08-10,NA,NA,NA,NA,NA,NA
2016-08-11,NA,NA,NA,NA,NA,NA
2016-08-12,NA,NA,NA,NA,NA,NA
2016-08-15,26.950001,26.950001,26.950001,26.950001,56,26.950001
2016-08-16,NA,NA,NA,NA,NA,NA
2016-08-17,NA,NA,NA,NA,NA,NA
2016-08-18,26.59,26.59,26.59,26.59,400,26.59
2016-08-19,NA,NA,NA,NA,NA,NA
2016-08-22,NA,NA,NA,NA,NA,NA
2016-08-23,NA,NA,NA,NA,NA,NA
2016-08-24,26.690001,26.690001,26.690001,26.690001,450,26.690001
2016-08-25,NA,NA,NA,NA,NA,NA
2016-08-26,NA,NA,NA,NA,NA,NA
2016-08-29,NA,NA,NA,NA,NA,NA
2016-08-30,NA,NA,NA,NA,NA,NA
2016-08-31,26.719999,26.719999,26.719999,26.719999,180,26.719999
2016-09-01,NA,NA,NA,NA,NA,NA
2016-09-02,NA,NA,NA,NA,NA,NA
2016-09-05,NA,NA,NA,NA,NA,NA
2016-09-06,27.139999,27.139999,27.139999,27.139999,500,27.139999
2016-09-07,NA,NA,NA,NA,NA,NA
2016-09-08,NA,NA,NA,NA,NA,NA
2016-09-09,NA,NA,NA,NA,NA,NA
2016-09-12,NA,NA,NA,NA,NA,NA
2016-09-13,NA,NA,NA,NA,NA,NA
2016-09-14,NA,NA,NA,NA,NA,NA
2016-09-15,NA,NA,NA,NA,NA,NA
2016-09-16,NA,NA,NA,NA,NA,NA
2016-09-19,26.48,26.48,26.48,26.48,500,26.48
2016-09-20,26.440001,26.440001,26.440001,26.440001,94,26.440001
2016-09-21,NA,NA,NA,NA,NA,NA
2016-09-22,NA,NA,NA,NA,NA,NA
2016-09-23,NA,NA,NA,NA,NA,NA
2016-09-26,NA,NA,NA,NA,NA,NA
2016-09-27,NA,NA,NA,NA,NA,NA
2016-09-28,NA,NA,NA,NA,NA,NA
2016-09-29,NA,NA,NA,NA,NA,NA
2016-09-30,26.6,26.6,26.6,26.6,350,26.6
2016-10-03,NA,NA,NA,NA,NA,NA
2016-10-04,NA,NA,NA,NA,NA,NA
2016-10-05,NA,NA,NA,NA,NA,NA
2016-10-06,26.58,26.58,26.58,26.58,560,26.58
2016-10-07,26.5,26.52,26.5,26.52,550,26.52
2016-10-10,26.66,26.66,26.66,26.66,166,26.66
2016-10-11,26.59,26.59,26.59,26.59,187,26.59
2016-10-12,NA,NA,NA,NA,NA,NA
2016-10-13,NA,NA,NA,NA,NA,NA
2016-10-14,26.58,26.58,26.58,26.58,480,26.58
2016-10-17,NA,NA,NA,NA,NA,NA
2016-10-18,NA,NA,NA,NA,NA,NA
2016-10-19,NA,NA,NA,NA,NA,NA
2016-10-20,NA,NA,NA,NA,NA,NA
2016-10-21,NA,NA,NA,NA,NA,NA
2016-10-24,26.93,26.93,26.93,26.93,2,26.93
2016-10-25,NA,NA,NA,NA,NA,NA
2016-10-26,NA,NA,NA,NA,NA,NA
2016-10-27,NA,NA,NA,NA,NA,NA
2016-10-28,26.33,26.43,26.33,26.43,2797,26.43
2016-10-31,NA,NA,NA,NA,NA,NA
2016-11-01,NA,NA,NA,NA,NA,NA
2016-11-02,25.940001,25.940001,25.940001,25.940001,2952,25.940001
2016-11-03,25.809999,26.1,25.809999,26.1,809,26.1
2016-11-04,NA,NA,NA,NA,NA,NA
2016-11-07,26.25,26.25,26.07,26.09,1876,26.09
2016-11-08,NA,NA,NA,NA,NA,NA
2016-11-09,26.32,26.32,26.32,26.32,89322,26.32
2016-11-10,NA,NA,NA,NA,NA,NA
2016-11-11,26.469999,26.469999,26.469999,26.469999,220,26.469999
2016-11-14,NA,NA,NA,NA,NA,NA
2016-11-15,NA,NA,NA,NA,NA,NA
2016-11-16,NA,NA,NA,NA,NA,NA
2016-11-17,NA,NA,NA,NA,NA,NA
2016-11-18,NA,NA,NA,NA,NA,NA
2016-11-21,27.16,27.16,27.16,27.16,435480,27.16
2016-11-22,27.200001,27.24,27.200001,27.24,9023,27.24
2016-11-23,NA,NA,NA,NA,NA,NA
2016-11-24,NA,NA,NA,NA,NA,NA
2016-11-25,27.41,27.41,27.41,27.41,72,27.41
2016-11-28,NA,NA,NA,NA,NA,NA
2016-11-29,NA,NA,NA,NA,NA,NA
2016-11-30,NA,NA,NA,NA,NA,NA
2016-12-01,NA,NA,NA,NA,NA,NA
2016-12-02,NA,NA,NA,NA,NA,NA
2016-12-05,27.5,27.549999,27.5,27.549999,728,27.549999
2016-12-06,NA,NA,NA,NA,NA,NA
2016-12-07,NA,NA,NA,NA,NA,NA
2016-12-08,NA,NA,NA,NA,NA,NA
2016-12-09,28.299999,28.5,28.299999,28.5,8275,28.5
2016-12-12,28.49,28.49,28.49,28.49,20,28.49
2016-12-13,28.49,28.49,28.450001,28.450001,348,28.450001
2016-12-14,NA,NA,NA,NA,NA,NA
2016-12-15,28.51,28.51,28.5,28.5,38,28.5
2016-12-16,28.5,28.5,28.5,28.5,205,28.5
2016-12-19,NA,NA,NA,NA,NA,NA
2016-12-20,28.389999,28.459999,28.389999,28.459999,1975,28.459999
2016-12-21,28.6,28.6,28.6,28.6,50,28.6
2016-12-22,28.4,28.41,28.4,28.41,145,28.41
2016-12-23,NA,NA,NA,NA,NA,NA
2016-12-27,NA,NA,NA,NA,NA,NA
2016-12-28,NA,NA,NA,NA,NA,NA
2016-12-29,NA,NA,NA,NA,NA,NA
2016-12-30,28.209999,28.209999,28.209999,28.209999,15,28.209999
2017-01-03,28.719999,28.719999,28.719999,28.719999,100,28.719999
2017-01-04,28.719999,28.719999,28.719999,28.719999,34,28.719999
2017-01-05,NA,NA,NA,NA,NA,NA
2017-01-06,28.5,28.5,28.5,28.5,180,28.5
2017-01-09,NA,NA,NA,NA,NA,NA
2017-01-10,28.57,28.66,28.57,28.66,1298,28.66
2017-01-11,28.65,28.65,28.65,28.65,222,28.65
2017-01-12,28.620001,28.620001,28.5,28.5,179,28.5
2017-01-13,NA,NA,NA,NA,NA,NA
2017-01-16,28.290001,28.290001,28.290001,28.290001,1750,28.290001
2017-01-17,27.969999,27.969999,27.969999,27.969999,800,27.969999
2017-01-18,28,28,28,28,178,28
2017-01-19,NA,NA,NA,NA,NA,NA
2017-01-20,27.92,27.92,27.92,27.92,175,27.92
2017-01-23,NA,NA,NA,NA,NA,NA
2017-01-24,27.809999,27.809999,27.809999,27.809999,54,27.809999
2017-01-25,28.01,28.01,28.01,28.01,2016,28.01
2017-01-26,28.370001,28.370001,28.299999,28.299999,100,28.299999
2017-01-27,28.299999,28.299999,28.299999,28.299999,15,28.299999
2017-01-30,28.17,28.17,28.040001,28.040001,137,28.040001
2017-01-31,28.030001,28.030001,28.030001,28.030001,355,28.030001
2017-02-01,NA,NA,NA,NA,NA,NA
2017-02-02,NA,NA,NA,NA,NA,NA
2017-02-03,NA,NA,NA,NA,NA,NA
2017-02-06,28.200001,28.219999,28.15,28.15,2621,28.15
2017-02-07,NA,NA,NA,NA,NA,NA
2017-02-08,28.200001,28.200001,28.200001,28.200001,1,28.200001
2017-02-09,NA,NA,NA,NA,NA,NA
2017-02-10,28.43,28.43,28.43,28.200001,1,28.200001
2017-02-13,28.51,28.690001,28.51,28.690001,1770,28.690001
2017-02-14,28.83,28.83,28.83,28.83,90,28.83
2017-02-15,NA,NA,NA,NA,NA,NA
2017-02-16,NA,NA,NA,NA,NA,NA
2017-02-17,28.780001,28.780001,28.780001,28.780001,1632,28.780001
2017-02-20,28.780001,28.780001,28.780001,28.780001,1632,28.780001
2017-02-21,29.120001,29.120001,29.120001,29.120001,50,29.120001
2017-02-22,NA,NA,NA,NA,NA,NA
2017-02-23,29.25,29.25,29.25,29.25,3,29.25
2017-02-24,29.280001,29.280001,29,29,499,29
2017-02-27,29.26,29.26,29.059999,29.059999,102,29.059999
2017-02-28,28.969999,28.969999,28.969999,28.969999,1,28.969999
2017-03-01,29.280001,29.280001,29.280001,29.280001,100,29.280001
2017-03-02,29.32,29.32,29.32,29.32,20,29.32
2017-03-03,NA,NA,NA,NA,NA,NA
2017-03-06,29.190001,29.190001,29.1,29.120001,405,29.120001
2017-03-07,29.129999,29.129999,29.129999,29.129999,34,29.129999
2017-03-08,NA,NA,NA,NA,NA,NA
2017-03-09,NA,NA,NA,NA,NA,NA
2017-03-10,28.84,28.9,28.84,28.9,195,28.9
2017-03-13,28.610001,28.610001,28.610001,28.610001,166,28.610001
2017-03-14,28.82,28.82,28.82,28.82,10,28.82
2017-03-15,28.799999,28.799999,28.799999,28.799999,2,28.799999
2017-03-16,NA,NA,NA,NA,NA,NA
2017-03-17,28.889999,28.91,28.889999,28.91,79,28.91
2017-03-20,28.92,28.92,28.92,28.92,10,28.92
2017-03-21,NA,NA,NA,NA,NA,NA
2017-03-22,28.370001,28.370001,28.219999,28.219999,302,28.219999
2017-03-23,NA,NA,NA,NA,NA,NA
2017-03-24,NA,NA,NA,NA,NA,NA
2017-03-27,28.25,28.25,28.15,28.15,2115,28.15
2017-03-28,NA,NA,NA,NA,NA,NA
2017-03-29,NA,NA,NA,NA,NA,NA
2017-03-30,28.75,28.75,28.75,28.75,5,28.75
2017-03-31,28.969999,28.969999,28.799999,28.889999,249,28.889999
2017-04-03,29.01,29.01,28.809999,28.809999,4087,28.809999
2017-04-04,28.82,28.82,28.82,28.82,34799,28.82
2017-04-05,28.75,28.75,28.74,28.74,25,28.74
2017-04-06,NA,NA,NA,NA,NA,NA
2017-04-07,28.790001,28.790001,28.790001,28.790001,15,28.790001
2017-04-10,28.77,28.77,28.77,28.77,222,28.77
2017-04-11,28.780001,28.780001,28.780001,28.780001,2,28.780001
2017-04-12,NA,NA,NA,NA,NA,NA
2017-04-13,28.700001,28.709999,28.700001,28.709999,145,28.709999
2017-04-18,28.540001,28.540001,28.219999,28.219999,2677,28.219999
2017-04-19,28.25,28.26,28.16,28.26,499,28.26
2017-04-20,28.200001,28.200001,28.200001,28.200001,5,28.200001
2017-04-21,NA,NA,NA,NA,NA,NA
2017-04-24,NA,NA,NA,NA,NA,NA
2017-04-25,28.299999,28.299999,28.299999,28.299999,14,28.299999
2017-04-26,NA,NA,NA,NA,NA,NA
2017-04-27,28.01,28.01,28,28,4278,28
2017-04-28,27.9,27.9,27.9,27.9,47958,27.9
2017-05-02,28.049999,28.1,28.049999,28.1,284,28.1
