date,open,high,low,close,volume,adjusted
2018-11-21,5.069,5.069,5.069,5.069,0,5.069
2018-11-22,5.136,5.136,5.136,5.136,0,5.136
2018-11-23,5.105,5.105,5.105,5.105,0,5.105
2018-11-26,5.123,5.123,5.123,5.123,0,5.123
2018-11-27,5.157,5.157,5.157,5.157,0,5.157
2018-11-28,5.157,5.157,5.157,5.157,0,5.157
2018-11-29,5.196,5.196,5.196,5.196,0,5.196
2018-11-30,5.269,5.269,5.269,5.269,0,5.269
2018-12-03,5.272,5.272,5.272,5.272,0,5.272
2018-12-04,5.365,5.365,5.365,5.365,0,5.365
2018-12-05,5.343,5.343,5.343,5.343,0,5.343
2018-12-06,5.289,5.289,5.289,5.289,0,5.289
2018-12-07,5.119,5.119,5.119,5.119,0,5.119
2018-12-10,5.151,5.151,5.151,5.151,0,5.151
2018-12-11,5.038,5.038,5.038,5.038,0,5.038
2018-12-12,5.115,5.115,5.115,5.115,0,5.115
2018-12-13,5.204,5.204,5.204,5.204,0,5.204
2018-12-14,5.204,5.204,5.204,5.204,0,5.204
2018-12-17,5.161,5.161,5.161,5.161,0,5.161
2018-12-18,5.098,5.098,5.098,5.098,0,5.098
2018-12-19,5.051,5.051,5.051,5.051,0,5.051
2018-12-20,5.051,5.051,5.051,5.051,0,5.051
2018-12-21,4.9145,4.9145,4.9145,4.9145,0,4.9145
2018-12-27,4.879,4.879,4.879,4.879,0,4.879
2018-12-28,4.8525,4.8525,4.8525,4.8525,0,4.8525
2019-01-03,4.947,4.947,4.947,4.947,0,4.947
2019-01-04,4.8775,4.8775,4.8775,4.8775,0,4.8775
2019-01-07,4.9715,4.9715,4.9715,4.9715,0,4.9715
2019-01-08,5.045,5.045,5.045,5.045,0,5.045
2019-01-09,5.062,5.062,5.062,5.062,0,5.062
2019-01-10,5.149,5.149,5.149,5.149,0,5.149
2019-01-11,5.173,5.173,5.173,5.173,0,5.173
2019-01-14,5.169,5.169,5.169,5.169,0,5.169
2019-01-15,5.14,5.14,5.14,5.14,0,5.14
2019-01-16,5.163,5.163,5.163,5.163,0,5.163
2019-01-17,5.224,5.224,5.224,5.224,0,5.224
2019-01-18,5.224,5.224,5.224,5.224,0,5.224
2019-01-21,5.281,5.281,5.281,5.281,0,5.281
2019-01-22,5.265,5.265,5.265,5.265,0,5.265
2019-01-23,5.238,5.238,5.238,5.238,0,5.238
2019-01-24,5.227,5.227,5.227,5.227,0,5.227
2019-01-25,5.26,5.26,5.26,5.26,0,5.26
2019-01-28,5.341,5.341,5.341,5.341,0,5.341
2019-01-29,5.306,5.306,5.306,5.306,0,5.306
2019-01-30,5.306,5.306,5.306,5.306,0,5.306
2019-01-31,5.308,5.308,5.308,5.308,0,5.308
2019-02-01,5.394,5.394,5.394,5.394,0,5.394
2019-02-04,5.434,5.434,5.434,5.434,0,5.434
2019-02-05,5.481,5.481,5.481,5.481,0,5.481
2019-02-06,5.535,5.535,5.535,5.535,0,5.535
2019-02-07,5.547,5.547,5.547,5.547,0,5.547
2019-02-08,5.464,5.464,5.464,5.464,0,5.464
2019-02-11,5.457,5.457,5.457,5.457,0,5.457
2019-02-12,5.497,5.497,5.497,5.497,0,5.497
2019-02-13,5.566,5.566,5.566,5.566,0,5.566
