date,open,high,low,close,volume,adjusted
2018-04-09,4686,4709,4686,4701,30576,4701
2018-04-10,4711,4715,4700,4715,16472,4715
2018-04-11,4687,4696,4670,4687,15891,4687
2018-04-12,4674,4707,4669,4702,2364,4702
2018-04-13,4694,4724,4694,4704,10299,4704
2018-04-16,4725,4725,4710,4719,2205,4719
2018-04-17,4698,4724,4693,4724,13078,4724
2018-04-18,4749,4760,4749,4760,6618,4760
2018-04-19,4735,4749,4735,4749,32254,4749
2018-04-20,4762,4766,4750,4758,2846,4758
2018-04-23,4750,4777,4750,4777,25323,4777
2018-04-24,4801,4820,4801,4806,9219,4806
2018-04-25,4816,4816,4785,4803,15466,4803
2018-04-26,4806,4840,4806,4836,12599,4836
2018-04-27,4855,4855,4826,4841,4515,4841
2018-04-30,4842,4852,4835,4852,18576,4852
2018-05-02,4821,4830,4813,4830,8862,4830
2018-05-03,4798,4800,4772,4780,5339,4780
2018-05-04,4790,4812,4754,4812,5823,4812
2018-05-07,4823,4838,4821,4833,7269,4833
2018-05-08,4853,4853,4822,4839,299558,4839
2018-05-09,4826,4826,4810,4818,10752,4818
2018-05-11,4858,4876,4858,4876,5143,4876
2018-05-14,4904,4914,4899,4914,29785,4914
2018-05-15,4904,4911,4893,4900,10541,4900
2018-05-16,4902,4905,4889,4903,9992,4903
2018-05-17,4913,4944,4913,4944,47601,4944
2018-05-18,4945,4945,4922,4922,4689,4922
2018-05-22,4936,4936,4919,4925,6380,4925
2018-05-23,4896,4896,4847,4859,23196,4859
2018-05-24,4851,4851,4767,4767,13831,4767
2018-05-25,4809,4819,4780,4791,8332,4791
2018-05-28,4817,4822,4800,4807,5583,4807
2018-05-29,4755,4765,4730,4749,18379,4749
2018-05-30,4746,4754,4725,4754,2922,4754
2018-05-31,4738,4769,4720,4720,4521,4720
2018-06-01,4779,4797,4772,4790,11892,4790
2018-06-04,4828,4846,4828,4836,18273,4836
2018-06-05,4832,4835,4817,4824,3286,4824
2018-06-06,4826,4851,4826,4837,14725,4837
2018-06-07,4897,4897,4858,4865,16570,4865
2018-06-08,4829,4841,4816,4841,7725,4841
2018-06-11,4874,4882,4871,4881,155838,4881
2018-06-12,4894,4894,4869,4881,20084,4881
2018-06-13,4907,4907,4887,4887,12420,4887
2018-06-14,4848,4868,4848,4868,4156,4868
2018-06-15,4872,4872,4841,4844,185085,4844
2018-06-18,4824,4824,4793,4794,5142,4794
2018-06-19,4720,4734,4717,4730,7628,4730
