date,open,high,low,close,volume,adjusted
2018-11-21,4.91,4.91,4.91,4.91,0,4.797821
2018-11-22,4.952,4.952,4.952,4.952,0,4.838861
2018-11-23,4.9265,4.929,4.9265,4.929,28056,4.816387
2018-11-26,4.929,4.929,4.929,4.929,0,4.816387
2018-11-27,5,5,5,5,0,4.885765
2018-11-28,5,5,5,5,0,4.885765
2018-11-29,5,5,5,5,0,4.885765
2018-11-30,5.003,5.003,5.003,5.003,0,4.888696
2018-12-03,5.002,5.002,5.002,5.002,0,4.887719
2018-12-04,5.038,5.038,5.038,5.038,0,4.922897
2018-12-05,5.015,5.015,5.015,5.015,0,4.900422
2018-12-06,4.863,4.863,4.863,4.863,11280,4.751894
2018-12-07,4.863,4.863,4.863,4.863,0,4.751894
2018-12-10,4.8295,4.8295,4.8295,4.8295,0,4.719161
2018-12-11,4.75,4.75,4.75,4.75,0,4.641477
2018-12-12,4.798,4.798,4.798,4.798,0,4.68838
2018-12-13,4.866,4.866,4.866,4.866,0,4.754827
2018-12-14,4.8725,4.8725,4.8725,4.8725,0,4.761178
2018-12-17,4.847,4.847,4.847,4.847,0,4.73626
2018-12-18,4.7875,4.7875,4.7875,4.7875,0,4.67812
2018-12-19,4.7525,4.7525,4.7525,4.7525,0,4.643919
2018-12-20,4.754,4.754,4.754,4.754,0,4.645385
2018-12-21,4.7005,4.7005,4.7005,4.7005,0,4.593107
2018-12-27,4.7005,4.7005,4.7005,4.7005,0,4.593107
2018-12-28,4.6155,4.6155,4.6155,4.6155,0,4.510049
2019-01-03,4.6775,4.6775,4.6775,4.6775,0,4.570632
2019-01-04,4.6595,4.6595,4.6595,4.6595,0,4.553044
2019-01-07,4.772,4.772,4.772,4.772,0,4.662974
2019-01-08,4.774,4.774,4.774,4.774,0,4.664928
2019-01-09,4.8065,4.8065,4.8065,4.8065,0,4.696686
2019-01-10,4.827,4.827,4.827,4.827,0,4.716717
2019-01-11,4.8475,4.8475,4.8475,4.8475,0,4.736749
2019-01-14,4.854,4.854,4.854,4.854,0,4.743101
2019-01-15,4.838,4.838,4.838,4.838,0,4.727466
2019-01-16,4.8445,4.8445,4.8445,4.8445,0,4.733818
2019-01-17,4.8725,4.8725,4.8725,4.8725,0,4.761178
2019-01-18,4.8735,4.8735,4.8735,4.8735,0,4.762155
2019-01-21,4.961,4.961,4.961,4.961,0,4.847656
2019-01-22,4.961,4.961,4.961,4.961,0,4.847656
2019-01-23,4.948,4.948,4.948,4.948,0,4.834953
2019-01-24,4.944,4.944,4.944,4.944,0,4.831044
2019-01-25,4.9455,4.9455,4.9455,4.9455,0,4.83251
2019-01-28,4.9675,4.9675,4.9675,4.9675,0,4.854007
2019-01-29,4.9375,4.9375,4.9375,4.9375,0,4.824693
2019-01-30,4.9645,4.9645,4.9645,4.9645,0,4.851076
2019-01-31,4.9805,4.9805,4.9805,4.9805,0,4.866711
2019-02-01,4.9805,4.9805,4.9805,4.9805,0,4.866711
2019-02-04,4.988,4.988,4.988,4.988,0,4.874039
2019-02-05,4.9885,4.9885,4.9885,4.9885,0,4.874527
2019-02-06,5.063,5.063,5.063,5.063,0,4.947326
2019-02-07,5.07,5.07,5.07,5.07,0,4.954165
2019-02-08,5.009,5.009,5.009,5.009,0,4.894559
2019-02-11,4.983,4.983,4.983,4.983,0,4.869153
2019-02-12,5.009,5.009,5.009,5.009,0,4.894559
2019-02-13,5.031,5.031,5.031,5.031,0,4.916057
2019-02-14,5.058,5.058,5.058,5.058,0,4.94244
2019-02-15,5.058,5.058,5.058,5.058,0,4.94244
2019-02-18,5.116,5.116,5.116,5.116,0,4.999115
2019-02-19,5.133,5.133,5.133,5.133,0,5.015726
2019-02-20,5.133,5.133,5.133,5.133,0,5.015726
2019-02-21,5.152,5.152,5.152,5.152,0,5.034292
2019-02-22,5.152,5.152,5.152,5.152,0,5.034292
2019-02-25,5.155,5.155,5.155,5.155,0,5.037224
2019-02-26,5.168,5.168,5.168,5.168,0,5.049927
2019-02-27,5.188,5.188,5.188,5.188,0,5.069469
2019-02-28,5.188,5.188,5.188,5.188,0,5.069469
2019-03-01,5.188,5.188,5.188,5.188,0,5.069469
2019-03-04,5.197,5.197,5.197,5.197,0,5.078264
2019-03-05,5.214,5.214,5.214,5.214,0,5.094876
2019-03-06,5.227,5.227,5.227,5.227,0,5.107579
