date,open,high,low,close,volume,adjusted
2004-08-31,54.400002,54.400002,54.400002,54.400002,1700,47.034187
2004-09-01,NA,NA,NA,NA,NA,NA
2004-09-02,NA,NA,NA,NA,NA,NA
2004-09-03,NA,NA,NA,NA,NA,NA
2004-09-06,NA,NA,NA,NA,NA,NA
2004-09-07,NA,NA,NA,NA,NA,NA
2004-09-08,NA,NA,NA,NA,NA,NA
2004-09-09,NA,NA,NA,NA,NA,NA
2004-09-10,NA,NA,NA,NA,NA,NA
2004-09-13,NA,NA,NA,NA,NA,NA
2004-09-14,NA,NA,NA,NA,NA,NA
2004-09-15,NA,NA,NA,NA,NA,NA
2004-09-16,NA,NA,NA,NA,NA,NA
2004-09-17,NA,NA,NA,NA,NA,NA
2004-09-20,NA,NA,NA,NA,NA,NA
2004-09-21,NA,NA,NA,NA,NA,NA
2004-09-22,NA,NA,NA,NA,NA,NA
2004-09-23,55.139999,55.139999,55.139999,55.139999,2960,47.673992
2004-09-24,54.73,54.73,54.73,54.73,2177,47.319508
2004-09-27,NA,NA,NA,NA,NA,NA
2004-09-28,54.5,55.009998,54.450001,55.009998,80260,47.561588
2004-09-29,55.349998,55.349998,55.349998,55.349998,10800,47.855553
2004-09-30,55.32,55.599998,54.66,54.66,4822,47.25898
2004-10-01,NA,NA,NA,NA,NA,NA
2004-10-04,NA,NA,NA,NA,NA,NA
2004-10-05,56.009998,56.18,55.970001,55.970001,685,48.391602
2004-10-06,NA,NA,NA,NA,NA,NA
2004-10-07,55.599998,55.599998,55.599998,55.599998,3820,48.071705
2004-10-08,NA,NA,NA,NA,NA,NA
2004-10-11,NA,NA,NA,NA,NA,NA
2004-10-12,NA,NA,NA,NA,NA,NA
2004-10-13,NA,NA,NA,NA,NA,NA
2004-10-14,NA,NA,NA,NA,NA,NA
2004-10-15,NA,NA,NA,NA,NA,NA
2004-10-18,NA,NA,NA,NA,NA,NA
2004-10-19,NA,NA,NA,NA,NA,NA
2004-10-20,53.810001,53.810001,53.810001,53.810001,2428,46.524075
2004-10-21,NA,NA,NA,NA,NA,NA
2004-10-22,NA,NA,NA,NA,NA,NA
2004-10-25,53.330002,53.330002,53.330002,53.330002,2169,46.109074
2004-10-26,NA,NA,NA,NA,NA,NA
2004-10-27,NA,NA,NA,NA,NA,NA
2004-10-28,NA,NA,NA,NA,NA,NA
2004-10-29,NA,NA,NA,NA,NA,NA
2004-11-01,NA,NA,NA,NA,NA,NA
2004-11-02,NA,NA,NA,NA,NA,NA
2004-11-03,NA,NA,NA,NA,NA,NA
2004-11-04,NA,NA,NA,NA,NA,NA
2004-11-05,NA,NA,NA,NA,NA,NA
2004-11-08,NA,NA,NA,NA,NA,NA
2004-11-09,NA,NA,NA,NA,NA,NA
2004-11-10,NA,NA,NA,NA,NA,NA
2004-11-11,NA,NA,NA,NA,NA,NA
2004-11-12,NA,NA,NA,NA,NA,NA
2004-11-15,56.869999,57.09,56.700001,56.720001,6770,49.040054
2004-11-16,NA,NA,NA,NA,NA,NA
2004-11-17,NA,NA,NA,NA,NA,NA
2004-11-18,NA,NA,NA,NA,NA,NA
2004-11-19,56.110001,56.110001,56.110001,56.110001,1276,48.512646
2004-11-22,NA,NA,NA,NA,NA,NA
2004-11-23,NA,NA,NA,NA,NA,NA
2004-11-24,55.240002,55.450001,54.759998,54.990002,12050,47.544296
2004-11-25,NA,NA,NA,NA,NA,NA
2004-11-26,NA,NA,NA,NA,NA,NA
