date,open,high,low,close,volume,adjusted
2013-09-25,45,45,44.959999,44.959999,289,44.959999
2013-09-26,45.139999,45.139999,45.139999,45.139999,386,45.139999
2013-09-27,44.919998,44.919998,44.919998,44.919998,1496,44.919998
2013-09-30,NA,NA,NA,NA,NA,NA
2013-10-01,44.779999,44.810001,44.560001,44.790001,854,44.790001
2013-10-02,44.52,44.759998,44.470001,44.759998,4134,44.759998
2013-10-03,44.860001,45.049999,44.68,44.700001,298,44.700001
2013-10-04,44.889999,44.889999,44.889999,44.889999,200,44.889999
2013-10-07,44.389999,44.91,44.330002,44.540001,4365,44.540001
2013-10-08,44.540001,44.689999,44.360001,44.540001,16509,44.540001
2013-10-09,44.419998,44.689999,44.419998,44.610001,2891,44.610001
2013-10-10,44.82,44.82,44.82,44.82,139,44.82
2013-10-11,45.25,45.439999,45.25,45.310001,466,45.310001
2013-10-14,45.389999,45.43,45.18,45.18,1420,45.18
2013-10-15,NA,NA,NA,NA,NA,NA
2013-10-16,45.59,45.869999,45.5,45.869999,3880,45.869999
2013-10-17,46.419998,46.419998,45.98,46.099998,1852,46.099998
2013-10-18,46.630001,46.720001,46.630001,46.720001,52,46.720001
2013-10-21,46.919998,46.919998,46.73,46.869999,1227,46.869999
2013-10-22,46.869999,47.360001,46.869999,47.360001,1606,47.360001
2013-10-23,46.560001,46.68,46.560001,46.68,1122,46.68
2013-10-24,46.880001,47.150002,46.880001,47.150002,1006,47.150002
2013-10-25,46.759998,46.759998,46.75,46.75,634,46.75
2013-10-28,NA,NA,NA,NA,NA,NA
2013-10-29,46.470001,46.470001,46.470001,46.470001,197,46.470001
2013-10-30,46.73,46.830002,46.669998,46.669998,1250,46.669998
2013-10-31,47.02,47.02,46.540001,46.540001,1727,46.540001
2013-11-01,46.299999,46.299999,46.189999,46.189999,147,46.189999
2013-11-04,46.25,46.400002,46.25,46.400002,403,46.400002
2013-11-05,46.330002,46.330002,46.25,46.25,358,46.25
2013-11-06,46.57,46.830002,46.57,46.810001,3281,46.810001
2013-11-07,46.459999,46.720001,46.27,46.27,1114,46.27
2013-11-08,46.27,46.27,45.880001,45.950001,225,45.950001
2013-11-11,45.990002,45.990002,45.990002,45.990002,290,45.990002
2013-11-12,45.810001,45.830002,45.650002,45.650002,3925,45.650002
2013-11-13,45.169998,45.169998,45.169998,45.169998,1636,45.169998
2013-11-14,45.419998,45.540001,45.299999,45.540001,563,45.540001
2013-11-15,45.939999,45.939999,45.939999,45.939999,360,45.939999
2013-11-18,NA,NA,NA,NA,NA,NA
2013-11-19,NA,NA,NA,NA,NA,NA
2013-11-20,NA,NA,NA,NA,NA,NA
2013-11-21,NA,NA,NA,NA,NA,NA
2013-11-22,NA,NA,NA,NA,NA,NA
2013-11-25,NA,NA,NA,NA,NA,NA
2013-11-26,NA,NA,NA,NA,NA,NA
2013-11-27,45.32,45.32,45.25,45.25,178,45.25
2013-11-28,NA,NA,NA,NA,NA,NA
2013-11-29,45.189999,45.279999,45.189999,45.279999,428,45.279999
2013-12-02,45.209999,45.209999,44.439999,44.439999,152,44.439999
2013-12-03,44.77,44.77,44.700001,44.700001,674,44.700001
2013-12-04,44.419998,44.610001,44.240002,44.610001,2360,44.610001
2013-12-05,44.169998,44.169998,43.93,44.119999,2741,44.119999
2013-12-06,43.950001,44.299999,43.939999,44.299999,885,44.299999
2013-12-09,43.759998,43.990002,43.759998,43.990002,1276,43.990002
2013-12-10,43.849998,43.939999,43.720001,43.91,1718,43.91
2013-12-11,43.650002,43.669998,43.169998,43.360001,3019,43.360001
2013-12-12,43.189999,43.189999,42.41,42.41,1241,42.41
2013-12-13,42.470001,42.75,42.470001,42.75,1393,42.75
2013-12-16,43.099998,43.380001,43.099998,43.380001,1032,43.380001
2013-12-17,43.080002,43.080002,42.98,42.98,567,42.98
2013-12-18,42.759998,42.779999,42.639999,42.689999,3763,42.689999
2013-12-19,42.98,43.049999,42.810001,43.029999,301348,43.029999
2013-12-20,43.299999,43.59,43.299999,43.560001,9263,43.560001
2013-12-23,43.610001,44.009998,43.610001,43.900002,5197,43.900002
2013-12-27,43.700001,44.580002,43.700001,44.580002,138,44.580002
2013-12-30,43.869999,44.650002,43.869999,44.349998,1597,44.349998
2014-01-03,44.299999,44.700001,44.23,44.23,2502,44.23
2014-01-06,43.919998,44.220001,43.919998,43.919998,4556,43.919998
2014-01-07,44.040001,44.049999,43.860001,43.919998,1394,43.919998
2014-01-08,43.799999,44,43.799999,43.799999,424,43.799999
2014-01-09,43.720001,44,43.720001,43.84,2009,43.84
2014-01-10,44,44.080002,43.810001,44.080002,1424,44.080002
2014-01-13,44.279999,44.279999,44.139999,44.139999,13840,44.139999
2014-01-14,43.700001,43.700001,43.130001,43.639999,2554,43.639999
2014-01-15,43.330002,43.610001,43.330002,43.610001,415,43.610001
