date,open,high,low,close,volume,adjusted
2015-08-24,28.559999,28.559999,28.559999,28.559999,250,28.559999
2015-08-25,NA,NA,NA,NA,NA,NA
2015-08-26,NA,NA,NA,NA,NA,NA
2015-08-27,NA,NA,NA,NA,NA,NA
2015-08-28,NA,NA,NA,NA,NA,NA
2015-08-31,NA,NA,NA,NA,NA,NA
2015-09-01,NA,NA,NA,NA,NA,NA
2015-09-02,NA,NA,NA,NA,NA,NA
2015-09-03,NA,NA,NA,NA,NA,NA
2015-09-04,NA,NA,NA,NA,NA,NA
2015-09-07,NA,NA,NA,NA,NA,NA
2015-09-08,NA,NA,NA,NA,NA,NA
2015-09-09,NA,NA,NA,NA,NA,NA
2015-09-10,NA,NA,NA,NA,NA,NA
2015-09-11,NA,NA,NA,NA,NA,NA
2015-09-14,NA,NA,NA,NA,NA,NA
2015-09-15,NA,NA,NA,NA,NA,NA
2015-09-16,NA,NA,NA,NA,NA,NA
2015-09-17,NA,NA,NA,NA,NA,NA
2015-09-18,NA,NA,NA,NA,NA,NA
2015-09-21,NA,NA,NA,NA,NA,NA
2015-09-22,NA,NA,NA,NA,NA,NA
2015-09-23,NA,NA,NA,NA,NA,NA
2015-09-24,NA,NA,NA,NA,NA,NA
2015-09-25,NA,NA,NA,NA,NA,NA
2015-09-28,NA,NA,NA,NA,NA,NA
2015-09-29,NA,NA,NA,NA,NA,NA
2015-09-30,NA,NA,NA,NA,NA,NA
2015-10-01,NA,NA,NA,NA,NA,NA
2015-10-02,NA,NA,NA,NA,NA,NA
2015-10-05,30.190001,30.190001,30.190001,30.190001,5000,30.190001
2015-10-06,NA,NA,NA,NA,NA,NA
2015-10-07,30.98,30.98,30.84,30.84,400,30.84
2015-10-08,NA,NA,NA,NA,NA,NA
2015-10-09,NA,NA,NA,NA,NA,NA
2015-10-12,NA,NA,NA,NA,NA,NA
2015-10-13,30.309999,30.66,30.299999,30.66,1215,30.66
2015-10-14,NA,NA,NA,NA,NA,NA
2015-10-15,31.6,31.6,31.6,31.6,200,31.6
2015-10-16,NA,NA,NA,NA,NA,NA
2015-10-19,NA,NA,NA,NA,NA,NA
2015-10-20,NA,NA,NA,NA,NA,NA
2015-10-21,NA,NA,NA,NA,NA,NA
2015-10-22,NA,NA,NA,NA,NA,NA
2015-10-23,NA,NA,NA,NA,NA,NA
2015-10-26,31.09,31.09,31.09,31.09,400,31.09
2015-10-27,NA,NA,NA,NA,NA,NA
2015-10-28,NA,NA,NA,NA,NA,NA
2015-10-29,NA,NA,NA,NA,NA,NA
2015-10-30,NA,NA,NA,NA,NA,NA
2015-11-02,29.98,30.25,29.98,30.25,400,30.25
2015-11-03,NA,NA,NA,NA,NA,NA
2015-11-04,30.440001,30.440001,30.440001,30.440001,200,30.440001
2015-11-05,NA,NA,NA,NA,NA,NA
2015-11-06,29.35,29.35,29.34,29.34,400,29.34
2015-11-09,29.049999,29.049999,29.049999,29.049999,200,29.049999
2015-11-10,28.809999,28.809999,28.51,28.65,1000,28.65
2015-11-11,NA,NA,NA,NA,NA,NA
2015-11-12,NA,NA,NA,NA,NA,NA
2015-11-13,27.6,27.6,27.530001,27.530001,800,27.530001
2015-11-16,NA,NA,NA,NA,NA,NA
2015-11-17,NA,NA,NA,NA,NA,NA
2015-11-18,NA,NA,NA,NA,NA,NA
2015-11-19,29.32,29.32,29.32,29.32,200,29.32
2015-11-20,29.639999,29.639999,29.639999,29.639999,200,29.639999
2015-11-23,NA,NA,NA,NA,NA,NA
2015-11-24,29.549999,29.549999,29.549999,29.549999,200,29.549999
2015-11-25,NA,NA,NA,NA,NA,NA
2015-11-26,NA,NA,NA,NA,NA,NA
2015-11-27,28.48,28.48,28.48,28.48,400,28.48
2015-11-30,28.190001,28.190001,28.190001,28.190001,200,28.190001
2015-12-01,27.780001,27.85,27.780001,27.85,400,27.85
2015-12-02,27.690001,27.690001,27.690001,27.690001,200,27.690001
2015-12-03,27.16,27.18,27.16,27.18,600,27.18
2015-12-04,26.18,26.639999,26.18,26.639999,600,26.639999
2015-12-07,26.389999,26.389999,26.18,26.18,400,26.18
2015-12-08,25.99,25.99,25.99,25.99,200,25.99
2015-12-09,26.41,26.41,26.41,26.41,200,26.41
2015-12-10,24.370001,24.370001,24.34,24.34,400,24.34
2015-12-11,22.41,22.49,22.4,22.4,1000,22.4
2015-12-14,NA,NA,NA,NA,NA,NA
2015-12-15,24.93,24.93,24.93,24.93,200,24.93
2015-12-16,25.059999,25.059999,24.84,24.9,600,24.9
2015-12-17,25.34,25.34,25.280001,25.280001,400,25.280001
2015-12-18,NA,NA,NA,NA,NA,NA
2015-12-21,25.32,25.32,25.32,25.32,200,25.32
2015-12-22,NA,NA,NA,NA,NA,NA
2015-12-23,26,26,26,26,200,26
2015-12-28,26.01,26.01,25.93,25.93,600,25.93
2015-12-29,NA,NA,NA,NA,NA,NA
2015-12-30,25.08,25.08,25.08,25.08,200,25.08
2016-01-04,24.219999,24.23,24.219999,24.23,600,24.23
2016-01-05,NA,NA,NA,NA,NA,NA
2016-01-06,23.860001,23.879999,23.860001,23.870001,800,23.870001
2016-01-07,NA,NA,NA,NA,NA,NA
2016-01-08,NA,NA,NA,NA,NA,NA
2016-01-11,NA,NA,NA,NA,NA,NA
2016-01-12,21.709999,21.709999,21.709999,21.709999,200,21.709999
2016-01-13,22.48,22.48,22.48,22.48,2200,22.48
2016-01-14,NA,NA,NA,NA,NA,NA
2016-01-15,21.540001,21.540001,21.540001,21.540001,200,21.540001
2016-01-18,NA,NA,NA,NA,NA,NA
2016-01-19,21.309999,21.370001,21.309999,21.370001,600,21.370001
2016-01-20,20.59,20.59,20.59,20.59,600,20.59
2016-01-21,NA,NA,NA,NA,NA,NA
2016-01-22,NA,NA,NA,NA,NA,NA
2016-01-25,21.98,21.98,21.98,21.98,200,21.98
2016-01-26,NA,NA,NA,NA,NA,NA
2016-01-27,22.139999,22.139999,22.139999,22.139999,400,22.139999
2016-01-28,22.98,22.98,22.98,22.98,600,22.98
2016-01-29,23.290001,23.290001,23.290001,23.290001,200,23.290001
2016-02-01,NA,NA,NA,NA,NA,NA
2016-02-02,23.639999,23.639999,23.639999,23.639999,200,23.639999
2016-02-03,22.82,22.82,22.799999,22.799999,400,22.799999
2016-02-04,24.32,24.48,24.32,24.360001,600,24.360001
2016-02-05,23.889999,23.889999,23.889999,23.889999,200,23.889999
2016-02-08,23.27,23.27,23.27,23.27,200,23.27
2016-02-09,NA,NA,NA,NA,NA,NA
2016-02-10,23.57,23.57,23.57,23.57,400,23.57
2016-02-11,NA,NA,NA,NA,NA,NA
2016-02-12,NA,NA,NA,NA,NA,NA
2016-02-15,NA,NA,NA,NA,NA,NA
2016-02-16,24.219999,24.370001,24.219999,24.370001,400,24.370001
2016-02-17,NA,NA,NA,NA,NA,NA
2016-02-18,NA,NA,NA,NA,NA,NA
2016-02-19,24.309999,24.309999,24.309999,24.309999,200,24.309999
2016-02-22,NA,NA,NA,NA,NA,NA
2016-02-23,NA,NA,NA,NA,NA,NA
2016-02-24,23.780001,23.780001,23.780001,23.780001,400,23.780001
2016-02-25,24.110001,24.110001,24.110001,24.110001,200,24.110001
2016-02-26,23.790001,23.790001,23.790001,23.790001,200,23.790001
2016-02-29,NA,NA,NA,NA,NA,NA
2016-03-01,NA,NA,NA,NA,NA,NA
2016-03-02,NA,NA,NA,NA,NA,NA
2016-03-03,NA,NA,NA,NA,NA,NA
2016-03-04,NA,NA,NA,NA,NA,NA
2016-03-07,NA,NA,NA,NA,NA,NA
2016-03-08,NA,NA,NA,NA,NA,NA
2016-03-09,26.129999,26.129999,26.129999,26.129999,200,26.129999
2016-03-10,25.84,25.84,25.84,25.84,200,25.84
2016-03-11,26.32,26.32,26.32,26.32,200,26.32
2016-03-14,NA,NA,NA,NA,NA,NA
2016-03-15,NA,NA,NA,NA,NA,NA
2016-03-16,NA,NA,NA,NA,NA,NA
2016-03-17,27.049999,27.540001,27.049999,27.540001,400,27.540001
2016-03-18,27.809999,27.809999,27.809999,27.809999,200,27.809999
2016-03-21,27.540001,27.76,27.540001,27.690001,1000,27.690001
2016-03-22,27.440001,27.57,27.440001,27.57,778,27.57
2016-03-23,NA,NA,NA,NA,NA,NA
2016-03-24,NA,NA,NA,NA,NA,NA
2016-03-29,NA,NA,NA,NA,NA,NA
2016-03-30,28.110001,28.280001,28.110001,28.280001,425,28.280001
2016-03-31,28.139999,28.139999,28.139999,28.139999,75,28.139999
2016-04-01,NA,NA,NA,NA,NA,NA
2016-04-04,NA,NA,NA,NA,NA,NA
2016-04-05,NA,NA,NA,NA,NA,NA
2016-04-06,NA,NA,NA,NA,NA,NA
2016-04-07,NA,NA,NA,NA,NA,NA
2016-04-08,NA,NA,NA,NA,NA,NA
2016-04-11,28.07,28.07,28.07,28.07,200,28.07
2016-04-12,28.25,28.290001,28.25,28.290001,8700,28.290001
2016-04-13,NA,NA,NA,NA,NA,NA
2016-04-14,NA,NA,NA,NA,NA,NA
2016-04-15,NA,NA,NA,NA,NA,NA
2016-04-18,NA,NA,NA,NA,NA,NA
2016-04-19,NA,NA,NA,NA,NA,NA
2016-04-20,NA,NA,NA,NA,NA,NA
2016-04-21,NA,NA,NA,NA,NA,NA
2016-04-22,NA,NA,NA,NA,NA,NA
2016-04-25,29.02,29.02,29.02,29.02,200,29.02
2016-04-26,29.25,29.299999,29.25,29.27,600,29.27
2016-04-27,29.309999,29.309999,29.1,29.17,5600,29.17
2016-04-28,29.77,29.77,29.77,29.77,200,29.77
2016-04-29,29.690001,29.690001,29.690001,29.690001,200,29.690001
2016-05-02,NA,NA,NA,NA,NA,NA
2016-05-03,28.809999,28.809999,27.9,27.9,235,27.9
2016-05-04,27.32,27.32,27.32,27.32,200,27.32
2016-05-06,NA,NA,NA,NA,NA,NA
2016-05-09,27.23,27.23,26.530001,26.540001,600,26.540001
2016-05-10,26.540001,26.540001,26.540001,26.540001,200,26.540001
2016-05-11,NA,NA,NA,NA,NA,NA
2016-05-12,NA,NA,NA,NA,NA,NA
