date,open,high,low,close,volume,adjusted
2019-07-17,100,100,100,100,0,100
2019-07-18,100.009003,100.009003,100.009003,100.009003,0,100.009003
2019-07-19,100.023003,100.023003,100.023003,100.023003,0,100.023003
2019-07-22,100.026001,100.026001,100.026001,100.026001,0,100.026001
2019-07-23,100.032997,100.032997,100.032997,100.032997,0,100.032997
2019-07-24,100.040001,100.040001,100.040001,100.040001,0,100.040001
2019-07-25,100.043999,100.043999,100.043999,100.043999,0,100.043999
2019-07-26,100.061996,100.061996,100.061996,100.061996,0,100.061996
2019-07-29,100.065002,100.065002,100.065002,100.065002,0,100.065002
2019-07-30,100.070999,100.070999,100.070999,100.070999,0,100.070999
2019-07-31,100.081001,100.081001,100.081001,100.081001,0,100.081001
2019-08-02,100.100998,100.100998,100.100998,100.100998,0,100.100998
2019-08-05,100.112,100.112,100.112,100.112,0,100.112
2019-08-06,100.115997,100.115997,100.115997,100.115997,0,100.115997
2019-08-07,100.125,100.125,100.125,100.125,0,100.125
2019-08-08,100.129997,100.129997,100.129997,100.129997,0,100.129997
2019-08-09,100.147003,100.147003,100.147003,100.147003,0,100.147003
2019-08-12,100.153,100.153,100.153,100.153,0,100.153
2019-08-13,100.157997,100.157997,100.157997,100.157997,0,100.157997
2019-08-14,100.168999,100.168999,100.168999,100.168999,0,100.168999
2019-08-15,100.179001,100.179001,100.179001,100.179001,0,100.179001
2019-08-16,100.195,100.195,100.195,100.195,0,100.195
2019-08-19,100.196999,100.196999,100.196999,100.196999,0,100.196999
2019-08-20,100.200996,100.200996,100.200996,100.200996,0,100.200996
2019-08-21,100.203003,100.203003,100.203003,100.203003,0,100.203003
2019-08-22,100.207001,100.207001,100.207001,100.207001,0,100.207001
2019-08-23,100.223999,100.223999,100.223999,100.223999,0,100.223999
2019-08-26,100.224998,100.224998,100.224998,100.224998,0,100.224998
2019-08-27,100.228996,100.228996,100.228996,100.228996,0,100.228996
2019-08-28,100.234001,100.234001,100.234001,100.234001,0,100.234001
2019-08-29,100.239998,100.239998,100.239998,100.239998,0,100.239998
2019-08-30,100.260002,100.260002,100.260002,100.260002,0,100.260002
2019-09-02,100.259003,100.259003,100.259003,100.259003,0,100.259003
2019-09-03,100.266998,100.266998,100.266998,100.266998,0,100.266998
2019-09-04,100.273003,100.273003,100.273003,100.273003,0,100.273003
2019-09-05,100.278,100.278,100.278,100.278,0,100.278
2019-09-06,100.294998,100.294998,100.294998,100.294998,0,100.294998
2019-09-09,100.299004,100.299004,100.299004,100.299004,0,100.299004
2019-09-10,100.305,100.305,100.305,100.305,0,100.305
2019-09-11,100.311996,100.311996,100.311996,100.311996,0,100.311996
2019-09-12,100.318001,100.318001,100.318001,100.318001,0,100.318001
2019-09-13,100.332001,100.332001,100.332001,100.332001,0,100.332001
2019-09-16,100.332001,100.332001,100.332001,100.332001,0,100.332001
2019-09-17,100.334999,100.334999,100.334999,100.334999,0,100.334999
2019-09-18,100.350998,100.350998,100.350998,100.350998,0,100.350998
2019-09-19,100.355003,100.355003,100.355003,100.355003,0,100.355003
2019-09-20,100.375,100.375,100.375,100.375,0,100.375
2019-09-23,100.378998,100.378998,100.378998,100.378998,0,100.378998
2019-09-24,100.388,100.388,100.388,100.388,0,100.388
2019-09-25,100.396004,100.396004,100.396004,100.396004,0,100.396004
2019-09-26,100.403,100.403,100.403,100.403,0,100.403
2019-09-27,100.415001,100.415001,100.415001,100.415001,0,100.415001
2019-09-30,100.419998,100.419998,100.419998,100.419998,0,100.419998
2019-10-01,100.43,100.43,100.43,100.43,0,100.43
2019-10-02,100.440002,100.440002,100.440002,100.440002,0,100.440002
2019-10-03,100.448997,100.448997,100.448997,100.448997,0,100.448997
2019-10-04,100.462997,100.462997,100.462997,100.462997,0,100.462997
2019-10-07,100.463997,100.463997,100.463997,100.463997,0,100.463997
2019-10-08,100.472,100.472,100.472,100.472,0,100.472
2019-10-09,100.477997,100.477997,100.477997,100.477997,0,100.477997
2019-10-10,100.484001,100.484001,100.484001,100.484001,0,100.484001
2019-10-11,100.5,100.5,100.5,100.5,0,100.5
2019-10-14,100.5,100.5,100.5,100.5,0,100.5
2019-10-15,100.504997,100.504997,100.504997,100.504997,0,100.504997
2019-10-16,100.511002,100.511002,100.511002,100.511002,0,100.511002
2019-10-17,100.514999,100.514999,100.514999,100.514999,0,100.514999
2019-10-18,100.528,100.528,100.528,100.528,0,100.528
2019-10-21,100.530998,100.530998,100.530998,100.530998,0,100.530998
2019-10-22,100.535004,100.535004,100.535004,100.535004,0,100.535004
2019-10-23,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-10-24,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-10-25,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-10-28,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-10-29,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-10-30,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-10-31,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-11-01,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-11-04,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-11-05,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-11-06,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-11-07,100.519997,100.519997,100.519997,100.519997,0,100.519997
2019-11-08,101.099998,101.099998,101.099998,101.099998,105,101.099998
2019-11-11,101.099998,101.099998,101.099998,101.099998,0,101.099998
2019-11-12,101.040001,101.040001,101.040001,101.040001,270,101.040001
2019-11-13,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-14,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-15,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-18,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-19,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-20,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-21,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-22,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-25,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-26,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-27,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-28,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-11-29,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-02,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-03,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-04,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-05,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-06,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-09,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-10,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-11,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-12,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-13,101.040001,101.040001,101.040001,101.040001,0,101.040001
2019-12-16,101.160004,101.160004,101.160004,101.160004,15,101.160004
2019-12-17,100.239998,100.239998,100.239998,100.239998,15,100.239998
2019-12-18,100.239998,100.239998,100.239998,100.239998,0,100.239998
2019-12-19,100.699997,100.699997,100.699997,100.699997,0,100.699997
2019-12-20,100.699997,100.699997,100.699997,100.699997,0,100.699997
2019-12-23,100.699997,100.699997,100.699997,100.699997,0,100.699997
2019-12-27,100.699997,100.699997,100.699997,100.699997,0,100.699997
2019-12-30,100.699997,100.699997,100.699997,100.699997,0,100.699997
2020-01-03,100.699997,100.699997,100.699997,100.699997,0,100.699997
2020-01-06,100.699997,100.699997,100.699997,100.699997,0,100.699997
2020-01-07,101.260002,101.260002,101.260002,101.260002,62,101.260002
2020-01-08,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-09,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-10,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-13,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-14,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-15,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-16,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-17,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-20,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-21,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-22,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-23,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-24,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-27,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-28,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-29,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-30,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-01-31,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-02-03,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-02-04,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-02-05,101.260002,101.260002,101.260002,101.260002,0,101.260002
2020-02-06,101.379997,101.379997,101.379997,101.379997,38,101.379997
2020-02-07,101.379997,101.379997,101.379997,101.379997,0,101.379997
2020-02-10,101.379997,101.379997,101.379997,101.379997,0,101.379997
2020-02-11,101.480003,101.480003,101.480003,101.480003,3955,101.480003
2020-02-12,101.480003,101.480003,101.480003,101.480003,2470,101.480003
2020-02-13,101.480003,101.480003,101.480003,101.480003,0,101.480003
2020-02-14,101.480003,101.480003,101.480003,101.480003,0,101.480003
2020-02-17,101.400002,101.400002,101.400002,101.400002,0,101.400002
2020-02-18,101.400002,101.400002,101.400002,101.400002,0,101.400002
