date,open,high,low,close,volume,adjusted
2016-09-30,12.395,12.395,12.395,12.395,0,11.577597
2016-10-03,12.3971,12.3971,12.3971,12.3971,0,11.579556
2016-10-04,12.3602,12.3602,12.3602,12.3602,0,11.545091
2016-10-05,12.346,12.346,12.346,12.346,0,11.531826
2016-10-06,12.3432,12.3432,12.3432,12.3432,0,11.529211
2016-10-07,12.3443,12.3443,12.3443,12.3443,0,11.53024
2016-10-10,12.3457,12.3457,12.3457,12.3457,0,11.531548
2016-10-11,12.3371,12.3371,12.3371,12.3371,0,11.523514
2016-10-12,12.3276,12.3276,12.3276,12.3276,0,11.51464
2016-10-13,12.354,12.354,12.354,12.354,0,11.5393
2016-10-14,12.3476,12.3476,12.3476,12.3476,0,11.533322
2016-10-17,12.3843,12.3843,12.3843,12.3843,0,11.567601
2016-10-18,12.3882,12.3882,12.3882,12.3882,0,11.571243
2016-10-19,12.3988,12.3988,12.3988,12.3988,0,11.581145
2016-10-20,12.3928,12.3928,12.3928,12.3928,0,11.575541
2016-10-21,12.3934,12.3934,12.3934,12.3934,0,11.576101
2016-10-24,12.3792,12.3792,12.3792,12.3792,0,11.562838
2016-10-25,12.3885,12.3885,12.3885,12.3885,0,11.571524
2016-10-26,12.3826,12.3826,12.3826,12.3826,0,11.566013
2016-10-27,12.3571,12.3571,12.3571,12.3571,0,11.542194
2016-10-28,12.3674,12.3674,12.3674,12.3674,0,11.551818
2016-10-31,12.3794,12.3794,12.3794,12.3794,0,11.563025
2016-11-01,NA,NA,NA,NA,NA,NA
2016-11-02,12.3869,12.3869,12.3869,12.3869,0,11.570031
2016-11-03,12.368,12.368,12.368,12.368,0,11.552378
2016-11-04,12.3803,12.3803,12.3803,12.3803,0,11.563865
2016-11-07,12.42,12.42,12.42,12.42,3530,11.600948
2016-11-08,12.43,12.43,12.43,12.43,1650,11.610289
2016-11-09,12.44,12.44,12.42,12.42,24090,11.600948
2016-11-10,12.77,12.35,12.35,12.35,5000,11.535564
2016-11-11,12.35,12.35,12.35,12.35,16800,11.535564
2016-11-14,12.34,12.34,12.31,12.31,21620,11.498201
2016-11-15,12.3,12.3,12.29,12.29,16325,11.479522
2016-11-16,12.17,12.17,12.17,12.17,1510,11.367435
2016-11-17,12.2084,12.2084,12.2084,12.2084,0,11.403301
2016-11-18,12.25,12.25,12.25,12.25,1350,11.442159
2016-11-21,12.1863,12.1863,12.1863,12.1863,0,11.382661
2016-11-22,12.19,12.25,12.17,12.17,87276,11.367435
2016-11-23,12.25,12.26,12.25,12.26,114280,11.4515
2016-11-24,12.27,12.27,12.21,12.21,195282,11.404797
2016-11-25,12.205,12.21,12.205,12.205,17100,11.400126
2016-11-28,12.22,12.22,12.13,12.21,48787,11.404797
2016-11-29,12.19,12.19,12.18,12.18,33161,11.376775
2016-11-30,12.1933,12.1933,12.1933,12.1933,0,11.389197
2016-12-01,12.21,12.21,12.205,12.205,10350,11.400126
2016-12-02,12.24,12.24,12.24,12.24,8000,11.432817
2016-12-05,12.2,12.2,12.2,12.2,3000,11.395456
2016-12-06,12.22,12.22,12.15,12.22,26783,11.414138
2016-12-07,12.26,12.26,12.17,12.26,38863,11.4515
2016-12-08,12.19,12.19,12.19,12.19,1740,11.386115
