date,open,high,low,close,volume,adjusted
2016-09-30,12.212,12.212,12.212,12.212,0,12.212
2016-10-03,12.2117,12.2117,12.2117,12.2117,0,12.2117
2016-10-04,12.1728,12.1728,12.1728,12.1728,0,12.1728
2016-10-05,12.1573,12.1573,12.1573,12.1573,0,12.1573
2016-10-06,12.1513,12.1513,12.1513,12.1513,0,12.1513
2016-10-07,12.1519,12.1519,12.1519,12.1519,0,12.1519
2016-10-10,12.1528,12.1528,12.1528,12.1528,0,12.1528
2016-10-11,12.143,12.143,12.143,12.143,0,12.143
2016-10-12,12.1327,12.1327,12.1327,12.1327,0,12.1327
2016-10-13,12.158,12.158,12.158,12.158,0,12.158
2016-10-14,12.1515,12.1515,12.1515,12.1515,0,12.1515
2016-10-17,12.1878,12.1878,12.1878,12.1878,0,12.1878
2016-10-18,12.1907,12.1907,12.1907,12.1907,0,12.1907
2016-10-19,12.2002,12.2002,12.2002,12.2002,0,12.2002
2016-10-20,12.1923,12.1923,12.1923,12.1923,0,12.1923
2016-10-21,12.1925,12.1925,12.1925,12.1925,0,12.1925
2016-10-24,12.1774,12.1774,12.1774,12.1774,0,12.1774
2016-10-25,12.1862,12.1862,12.1862,12.1862,0,12.1862
2016-10-26,12.1797,12.1797,12.1797,12.1797,0,12.1797
2016-10-27,12.1518,12.1518,12.1518,12.1518,0,12.1518
2016-10-28,12.1615,12.1615,12.1615,12.1615,0,12.1615
2016-10-31,12.1743,12.1743,12.1743,12.1743,0,12.1743
2016-11-01,NA,NA,NA,NA,NA,NA
2016-11-02,12.1767,12.1767,12.1767,12.1767,0,12.1767
2016-11-03,12.1562,12.1562,12.1562,12.1562,0,12.1562
2016-11-04,12.168,12.168,12.168,12.168,0,12.168
2016-11-07,12.1671,12.1671,12.1671,12.1671,0,12.1671
2016-11-08,12.12,12.22,12.12,12.22,560,12.22
2016-11-09,12.08,12.08,12.08,12.08,924,12.08
2016-11-10,12.55,12.05,12.05,12.05,1988,12.05
2016-11-11,12.05,12.05,12.05,12.05,468,12.05
2016-11-14,12.1,12.1,12.01,12.09,21067,12.09
2016-11-15,11.97,12.08,11.96,12.08,1460,12.08
2016-11-16,12.03,12.03,11.95,12.03,3351,12.03
2016-11-17,12.04,12.04,12.04,12.03,4100,12.03
2016-11-18,11.93,12.02,11.93,12,5905,12
2016-11-21,12.01,12.01,12.01,12.01,835,12.01
2016-11-22,11.97,12.01,11.97,12.01,18676,12.01
2016-11-23,12.03,12.03,12.03,12.03,1660,12.03
2016-11-24,12.02,12.02,12.02,12.02,14345,12.02
2016-11-25,11.9,11.98,11.9,11.98,216601,11.98
2016-11-28,12.02,12.02,12.02,12.02,1700,12.02
2016-11-29,11.9,11.96,11.9,11.94,5770,11.94
2016-11-30,12,12,11.94,11.94,6520,11.94
2016-12-01,11.9,11.97,11.9,11.97,70153,11.97
2016-12-02,11.89,11.89,11.89,11.89,920,11.89
2016-12-05,11.89,11.89,11.89,11.89,0,11.89
2016-12-06,11.92,11.92,11.91,11.91,1101,11.91
2016-12-07,11.92,11.92,11.92,11.92,201,11.92
2016-12-08,12.02,12.02,11.96,12,22624,12
2016-12-09,12,12,11.99,12,7304,12
2016-12-12,11.98,11.98,11.92,11.92,9857,11.92
2016-12-13,11.91,11.96,11.91,11.96,17363,11.96
2016-12-14,11.92,11.96,11.92,11.96,2803,11.96
2016-12-15,11.84,11.84,11.78,11.84,68783,11.84
