date,open,high,low,close,volume,adjusted
2019-03-19,61.220001,61.220001,61.220001,61.220001,0,61.220001
2019-03-20,61.360001,61.360001,61.360001,61.360001,0,61.360001
2019-03-21,61.09,61.09,61.09,61.09,0,61.09
2019-03-22,61.09,61.09,61.09,61.09,0,61.09
2019-03-25,60.419998,60.419998,60.419998,60.419998,0,60.419998
2019-03-26,60.220001,60.220001,60.220001,60.220001,0,60.220001
2019-03-27,61.389999,61.389999,61.389999,61.389999,0,61.389999
2019-03-28,61.110001,61.110001,61.110001,61.110001,0,61.110001
2019-03-29,61.110001,61.110001,61.110001,61.110001,0,61.110001
2019-04-01,61.389999,61.389999,61.389999,61.389999,0,61.389999
2019-04-02,61.869999,61.869999,61.869999,61.869999,1920,61.869999
2019-04-03,61.869999,61.869999,61.869999,61.869999,0,61.869999
2019-04-04,62.59,62.59,62.59,62.59,0,62.59
2019-04-05,62.490002,62.490002,62.490002,62.490002,0,62.490002
2019-04-08,62.549999,62.549999,62.549999,62.549999,0,62.549999
2019-04-09,62.389999,62.389999,62.389999,62.389999,0,62.389999
2019-04-10,61.869999,61.869999,61.869999,61.869999,0,61.869999
2019-04-11,61.689999,61.689999,61.689999,61.689999,0,61.689999
2019-04-12,61.759998,61.759998,61.759998,61.759998,0,61.759998
2019-04-15,62.279999,62.279999,62.279999,62.279999,0,62.279999
2019-04-16,62.43,62.43,62.43,62.43,0,62.43
2019-04-17,62.689999,62.689999,62.689999,62.689999,0,62.689999
2019-04-18,62.689999,62.689999,62.689999,62.689999,0,62.689999
2019-04-23,62.650002,62.650002,62.650002,62.650002,0,62.650002
2019-04-24,62.650002,62.650002,62.650002,62.650002,0,62.650002
2019-04-25,62.150002,62.150002,62.150002,62.150002,0,62.150002
2019-04-26,62.150002,62.150002,62.150002,62.150002,0,62.150002
2019-04-29,62.369999,62.369999,62.369999,62.369999,0,62.369999
2019-04-30,62.639999,62.639999,62.639999,62.639999,0,62.639999
2019-05-02,62.639999,62.639999,62.639999,62.639999,0,62.639999
2019-05-03,62.279999,62.279999,62.279999,62.279999,0,62.279999
2019-05-06,61.580002,61.580002,61.580002,61.580002,2519,61.580002
2019-05-07,61.580002,61.580002,61.580002,61.580002,0,61.580002
2019-05-08,60.990002,60.990002,60.990002,60.990002,0,60.990002
2019-05-09,60.23,60.23,60.23,60.23,0,60.23
2019-05-10,58.830002,58.830002,58.830002,58.830002,0,58.830002
2019-05-13,58.919998,58.919998,58.919998,58.919998,0,58.919998
2019-05-14,58.389999,58.389999,58.389999,58.389999,0,58.389999
2019-05-15,59.32,59.32,59.32,59.32,0,59.32
2019-05-16,58.959999,58.959999,58.959999,58.959999,0,58.959999
2019-05-17,59.91,59.91,59.810001,59.810001,2340,59.810001
2019-05-20,59.810001,59.810001,59.810001,59.810001,0,59.810001
2019-05-21,59.419998,59.419998,59.419998,59.419998,0,59.419998
2019-05-22,59.849998,59.849998,59.849998,59.849998,0,59.849998
2019-05-23,59.560001,59.560001,59.560001,59.560001,0,59.560001
2019-05-24,58.810001,58.810001,58.810001,58.810001,0,58.810001
2019-05-27,59.209999,59.209999,59.209999,59.209999,0,59.209999
2019-05-28,59.610001,59.610001,59.610001,59.610001,0,59.610001
2019-05-29,59.369999,59.369999,59.369999,59.369999,0,59.369999
2019-05-31,58.700001,58.700001,58.700001,58.700001,0,58.700001
2019-06-03,58.119999,58.119999,58.119999,58.119999,0,58.119999
2019-06-04,58.080002,58.080002,58.080002,58.080002,0,58.080002
2019-06-05,58.380001,58.380001,58.380001,58.380001,0,58.380001
2019-06-06,58.720001,58.720001,58.720001,58.720001,0,58.720001
2019-06-07,58.790001,58.790001,58.790001,58.790001,0,58.790001
2019-06-11,59.279999,59.279999,59.279999,59.279999,0,59.279999
2019-06-12,59.720001,59.720001,59.720001,59.720001,0,59.720001
2019-06-13,59.720001,59.720001,59.720001,59.720001,0,59.720001
2019-06-14,59.720001,59.720001,59.720001,59.720001,0,59.720001
2019-06-17,59.720001,59.720001,59.720001,59.720001,0,59.720001
2019-06-18,59.720001,59.720001,59.720001,59.720001,0,59.720001
2019-06-19,59.720001,59.720001,59.720001,59.720001,0,59.720001
2019-06-20,59.860001,59.860001,59.860001,59.860001,0,59.860001
2019-06-21,59.990002,59.990002,59.990002,59.990002,0,59.990002
2019-06-24,59.950001,59.950001,59.950001,59.950001,0,59.950001
2019-06-25,59.619999,59.619999,59.619999,59.619999,0,59.619999
2019-06-26,59.400002,59.400002,59.400002,59.400002,0,59.400002
2019-06-27,59.41,59.41,59.41,59.41,0,59.41
2019-06-28,59.669998,59.669998,59.669998,59.669998,0,59.669998
2019-07-01,60.060001,60.060001,60.060001,60.060001,0,60.060001
2019-07-02,61.169998,61.169998,61.169998,61.169998,0,61.169998
2019-07-03,61.18,61.18,61.18,61.18,0,61.18
2019-07-04,61.330002,61.330002,61.330002,61.330002,0,61.330002
2019-07-05,61.330002,61.330002,61.330002,61.330002,0,61.330002
2019-07-08,61.330002,61.330002,61.330002,61.330002,0,61.330002
2019-07-09,61.32,61.32,61.32,61.32,0,61.32
2019-07-10,60.75,60.75,60.75,60.75,0,60.75
2019-07-11,60.799999,60.799999,60.799999,60.799999,0,60.799999
2019-07-12,60.880001,60.880001,60.880001,60.880001,0,60.880001
2019-07-15,60.759998,60.759998,60.759998,60.759998,0,60.759998
2019-07-16,60.759998,60.759998,60.759998,60.759998,0,60.759998
2019-07-17,60.689999,60.689999,60.689999,60.689999,0,60.689999
2019-07-18,60.509998,60.509998,60.509998,60.509998,0,60.509998
2019-07-19,59.509998,59.509998,59.509998,59.509998,0,59.509998
2019-07-22,60.220001,60.220001,60.220001,60.220001,0,60.220001
2019-07-23,60.220001,60.220001,60.220001,60.220001,0,60.220001
2019-07-24,60.779999,60.779999,60.779999,60.779999,0,60.779999
2019-07-25,60.799999,60.799999,60.799999,60.799999,0,60.799999
2019-07-26,60.799999,60.799999,60.799999,60.799999,0,60.799999
2019-07-29,60.799999,60.799999,60.799999,60.799999,0,60.799999
2019-07-30,60.799999,60.799999,60.799999,60.799999,0,60.799999
2019-07-31,60.529999,60.529999,60.529999,60.529999,0,60.529999
2019-08-02,60.66,60.66,60.66,60.66,0,60.66
2019-08-05,58.560001,58.560001,58.560001,58.560001,0,58.560001
2019-08-06,57.330002,57.330002,57.330002,57.330002,0,57.330002
2019-08-07,57.330002,57.330002,57.330002,57.330002,0,57.330002
2019-08-08,57.540001,57.540001,57.540001,57.540001,0,57.540001
2019-08-09,58.400002,58.400002,58.400002,58.400002,0,58.400002
2019-08-12,57.59,57.59,57.59,57.59,0,57.59
2019-08-13,57.290001,57.290001,57.290001,57.290001,0,57.290001
2019-08-14,58.150002,58.150002,58.150002,58.150002,0,58.150002
2019-08-15,56.82,56.82,56.82,56.82,0,56.82
2019-08-16,57.080002,57.080002,57.080002,57.080002,0,57.080002
2019-08-19,57.860001,57.860001,57.860001,57.860001,0,57.860001
2019-08-20,58.16,58.16,58.16,58.16,0,58.16
2019-08-21,58.009998,58.009998,58.009998,58.009998,0,58.009998
2019-08-22,NA,NA,NA,NA,NA,NA
2019-08-23,57.990002,57.990002,57.990002,57.990002,0,57.990002
2019-08-26,57.919998,57.919998,57.919998,57.919998,2719,57.919998
2019-08-27,57.919998,57.919998,57.919998,57.919998,0,57.919998
2019-08-28,57.919998,57.919998,57.919998,57.919998,0,57.919998
2019-08-29,57.869999,57.869999,57.869999,57.869999,0,57.869999
2019-08-30,58.380001,58.380001,58.380001,58.380001,0,58.380001
2019-09-02,58.380001,58.380001,58.380001,58.380001,0,58.380001
2019-09-03,58.380001,58.380001,58.380001,58.380001,0,58.380001
