date,open,high,low,close,volume,adjusted
2019-03-19,9403,9403,9403,9403,0,9403
2019-03-20,9407,9407,9407,9407,0,9407
2019-03-21,9362,9362,9362,9362,0,9362
2019-03-22,9257,9257,9216,9216,2500,9216
2019-03-25,9216,9216,9216,9216,0,9216
2019-03-26,9432,9432,9432,9432,27,9432
2019-03-27,9432,9432,9432,9432,0,9432
2019-03-28,9357,9357,9357,9357,0,9357
2019-03-29,9398,9398,9398,9398,350,9398
2019-04-01,9526,9526,9526,9526,2553,9526
2019-04-02,9475,9475,9475,9475,972,9475
2019-04-03,9475,9475,9475,9475,0,9475
2019-04-04,9585,9585,9585,9585,0,9585
2019-04-05,9568,9568,9568,9568,0,9568
2019-04-08,9576,9576,9576,9576,0,9576
2019-04-09,9550,9550,9550,9550,0,9550
2019-04-10,9468,9468,9468,9468,0,9468
2019-04-11,9441,9441,9441,9441,0,9441
2019-04-12,9471,9471,9471,9471,9845,9471
2019-04-15,9471,9471,9471,9471,0,9471
2019-04-16,9554,9554,9554,9554,0,9554
2019-04-17,9597,9597,9597,9597,0,9597
2019-04-18,9593,9593,9593,9593,0,9593
2019-04-23,9582,9582,9582,9582,0,9582
2019-04-24,9582,9582,9582,9582,0,9582
2019-04-25,9498,9498,9498,9498,0,9498
2019-04-26,9498,9498,9498,9498,0,9498
2019-04-29,9532,9532,9532,9532,0,9532
2019-04-30,9574,9574,9574,9574,0,9574
2019-05-02,9571,9571,9571,9571,0,9571
2019-05-03,9442,9550,9442,9550,249,9550
2019-05-06,9413,9413,9413,9413,1819,9413
2019-05-07,9413,9413,9413,9413,0,9413
2019-05-08,9185,9194,9185,9194,10595,9194
2019-05-09,9060,9066,9060,9066,250,9066
2019-05-10,9066,9066,9066,9066,0,9066
2019-05-13,9019,9019,9019,9019,0,9019
2019-05-14,8920,8920,8920,8920,0,8920
2019-05-15,9060,9060,9060,9060,0,9060
2019-05-16,9006,9006,9006,9006,0,9006
2019-05-17,9158,9158,9158,9158,0,9158
2019-05-20,9074,9074,9074,9074,268,9074
2019-05-21,9074,9074,9074,9074,0,9074
2019-05-22,9135,9135,9135,9135,0,9135
2019-05-23,9088,9088,9088,9088,0,9088
2019-05-24,8975,8975,8975,8975,0,8975
2019-05-27,9150,9150,9117,9117,16539,9117
2019-05-28,9117,9117,9117,9117,0,9117
2019-05-29,9057,9057,9057,9057,0,9057
2019-05-31,8957,8957,8957,8957,0,8957
2019-06-03,8870,8870,8870,8870,0,8870
2019-06-04,8775,8775,8775,8775,800,8775
2019-06-05,8775,8775,8775,8775,0,8775
2019-06-06,8959,8959,8959,8959,0,8959
2019-06-07,9042,9042,9042,9042,600,9042
2019-06-11,9042,9042,9042,9042,0,9042
2019-06-12,9179,9179,9179,9179,0,9179
2019-06-13,9126,9126,9126,9126,0,9126
2019-06-14,9062,9062,9062,9062,0,9062
2019-06-17,9050,9050,9050,9050,0,9050
2019-06-18,9028,9028,9020,9020,11288,9020
2019-06-19,9020,9020,9020,9020,0,9020
2019-06-20,9122,9122,9122,9122,0,9122
2019-06-21,9141,9141,9141,9141,0,9141
2019-06-24,9134,9134,9134,9134,0,9134
2019-06-25,9082,9082,9082,9082,0,9082
2019-06-26,9048,9048,9048,9048,0,9048
2019-06-27,9139,9148,9139,9148,983,9148
2019-06-28,9148,9148,9148,9148,0,9148
2019-07-01,9348,9348,9348,9348,1916,9348
2019-07-02,9348,9348,9348,9348,0,9348
2019-07-03,9336,9336,9336,9336,0,9336
2019-07-04,9339,9339,9339,9339,0,9339
2019-07-05,9357,9357,9357,9357,0,9357
2019-07-08,9326,9326,9326,9326,380,9326
2019-07-09,9326,9326,9326,9326,0,9326
2019-07-10,9247,9247,9247,9247,0,9247
2019-07-11,9255,9255,9255,9255,0,9255
2019-07-12,9266,9266,9266,9266,0,9266
2019-07-15,9245,9245,9245,9245,0,9245
2019-07-16,9248,9248,9248,9248,0,9248
2019-07-17,9236,9236,9236,9236,0,9236
2019-07-18,9204,9204,9204,9204,0,9204
2019-07-19,9051,9051,9051,9051,0,9051
2019-07-22,9158,9158,9158,9158,0,9158
2019-07-23,9158,9158,9158,9158,0,9158
2019-07-24,9242,9242,9242,9242,0,9242
2019-07-25,9244,9244,9244,9244,0,9244
2019-07-26,9244,9244,9244,9244,0,9244
2019-07-29,9244,9244,9244,9244,0,9244
2019-07-30,9244,9244,9244,9244,0,9244
2019-07-31,9198,9198,9198,9198,0,9198
2019-08-02,8965,8993,8965,8993,12555,8993
2019-08-05,8993,8993,8993,8993,0,8993
2019-08-06,8719,8719,8719,8719,0,8719
2019-08-07,8689,8689,8689,8689,0,8689
2019-08-08,8689,8689,8689,8689,0,8689
2019-08-09,8877,8877,8877,8877,0,8877
2019-08-12,8757,8757,8757,8757,0,8757
2019-08-13,8712,8712,8712,8712,0,8712
2019-08-14,8842,8842,8842,8842,0,8842
2019-08-15,8639,8639,8639,8639,0,8639
2019-08-16,8684,8684,8684,8684,0,8684
2019-08-19,8794,8794,8794,8794,0,8794
2019-08-20,8820,8820,8820,8820,567,8820
2019-08-21,8820,8820,8820,8820,0,8820
2019-08-22,NA,NA,NA,NA,NA,NA
2019-08-23,8809,8809,8809,8809,0,8809
2019-08-26,8796,8796,8796,8796,1919,8796
2019-08-27,8796,8796,8796,8796,0,8796
2019-08-28,8796,8796,8796,8796,0,8796
2019-08-29,8781,8781,8781,8781,0,8781
2019-08-30,8919,8919,8919,8919,385,8919
2019-09-02,8919,8919,8919,8919,0,8919
2019-09-03,8869,8869,8869,8869,0,8869
