date,open,high,low,close,volume,adjusted
2019-09-30,42.139999,42.139999,42.139999,42.145,541,42.145
2019-10-01,42.029999,42.029999,41.970001,42.334999,1173,42.334999
2019-10-02,42.314999,42.314999,42.314999,42.314999,0,42.314999
2019-10-03,NA,NA,NA,NA,NA,NA
2019-10-04,NA,NA,NA,NA,NA,NA
2019-10-07,NA,NA,NA,NA,NA,NA
2019-10-08,NA,NA,NA,NA,NA,NA
2019-10-09,NA,NA,NA,NA,NA,NA
2019-10-10,NA,NA,NA,NA,NA,NA
2019-10-11,NA,NA,NA,NA,NA,NA
2019-10-14,NA,NA,NA,NA,NA,NA
2019-10-15,NA,NA,NA,NA,NA,NA
2019-10-16,NA,NA,NA,NA,NA,NA
2019-10-17,NA,NA,NA,NA,NA,NA
2019-10-18,NA,NA,NA,NA,NA,NA
2019-10-21,NA,NA,NA,NA,NA,NA
2019-10-22,NA,NA,NA,NA,NA,NA
2019-10-23,NA,NA,NA,NA,NA,NA
2019-10-24,41.939999,41.939999,41.939999,41.939999,0,41.939999
2019-10-25,41.939999,41.939999,41.939999,41.939999,0,41.939999
