date,open,high,low,close,volume,adjusted
2012-06-18,9.6843,9.6843,9.6843,9.6843,0,9.451832
2012-06-19,9.8213,9.8213,9.8213,9.8213,0,9.585543
2012-06-20,9.9451,9.9451,9.9451,9.9451,0,9.70637
2012-06-21,9.8996,9.8996,9.8996,9.8996,0,9.661963
2012-06-22,9.8119,9.8119,9.8119,9.8119,0,9.576368
2012-06-25,9.698,9.698,9.698,9.698,0,9.465202
2012-06-26,9.6671,9.6671,9.6671,9.6671,0,9.435044
2012-06-27,9.7863,9.7863,9.7863,9.7863,0,9.551382
2012-06-28,9.7573,9.7573,9.7573,9.7573,0,9.523079
2012-06-29,9.9516,9.9516,9.9516,9.9516,0,9.712715
2012-07-02,10.0553,10.0553,10.0553,10.0553,0,9.813926
2012-07-03,10.1253,10.1253,10.1253,10.1253,0,9.882246
2012-07-04,10.0906,10.0906,10.0906,10.0906,0,9.848378
2012-07-05,10.0707,10.0707,10.0707,10.0707,0,9.828956
2012-07-06,10.0108,10.0108,10.0108,10.0108,0,9.770494
2012-07-09,9.9723,9.9723,9.9723,9.9723,0,9.732918
2012-07-10,10.0416,10.0416,10.0416,10.0416,0,9.800554
2012-07-11,9.9764,9.9764,9.9764,9.9764,0,9.73692
2012-07-12,9.8943,9.8943,9.8943,9.8943,0,9.656791
2012-07-13,9.9993,9.9993,9.9993,9.9993,0,9.75927
2012-07-16,10.0392,10.0392,10.0392,10.0392,0,9.798212
2012-07-17,9.9794,9.9794,9.9794,9.9794,0,9.739847
2012-07-18,10.0769,10.0769,10.0769,10.0769,0,9.835007
2012-07-19,10.1604,10.1604,10.1604,10.1604,0,9.916503
2012-07-20,10.0893,10.0893,10.0893,10.0893,0,9.84711
2012-07-23,9.8848,9.8848,9.8848,9.8848,0,9.647518
2012-07-24,9.8253,9.8253,9.8253,9.8253,0,9.589447
2012-07-25,9.8611,9.8611,9.8611,9.8611,0,9.624388
2012-07-26,10.0393,10.0393,10.0393,10.0393,0,9.798309
2012-07-27,10.1401,10.1401,10.1401,10.1401,0,9.896689
2012-07-30,10.1936,10.1936,10.1936,10.1936,0,9.948905
2012-07-31,10.1094,10.1094,10.1094,10.1094,0,9.866727
2012-08-02,10.1183,10.1183,10.1183,10.1183,0,9.875414
2012-08-03,10.33,10.33,10.33,10.33,0,10.082031
2012-08-06,10.3804,10.3804,10.3804,10.3804,0,10.131222
2012-08-07,10.444,10.444,10.444,10.444,0,10.193295
2012-08-08,10.4303,10.4303,10.4303,10.4303,0,10.179924
2012-08-09,10.4457,10.4457,10.4457,10.4457,0,10.194954
2012-08-10,10.4402,10.4402,10.4402,10.4402,0,10.189586
2012-08-13,10.4097,10.4097,10.4097,10.4097,0,10.159819
2012-08-14,10.486,10.486,10.486,10.486,0,10.234287
2012-08-15,10.4597,10.4597,10.4597,10.4597,0,10.208618
2012-08-16,10.4837,10.4837,10.4837,10.4837,0,10.232041
2012-08-17,10.5535,10.5535,10.5535,10.5535,0,10.300166
2012-08-20,10.5167,10.5167,10.5167,10.5167,0,10.26425
2012-08-21,10.534,10.534,10.534,10.534,0,10.281135
2012-08-22,10.4,10.4,10.4,10.4,0,10.150351
2012-08-23,10.3769,10.3769,10.3769,10.3769,0,10.127806
2012-08-24,10.3976,10.3976,10.3976,10.3976,0,10.148009
2012-08-27,NA,NA,NA,NA,NA,NA
2012-08-28,10.3697,10.3697,10.3697,10.3697,0,10.120779
2012-08-29,10.3872,10.3872,10.3872,10.3872,0,10.137858
2012-08-30,10.3668,10.3668,10.3668,10.3668,0,10.117949
2012-08-31,10.3664,10.3664,10.3664,10.3664,0,10.117558
2012-09-03,10.4438,10.4438,10.4438,10.4438,0,10.1931
2012-09-04,10.3343,10.3343,10.3343,10.3343,0,10.086228
2012-09-05,10.3606,10.3606,10.3606,10.3606,0,10.111897
2012-09-06,10.5431,10.5431,10.5431,10.5431,0,10.290016
2012-09-07,10.5963,10.5963,10.5963,10.5963,0,10.341939
2012-09-10,10.5873,10.5873,10.5873,10.5873,0,10.333156
2012-09-11,10.5523,10.5523,10.5523,10.5523,0,10.298996
2012-09-12,10.633,10.633,10.633,10.633,0,10.377758
2012-09-13,10.628,10.628,10.628,10.628,0,10.372878
2012-09-14,10.7799,10.7799,10.7799,10.7799,0,10.521132
2012-09-17,10.7482,10.7482,10.7482,10.7482,0,10.490193
2012-09-18,10.6859,10.6859,10.6859,10.6859,0,10.429388
2012-09-19,10.7378,10.7378,10.7378,10.7378,0,10.480042
2012-09-20,10.7314,10.7314,10.7314,10.7314,0,10.473796
2012-09-21,10.4987,10.4987,10.4987,10.4987,0,10.246682
2012-09-24,10.443,10.443,10.443,10.443,0,10.192319
2012-09-25,10.478,10.478,10.478,10.478,0,10.226479
2012-09-26,10.3195,10.3195,10.3195,10.3195,0,10.071783
2012-09-27,10.3303,10.3303,10.3303,10.3303,0,10.082325
2012-09-28,10.2384,10.2384,10.2384,10.2384,0,9.992631
2012-10-01,10.3413,10.3413,10.3413,10.3413,0,10.09306
2012-10-02,10.3726,10.3726,10.3726,10.3726,0,10.123609
2012-10-03,10.3859,10.3859,10.3859,10.3859,0,10.136589
2012-10-04,10.4082,10.4082,10.4082,10.4082,0,10.158355
2012-10-05,10.4594,10.4594,10.4594,10.4594,0,10.208325
2012-10-08,10.3936,10.3936,10.3936,10.3936,0,10.144105
2012-10-09,10.319,10.319,10.319,10.319,0,10.071296
2012-10-10,10.2457,10.2457,10.2457,10.2457,0,9.999755
2012-10-11,10.2913,10.2913,10.2913,10.2913,0,10.04426
2012-10-12,10.2193,10.2193,10.2193,10.2193,0,9.973989
2012-10-15,10.238,10.238,10.238,10.238,0,9.99224
2012-10-16,10.3243,10.3243,10.3243,10.3243,0,10.076468
2012-10-17,10.3704,10.3704,10.3704,10.3704,0,10.121462
2012-10-18,10.4009,10.4009,10.4009,10.4009,0,10.15123
2012-10-19,10.3656,10.3656,10.3656,10.3656,0,10.116776
2012-10-22,10.3429,10.3429,10.3429,10.3429,0,10.094622
2012-10-23,10.1927,10.1927,10.1927,10.1927,0,9.948028
2012-10-24,10.1993,10.1993,10.1993,10.1993,0,9.954469
2012-10-25,10.229,10.229,10.229,10.229,0,9.983456
2012-10-26,10.2316,10.2316,10.2316,10.2316,0,9.985993
2012-10-29,10.2066,10.2066,10.2066,10.2066,0,9.961594
2012-10-30,10.27,10.27,10.27,10.27,0,10.023472
2012-10-31,10.2415,10.2415,10.2415,10.2415,0,9.995656
2012-11-01,10.3783,10.3783,10.3783,10.3783,0,10.129171
2012-11-02,10.3618,10.3618,10.3618,10.3618,0,10.113069
2012-11-05,10.3349,10.3349,10.3349,10.3349,0,10.086814
2012-11-06,10.3985,10.3985,10.3985,10.3985,0,10.148888
2012-11-07,10.2612,10.2612,10.2612,10.2612,0,10.014883
2012-11-08,10.1146,10.1146,10.1146,10.1146,0,9.871802
2012-11-09,10.0872,10.0872,10.0872,10.0872,0,9.84506
2012-11-12,10.0415,10.0415,10.0415,10.0415,0,9.800457
2012-11-13,10.0263,10.0263,10.0263,10.0263,0,9.785622
2012-11-14,9.9628,9.9628,9.9628,9.9628,0,9.723646
2012-11-15,9.9115,9.9115,9.9115,9.9115,0,9.673577
2012-11-16,9.8435,9.8435,9.8435,9.8435,0,9.60721
2012-11-19,10.0241,10.0241,10.0241,10.0241,0,9.783475
2012-11-20,10.0395,10.0395,10.0395,10.0395,0,9.798505
2012-11-21,10.0398,10.0398,10.0398,10.0398,0,9.798798
2012-11-22,10.1619,10.1619,10.1619,10.1619,0,9.917966
2012-11-23,10.1998,10.1998,10.1998,10.1998,0,9.954956
2012-11-26,10.169,10.169,10.169,10.169,0,9.924896
2012-11-27,10.2052,10.2052,10.2052,10.2052,0,9.960227
2012-11-28,10.2413,10.2413,10.2413,10.2413,0,9.995461
2012-11-29,10.3656,10.3656,10.3656,10.3656,0,10.116776
2012-11-30,10.3462,10.3462,10.3462,10.3462,0,10.097842
2012-12-03,10.3861,10.3861,10.3861,10.3861,0,10.136785
2012-12-04,10.4062,10.4062,10.4062,10.4062,0,10.156403
2012-12-05,10.4542,10.4542,10.4542,10.4542,0,10.20325
2012-12-06,10.4366,10.4366,10.4366,10.4366,0,10.186072
2012-12-07,10.4515,10.4515,10.4515,10.4515,0,10.200615
2012-12-10,10.4552,10.4552,10.4552,10.4552,0,10.204226
2012-12-11,10.4748,10.4748,10.4748,10.4748,0,10.223355
2012-12-12,10.5026,10.5026,10.5026,10.5026,0,10.250488
2012-12-13,10.4928,10.4928,10.4928,10.4928,0,10.240923
2012-12-14,10.5227,10.5227,10.5227,10.5227,0,10.270106
2012-12-17,10.5148,10.5148,10.5148,10.5148,0,10.262396
2012-12-18,10.5817,10.5817,10.5817,10.5817,0,10.32769
2012-12-19,10.6184,10.6184,10.6184,10.6184,0,10.363508
2012-12-20,10.6511,10.6511,10.6511,10.6511,0,10.395424
2012-12-21,10.595,10.595,10.595,10.595,0,10.340671
2012-12-27,10.6178,10.6178,10.6178,10.6178,0,10.362923
2012-12-28,10.5615,10.5615,10.5615,10.5615,0,10.307974
2013-01-03,10.7871,10.7871,10.7871,10.7871,0,10.528159
2013-01-04,10.86,10.86,10.86,10.86,0,10.599309
2013-01-07,10.8473,10.8473,10.8473,10.8473,0,10.586913
2013-01-08,10.7982,10.7982,10.7982,10.7982,0,10.538992
2013-01-09,10.836,10.836,10.836,10.836,0,10.575886
2013-01-10,10.8638,10.8638,10.8638,10.8638,0,10.603018
2013-01-11,10.9115,10.9115,10.9115,10.9115,0,10.649572
2013-01-14,10.8642,10.8642,10.8642,10.8642,0,10.603408
2013-01-15,10.8984,10.8984,10.8984,10.8984,0,10.636787
2013-01-16,10.8875,10.8875,10.8875,10.8875,0,10.626148
2013-01-17,10.9288,10.9288,10.9288,10.9288,0,10.666457
2013-01-18,10.9647,10.9647,10.9647,10.9647,0,10.701495
