date,open,high,low,close,volume,adjusted
2019-09-17,7.158,7.158,7.158,7.158,0,7.12291
2019-09-18,7.146,7.146,7.146,7.146,0,7.110969
2019-09-19,7.138,7.138,7.138,7.138,0,7.103008
2019-09-20,7.16,7.16,7.16,7.16,0,7.1249
2019-09-23,NA,NA,NA,NA,NA,NA
2019-09-24,NA,NA,NA,NA,NA,NA
2019-09-25,NA,NA,NA,NA,NA,NA
2019-09-26,NA,NA,NA,NA,NA,NA
2019-09-27,NA,NA,NA,NA,NA,NA
2019-09-30,7.107,7.107,7.107,7.107,0,7.107
2019-10-01,7.107,7.107,7.107,7.107,0,7.107
2019-10-02,7.089,7.089,7.089,7.089,0,7.089
2019-10-03,6.888,6.888,6.888,6.888,0,6.888
2019-10-04,6.888,6.888,6.888,6.888,0,6.888
2019-10-07,6.934,6.934,6.934,6.934,0,6.934
2019-10-08,NA,NA,NA,NA,NA,NA
2019-10-09,NA,NA,NA,NA,NA,NA
2019-10-10,NA,NA,NA,NA,NA,NA
2019-10-11,NA,NA,NA,NA,NA,NA
2019-10-14,NA,NA,NA,NA,NA,NA
2019-10-15,NA,NA,NA,NA,NA,NA
2019-10-16,NA,NA,NA,NA,NA,NA
2019-10-17,NA,NA,NA,NA,NA,NA
2019-10-18,NA,NA,NA,NA,NA,NA
2019-10-21,NA,NA,NA,NA,NA,NA
2019-10-22,NA,NA,NA,NA,NA,NA
2019-10-23,NA,NA,NA,NA,NA,NA
2019-10-24,7.202,7.202,7.202,7.202,0,7.202
2019-10-25,7.202,7.202,7.202,7.202,0,7.202
