date,open,high,low,close,volume,adjusted
2015-06-30,12.9521,12.9521,12.9521,12.9521,0,12.9521
2015-07-01,13.2011,13.2011,13.2011,13.2011,0,13.2011
2015-07-02,13.0836,13.0836,13.0836,13.0836,0,13.0836
2015-07-03,13.0188,13.0188,13.0188,13.0188,0,13.0188
2015-07-06,12.7638,12.7638,12.7638,12.7638,0,12.7638
2015-07-07,12.5068,12.5068,12.5068,12.5068,0,12.5068
2015-07-08,12.6013,12.6013,12.6013,12.6013,0,12.6013
2015-07-09,12.9284,12.9284,12.9284,12.9284,0,12.9284
2015-07-10,13.3003,13.3003,13.3003,13.3003,0,13.3003
2015-07-13,13.5187,13.5187,13.5187,13.5187,0,13.5187
2015-07-14,13.5667,13.5667,13.5667,13.5667,0,13.5667
2015-07-15,13.6312,13.6312,13.6312,13.6312,0,13.6312
2015-07-16,13.823,13.823,13.823,13.823,0,13.823
2015-07-17,13.8125,13.8125,13.8125,13.8125,0,13.8125
2015-07-20,13.8912,13.8912,13.8912,13.8912,0,13.8912
2015-07-21,13.7543,13.7543,13.7543,13.7543,0,13.7543
2015-07-22,13.7033,13.7033,13.7033,13.7033,0,13.7033
2015-07-23,13.6952,13.6952,13.6952,13.6952,0,13.6952
2015-07-24,13.855,13.855,13.82,13.82,107870,13.82
2015-07-27,13.82,13.82,13.82,13.82,0,13.82
2015-07-28,13.495,13.5,13.495,13.5,15000,13.5
2015-07-29,13.5,13.5,13.5,13.5,0,13.5
2015-07-30,13.5,13.5,13.5,13.5,0,13.5
2015-07-31,13.62,13.62,13.62,13.62,4320,13.62
2015-08-03,13.535,13.535,13.535,13.535,4310,13.535
2015-08-04,13.535,13.535,13.535,13.535,0,13.535
2015-08-05,13.78,13.78,13.78,13.78,37700,13.78
2015-08-06,13.78,13.78,13.78,13.78,0,13.78
2015-08-07,13.78,13.78,13.78,13.78,0,13.78
2015-08-10,13.805,13.86,13.805,13.86,55000,13.86
2015-08-11,13.86,13.86,13.86,13.86,0,13.86
2015-08-12,13.26,13.265,13.15,13.15,358000,13.15
2015-08-13,13.15,13.15,13.15,13.15,0,13.15
2015-08-14,13.27,13.27,13.27,13.27,16200,13.27
2015-08-17,13.27,13.27,13.27,13.27,0,13.27
2015-08-18,13.27,13.27,13.27,13.27,0,13.27
2015-08-19,13.105,13.105,13.105,13.105,1865,13.105
2015-08-20,13.105,13.105,13.105,13.105,0,13.105
2015-08-21,13.105,13.105,13.105,13.105,0,13.105
2015-08-24,11.86,11.86,11.735,11.735,60615,11.735
2015-08-25,12.195,12.21,12.14,12.14,106020,12.14
2015-08-26,11.935,12.33,11.935,12.18,66025,12.18
2015-08-27,12.37,12.405,12.33,12.405,81935,12.405
2015-08-28,12.405,12.405,12.405,12.405,0,12.405
2015-08-31,12.355,12.355,12.355,12.355,8000,12.355
2015-09-01,12.095,12.185,12.095,12.1,61690,12.1
2015-09-02,12.17,12.17,12.17,12.17,9000,12.17
2015-09-03,12.32,12.32,12.32,12.32,13000,12.32
2015-09-04,12.185,12.185,12.185,12.185,2000,12.185
2015-09-07,12.185,12.185,12.185,12.185,0,12.185
2015-09-08,12.185,12.185,12.185,12.185,0,12.185
2015-09-09,12.185,12.185,12.185,12.185,0,12.185
2015-09-10,12.185,12.185,12.185,12.185,0,12.185
2015-09-11,12.185,12.185,12.185,12.185,0,12.185
2015-09-14,12.185,12.185,12.185,12.185,0,12.185
2015-09-15,12.185,12.185,12.185,12.185,0,12.185
2015-09-16,12.185,12.185,12.185,12.185,0,12.185
2015-09-17,12.295,12.295,12.295,12.295,7500,12.295
2015-09-18,12.295,12.295,12.295,12.295,0,12.295
2015-09-21,12.295,12.295,12.295,12.295,0,12.295
2015-09-22,12.23,12.23,11.89,11.89,40546,11.89
2015-09-23,11.89,11.89,11.89,11.89,0,11.89
2015-09-24,11.54,11.54,11.54,11.54,8610,11.54
2015-09-25,11.54,11.54,11.54,11.54,0,11.54
2015-09-28,11.54,11.54,11.54,11.54,0,11.54
2015-09-29,11.52,11.52,11.52,11.52,4420,11.52
2015-09-30,11.52,11.52,11.52,11.52,0,11.52
2015-10-01,11.52,11.52,11.52,11.52,0,11.52
