date,open,high,low,close,volume,adjusted
2018-06-28,2294,2294,2294,2294,0,2294
2018-06-29,2294,2294,2294,2294,0,2294
2018-07-02,2294,2294,2294,2294,0,2294
2018-07-03,2294,2294,2294,2294,0,2294
2018-07-04,2294,2294,2294,2294,0,2294
2018-07-05,2294,2294,2294,2294,0,2294
2018-07-06,2294,2294,2294,2294,0,2294
2018-07-09,NA,NA,NA,NA,NA,NA
2018-07-10,NA,NA,NA,NA,NA,NA
2018-07-11,NA,NA,NA,NA,NA,NA
2018-07-12,NA,NA,NA,NA,NA,NA
2018-07-13,NA,NA,NA,NA,NA,NA
2018-07-16,NA,NA,NA,NA,NA,NA
2018-07-17,NA,NA,NA,NA,NA,NA
2018-07-18,NA,NA,NA,NA,NA,NA
2018-07-19,2340,2340,2340,2340,0,2340
2018-07-20,2340,2340,2340,2340,0,2340
2018-07-23,2340,2340,2340,2340,0,2340
2018-07-24,2340,2340,2340,2340,0,2340
2018-07-25,2340,2340,2340,2340,0,2340
2018-07-26,2340,2340,2340,2340,0,2340
2018-07-27,2340,2340,2340,2340,0,2340
2018-07-30,2340,2340,2340,2340,0,2340
2018-07-31,NA,NA,NA,NA,NA,NA
2018-08-02,NA,NA,NA,NA,NA,NA
2018-08-03,NA,NA,NA,NA,NA,NA
2018-08-06,NA,NA,NA,NA,NA,NA
2018-08-07,2305,2305,2305,2305,0,2305
2018-08-08,2315,2315,2315,2315,614,2315
2018-08-09,2315,2315,2315,2315,0,2315
2018-08-10,2315,2315,2315,2315,0,2315
2018-08-13,2249,2249,2249,2249,100,2249
2018-08-14,2249,2249,2249,2249,0,2249
2018-08-15,2249,2249,2249,2249,0,2249
2018-08-16,2273,2273,2273,2273,56,2273
2018-08-17,2273,2273,2273,2273,0,2273
2018-08-20,2273,2273,2273,2273,0,2273
2018-08-21,2273,2273,2273,2273,0,2273
2018-08-22,2273,2273,2273,2273,0,2273
2018-08-23,2273,2273,2273,2273,0,2273
2018-08-24,2273,2273,2273,2273,0,2273
2018-08-27,2273,2273,2273,2273,0,2273
2018-08-28,NA,NA,NA,NA,NA,NA
2018-08-29,NA,NA,NA,NA,NA,NA
