date,open,high,low,close,volume,adjusted
2009-11-10,37.970001,38.119999,37.970001,37.970001,0,37.970001
2009-11-11,NA,NA,NA,NA,NA,NA
2009-11-12,NA,NA,NA,NA,NA,NA
2009-11-13,NA,NA,NA,NA,NA,NA
2009-11-16,NA,NA,NA,NA,NA,NA
2009-11-17,NA,NA,NA,NA,NA,NA
2009-11-18,NA,NA,NA,NA,NA,NA
2009-11-19,NA,NA,NA,NA,NA,NA
2009-11-20,NA,NA,NA,NA,NA,NA
2009-11-23,NA,NA,NA,NA,NA,NA
2009-11-24,NA,NA,NA,NA,NA,NA
2009-11-25,38.330002,38.380001,38.330002,38.380001,0,38.380001
2009-11-26,NA,NA,NA,NA,NA,NA
2009-11-27,NA,NA,NA,NA,NA,NA
2009-11-30,NA,NA,NA,NA,NA,NA
2009-12-01,NA,NA,NA,NA,NA,NA
2009-12-02,NA,NA,NA,NA,NA,NA
2009-12-03,NA,NA,NA,NA,NA,NA
2009-12-04,38.18,38.41,38.18,38.18,0,38.18
2009-12-07,37.560001,37.689999,37.560001,37.560001,0,37.560001
2009-12-08,NA,NA,NA,NA,NA,NA
2009-12-09,37.040001,37.169998,37.040001,37.040001,0,37.040001
2009-12-10,NA,NA,NA,NA,NA,NA
2009-12-11,37.27,37.400002,37.27,37.27,0,37.27
2009-12-14,NA,NA,NA,NA,NA,NA
2009-12-15,NA,NA,NA,NA,NA,NA
2009-12-16,NA,NA,NA,NA,NA,NA
2009-12-17,NA,NA,NA,NA,NA,NA
2009-12-18,NA,NA,NA,NA,NA,NA
2009-12-21,NA,NA,NA,NA,NA,NA
2009-12-22,NA,NA,NA,NA,NA,NA
2009-12-23,NA,NA,NA,NA,NA,NA
2009-12-24,NA,NA,NA,NA,NA,NA
2009-12-28,NA,NA,NA,NA,NA,NA
2009-12-29,NA,NA,NA,NA,NA,NA
2009-12-30,NA,NA,NA,NA,NA,NA
2009-12-31,NA,NA,NA,NA,NA,NA
2010-01-04,NA,NA,NA,NA,NA,NA
2010-01-05,NA,NA,NA,NA,NA,NA
2010-01-06,NA,NA,NA,NA,NA,NA
2010-01-07,NA,NA,NA,NA,NA,NA
2010-01-08,NA,NA,NA,NA,NA,NA
2010-01-11,39.740002,39.880001,39.740002,39.740002,0,39.740002
2010-01-12,NA,NA,NA,NA,NA,NA
2010-01-13,NA,NA,NA,NA,NA,NA
2010-01-14,NA,NA,NA,NA,NA,NA
2010-01-15,NA,NA,NA,NA,NA,NA
2010-01-18,39.43,39.57,39.43,39.43,0,39.43
2010-01-19,NA,NA,NA,NA,NA,NA
2010-01-20,NA,NA,NA,NA,NA,NA
2010-01-21,NA,NA,NA,NA,NA,NA
2010-01-22,NA,NA,NA,NA,NA,NA
2010-01-25,NA,NA,NA,NA,NA,NA
2010-01-26,NA,NA,NA,NA,NA,NA
2010-01-27,NA,NA,NA,NA,NA,NA
2010-01-28,NA,NA,NA,NA,NA,NA
2010-01-29,NA,NA,NA,NA,NA,NA
2010-02-01,35.66,35.779999,35.66,35.66,0,35.66
2010-02-02,NA,NA,NA,NA,NA,NA
2010-02-03,NA,NA,NA,NA,NA,NA
2010-02-04,NA,NA,NA,NA,NA,NA
2010-02-05,NA,NA,NA,NA,NA,NA
2010-02-08,NA,NA,NA,NA,NA,NA
2010-02-09,NA,NA,NA,NA,NA,NA
2010-02-10,NA,NA,NA,NA,NA,NA
2010-02-11,NA,NA,NA,NA,NA,NA
2010-02-12,NA,NA,NA,NA,NA,NA
2010-02-15,NA,NA,NA,NA,NA,NA
2010-02-16,NA,NA,NA,NA,NA,NA
2010-02-17,NA,NA,NA,NA,NA,NA
2010-02-18,NA,NA,NA,NA,NA,NA
2010-02-19,36.810001,36.939999,36.810001,36.810001,0,36.810001
2010-02-22,NA,NA,NA,NA,NA,NA
2010-02-23,NA,NA,NA,NA,NA,NA
2010-02-24,NA,NA,NA,NA,NA,NA
2010-02-25,36.369999,36.369999,36.369999,36.369999,190,36.369999
2010-02-26,NA,NA,NA,NA,NA,NA
2010-03-01,NA,NA,NA,NA,NA,NA
2010-03-02,NA,NA,NA,NA,NA,NA
2010-03-03,38.049999,38.27,38.049999,38.049999,0,38.049999
2010-03-04,NA,NA,NA,NA,NA,NA
2010-03-05,NA,NA,NA,NA,NA,NA
2010-03-08,NA,NA,NA,NA,NA,NA
2010-03-09,38.869999,39.009998,38.869999,38.869999,0,38.869999
2010-03-10,NA,NA,NA,NA,NA,NA
2010-03-11,NA,NA,NA,NA,NA,NA
2010-03-12,39.32,39.32,39.32,39.32,5200,39.32
2010-03-15,NA,NA,NA,NA,NA,NA
2010-03-16,NA,NA,NA,NA,NA,NA
2010-03-17,NA,NA,NA,NA,NA,NA
2010-03-18,NA,NA,NA,NA,NA,NA
2010-03-19,NA,NA,NA,NA,NA,NA
2010-03-22,NA,NA,NA,NA,NA,NA
2010-03-23,NA,NA,NA,NA,NA,NA
2010-03-24,NA,NA,NA,NA,NA,NA
2010-03-25,NA,NA,NA,NA,NA,NA
