date,open,high,low,close,volume,adjusted
2007-05-10,521.5,522.400024,519.5,521.799988,5650,521.799988
2007-05-11,519.200012,519.5,518.599976,519.5,350,519.5
2007-05-14,525,527.099976,520.700012,520.700012,1700,520.700012
2007-05-15,520.5,521.200012,519.900024,519.900024,1750,519.900024
2007-05-16,521.599976,523.299988,520.900024,522.900024,950,522.900024
2007-05-18,514.799988,519.200012,514.799988,519.200012,150,519.200012
2007-05-21,519.200012,521.200012,518,520.400024,4300,520.400024
2007-05-22,517.900024,517.900024,515.400024,515.400024,950,515.400024
2007-05-23,515.200012,515.200012,512.700012,513.299988,400,513.299988
2007-05-24,513.5,515,512.599976,514.099976,1700,514.099976
2007-05-25,509.399994,510,503.200012,503.200012,550,503.200012
2007-05-29,503.299988,503.299988,500,500,850,500
2007-05-30,500.899994,500.899994,499.399994,499.399994,300,499.399994
2007-05-31,502.600006,504.399994,501.899994,501.899994,400,501.899994
2007-06-01,511.399994,511.399994,511.399994,511.399994,200,511.399994
2007-06-04,513.5,513.5,510,510.899994,1150,510.899994
2007-06-05,512,512,509,509,100,509
2007-06-06,509.700012,509.700012,509.700012,509.700012,50,509.700012
2007-06-07,512.299988,514.200012,512.299988,514.200012,50,514.200012
2007-06-08,512.799988,512.799988,512.799988,512.799988,50,512.799988
2007-06-11,516.799988,516.900024,516.799988,516.900024,1100,516.900024
2007-06-12,517.5,517.5,517.299988,517.299988,100,517.299988
2007-06-13,516.099976,516.400024,513,513.599976,800,513.599976
2007-06-14,515.099976,515.099976,515.099976,515.099976,50,515.099976
2007-06-15,515.099976,515.099976,515.099976,515.099976,0,515.099976
2007-06-18,510,518.900024,510,516.299988,200,516.299988
2007-06-19,516.299988,516.299988,516.299988,516.299988,0,516.299988
2007-06-20,518.299988,518.299988,515.400024,515.400024,600,515.400024
2007-06-21,570,638,517,517.200012,800,517.200012
2007-06-22,517.200012,517.200012,517.200012,517.200012,0,517.200012
2007-06-25,600,600,515.5,515.5,50,515.5
2007-06-26,506.600006,506.600006,502.600006,502.600006,250,502.600006
2007-06-27,502.600006,502.600006,502.600006,502.600006,0,502.600006
2007-06-28,506.399994,506.399994,506.399994,506.399994,50,506.399994
2007-06-29,506.399994,506.399994,506.399994,506.399994,0,506.399994
2007-07-02,500,500.799988,497.5,500.799988,5250,500.799988
2007-07-03,505,505,505,505,50,505
2007-07-04,505,505,505,505,0,505
2007-07-05,505.399994,505.399994,505.399994,505.399994,350,505.399994
2007-07-06,505.399994,505.399994,505.399994,505.399994,0,505.399994
2007-07-09,505.899994,509.399994,505.899994,509.399994,3800,509.399994
2007-07-10,509.399994,509.399994,509.399994,509.399994,0,509.399994
2007-07-11,508.600006,508.600006,508.600006,508.600006,100,508.600006
2007-07-12,508.600006,508.600006,508.600006,508.600006,0,508.600006
2007-07-13,509.799988,509.799988,509.799988,509.799988,50,509.799988
2007-07-16,510.100006,510.100006,508.700012,508.700012,1100,508.700012
2007-07-17,504.5,507.399994,504.5,507.399994,100,507.399994
2007-07-18,508.899994,508.899994,508.899994,508.899994,50,508.899994
2007-07-19,508.899994,508.899994,508.899994,508.899994,0,508.899994
2007-07-20,509.399994,509.399994,509.399994,509.399994,0,509.399994
2007-07-23,513.799988,513.799988,513.799988,513.799988,0,513.799988
2007-07-24,518.099976,518.400024,515.599976,515.599976,5850,515.599976
2007-07-25,515.599976,515.599976,515.599976,515.599976,0,515.599976
2007-07-26,517.400024,517.400024,517.400024,517.400024,850,517.400024
2007-07-27,501.899994,501.899994,501.899994,501.899994,50,501.899994
2007-07-30,494.399994,494.399994,493,493,500,493
2007-07-31,493,493,493,493,0,493
2007-08-02,502.899994,502.899994,502.899994,502.899994,1050,502.899994
2007-08-03,495.299988,495.299988,495.299988,495.299988,50,495.299988
2007-08-06,497.399994,497.399994,497.399994,497.399994,200,497.399994
2007-08-07,497.399994,497.399994,497.399994,497.399994,0,497.399994
2007-08-08,494.399994,494.399994,494.399994,494.399994,0,494.399994
2007-08-09,494.399994,494.399994,494.399994,494.399994,0,494.399994
2007-08-10,489.700012,490,487.799988,490,650,490
2007-08-13,491.600006,494,491.600006,492.399994,200,492.399994
2007-08-14,492.399994,492.399994,492.399994,492.399994,0,492.399994
2007-08-15,492.399994,492.399994,492.399994,492.399994,0,492.399994
2007-08-16,490,490,490,490,100,490
2007-08-17,475,475,475,475,100,475
2007-08-20,484.5,484.5,484.5,484.5,200,484.5
2007-08-21,481.899994,481.899994,481.899994,481.899994,1000,481.899994
2007-08-22,477.799988,482.5,477.799988,482.5,150,482.5
2007-08-23,483.399994,483.399994,483.399994,483.399994,50,483.399994
2007-08-24,483.399994,483.399994,483.399994,483.399994,0,483.399994
2007-08-27,482.5,482.5,482.5,482.5,50,482.5
2007-08-28,487,487,487,487,50,487
2007-08-29,488,488,488,488,50,488
2007-08-30,488,488,488,488,0,488
2007-08-31,493.100006,493.100006,493.100006,493.100006,50,493.100006
2007-09-03,493.100006,493.100006,493.100006,493.100006,0,493.100006
2007-09-04,498.5,498.5,498.5,498.5,50,498.5
2007-09-05,498.5,498.5,498.5,498.5,0,498.5
2007-09-06,495.5,495.5,495.5,495.5,0,495.5
2007-09-07,500,500,500,500,50,500
2007-09-10,492.5,492.5,492.5,492.5,50,492.5
2007-09-11,495.700012,495.700012,495.700012,495.700012,100,495.700012
2007-09-12,497.600006,497.600006,497.600006,497.600006,50,497.600006
2007-09-13,497.600006,497.600006,497.600006,497.600006,50,497.600006
2007-09-14,497.5,497.5,497.5,497.5,0,497.5
2007-09-17,495.5,497.899994,495.5,497.899994,100,497.899994
2007-09-18,497.899994,497.899994,497.899994,497.899994,0,497.899994
2007-09-19,496,499.200012,496,496.200012,350,496.200012
2007-09-20,496.200012,496.200012,496.200012,496.200012,0,496.200012
2007-09-21,504,506,500.899994,500.899994,150,500.899994
2007-09-24,503.200012,503.200012,503.200012,503.200012,100,503.200012
2007-09-25,506.399994,506.399994,504,504,100,504
2007-09-26,508.600006,508.600006,504.600006,504.600006,100,504.600006
2007-09-27,506.600006,506.600006,506.600006,506.600006,600,506.600006
2007-09-28,520,520,520,520,50,520
2007-10-01,520,520,516.5,516.5,350,516.5
2007-10-02,510.899994,514.400024,510.399994,514.400024,650,514.400024
2007-10-03,514.599976,514.599976,513.200012,513.200012,1150,513.200012
2007-10-04,513.900024,516,513.200012,516,200,516
2007-10-05,520.299988,521.200012,520.299988,521.200012,450,521.200012
2007-10-08,523.599976,523.700012,522,522,300,522
2007-10-09,519,520,518.599976,520,200,520
2007-10-10,530,530,530,530,100,530
2007-10-11,529.400024,532.400024,529.400024,531.299988,1800,531.299988
2007-10-12,530.799988,535,530.799988,535,250,535
2007-10-15,542.299988,543,541.799988,543,150,543
2007-10-16,543,543,543,543,0,543
2007-10-17,537.799988,580,537.799988,540.700012,150,540.700012
2007-10-18,540.700012,540.700012,540.700012,540.700012,0,540.700012
2007-10-19,545.099976,545.099976,544.799988,544.799988,200,544.799988
2007-10-22,543.799988,543.799988,543.799988,543.799988,200,543.799988
2007-10-23,542,543.400024,542,543.400024,100,543.400024
2007-10-24,544.799988,544.799988,543,543,750,543
2007-10-25,544.5,544.700012,540.700012,544.700012,6100,544.700012
2007-10-26,546.400024,547.400024,546.400024,547.400024,1050,547.400024
2007-10-29,547.799988,548,547.799988,548,2250,548
2007-10-30,548,548,548,548,0,548
2007-10-31,540.200012,540.200012,540.200012,540.200012,600,540.200012
2007-11-01,540.200012,540.200012,540.200012,540.200012,0,540.200012
2007-11-02,540.200012,540.200012,530.799988,530.799988,300,530.799988
2007-11-05,540.200012,540.200012,536.200012,536.200012,550,536.200012
2007-11-06,542.599976,542.900024,520,538.299988,2050,538.299988
2007-11-07,536.200012,536.200012,528.700012,528.700012,150,528.700012
2007-11-08,528.700012,528.700012,528.700012,528.700012,0,528.700012
2007-11-09,525,525,520,520,200,520
2007-11-12,502,502,502,502,50,502
2007-11-13,509,513.799988,509,513.799988,500,513.799988
2007-11-14,516.900024,516.900024,516.900024,516.900024,150,516.900024
2007-11-15,516.700012,516.700012,516.700012,516.700012,50,516.700012
2007-11-16,522.099976,522.099976,522.099976,522.099976,100,522.099976
2007-11-19,524.900024,532,524.900024,532,100,532
2007-11-20,517.799988,517.799988,517.799988,517.799988,50,517.799988
2007-11-21,522.200012,522.200012,522.200012,522.200012,50,522.200012
2007-11-22,522,522,522,522,100,522
2007-11-23,521.400024,521.400024,521.400024,521.400024,50,521.400024
2007-11-26,525.400024,525.400024,525.400024,525.400024,100,525.400024
2007-11-27,519.799988,519.799988,518.599976,518.599976,200,518.599976
2007-11-28,518.599976,518.599976,518.599976,518.599976,0,518.599976
2007-11-29,515,515,515,515,400,515
2007-11-30,515,515,515,515,0,515
2007-12-03,518.700012,518.700012,518.700012,518.700012,0,518.700012
2007-12-04,527.799988,527.799988,527.799988,527.799988,300,527.799988
2007-12-05,527.799988,527.799988,527.799988,527.799988,0,527.799988
2007-12-06,527,527,527,527,50,527
2007-12-07,527,527,527,527,0,527
2007-12-10,527,527,527,527,250,527
2007-12-11,533.099976,533.099976,533.099976,533.099976,350,533.099976
2007-12-12,535.200012,535.200012,535.200012,535.200012,50,535.200012
2007-12-13,538.5,541.900024,538.5,541.900024,850,541.900024
2007-12-14,541.900024,541.900024,541.900024,541.900024,0,541.900024
2007-12-17,544,549.200012,543.700012,543.700012,350,543.700012
2007-12-18,552.299988,552.299988,552.299988,552.299988,300,552.299988
2007-12-19,560,560.900024,560,560.900024,250,560.900024
2007-12-20,558,563,558,559.700012,200,559.700012
2007-12-21,559.599976,564.799988,559.599976,564.599976,150,564.599976
2007-12-24,NA,NA,NA,NA,NA,NA
2007-12-27,566.400024,570,566.400024,570,100,570
2007-12-28,556,558.299988,555,558.299988,300,558.299988
2007-12-31,NA,NA,NA,NA,NA,NA
2008-01-03,555.099976,555.099976,549.299988,549.299988,150,549.299988
2008-01-04,555.299988,556.700012,550.400024,550.400024,150,550.400024
2008-01-07,548.900024,549.700012,548.900024,549.700012,350,549.700012
2008-01-08,554.200012,554.200012,553.599976,554,300,554
2008-01-09,556,556,556,556,50,556
2008-01-10,544.900024,551.200012,544.900024,551.200012,150,551.200012
2008-01-11,555.900024,555.900024,555.400024,555.400024,350,555.400024
2008-01-14,550.400024,551.099976,550.400024,551.099976,500,551.099976
2008-01-15,555.799988,555.799988,550,550,350,550
2008-01-16,545.200012,549.799988,545,547.799988,950,547.799988
