ISIN;CH0030252883;CH0030252909
SYMBOL;SLI;SLIC
NAME;SLI®;SLIC
;Price;Total Return
YTD Perf.%;    12.130;    12.440;
Date;Close;Close
05.03.2019; 1453.26;   2281.50;
04.03.2019; 1455.24;   2284.62;
01.03.2019; 1454.24;   2276.84;
28.02.2019; 1448.18;   2267.35;
27.02.2019; 1451.49;   2272.53;
26.02.2019; 1460.17;   2286.13;
25.02.2019; 1449.37;   2269.21;
22.02.2019; 1438.35;   2251.97;
21.02.2019; 1432.68;   2243.08;
20.02.2019; 1433.77;   2244.79;
19.02.2019; 1427.06;   2234.29;
18.02.2019; 1431.57;   2241.35;
15.02.2019; 1427.40;   2234.82;
14.02.2019; 1412.70;   2211.80;
13.02.2019; 1417.38;   2219.12;
12.02.2019; 1409.75;   2207.19;
11.02.2019; 1398.02;   2188.82;
08.02.2019; 1385.95;   2169.93;
07.02.2019; 1395.37;   2184.67;
06.02.2019; 1415.70;   2216.50;
05.02.2019; 1415.83;   2216.70;
04.02.2019; 1392.00;   2179.40;
01.02.2019; 1392.29;   2179.85;
31.01.2019; 1388.46;   2173.86;
30.01.2019; 1394.47;   2183.27;
29.01.2019; 1391.67;   2178.87;
28.01.2019; 1381.70;   2163.26;
25.01.2019; 1392.20;   2179.70;
24.01.2019; 1391.41;   2178.47;
23.01.2019; 1390.66;   2177.29;
22.01.2019; 1391.73;   2178.96;
21.01.2019; 1401.04;   2193.55;
18.01.2019; 1401.57;   2194.37;
17.01.2019; 1380.65;   2161.62;
16.01.2019; 1374.48;   2151.96;
15.01.2019; 1359.73;   2128.87;
14.01.2019; 1352.34;   2117.29;
11.01.2019; 1361.24;   2131.24;
10.01.2019; 1357.49;   2125.37;
09.01.2019; 1342.15;   2101.34;
08.01.2019; 1329.09;   2080.89;
07.01.2019; 1316.27;   2060.83;
04.01.2019; 1319.55;   2065.96;
03.01.2019; 1290.30;   2020.17;
28.12.2018; 1295.98;   2029.06;
27.12.2018; 1259.89;   1972.56;
21.12.2018; 1289.42;   2018.79;
20.12.2018; 1287.16;   2015.24;
19.12.2018; 1314.35;   2057.83;
18.12.2018; 1308.30;   2048.35;
17.12.2018; 1319.86;   2066.44;
14.12.2018; 1339.62;   2097.38;
13.12.2018; 1355.75;   2122.64;
12.12.2018; 1361.78;   2132.08;
11.12.2018; 1336.97;   2093.23;
10.12.2018; 1311.14;   2052.80;
07.12.2018; 1342.83;   2102.41;
06.12.2018; 1330.70;   2083.42;
05.12.2018; 1377.32;   2156.42;
04.12.2018; 1399.50;   2191.14;
03.12.2018; 1410.05;   2207.65;
30.11.2018; 1392.06;   2179.49;
29.11.2018; 1396.25;   2186.04;
28.11.2018; 1377.63;   2156.89;
27.11.2018; 1379.71;   2160.15;
26.11.2018; 1386.81;   2171.27;
23.11.2018; 1369.47;   2144.13;
22.11.2018; 1359.76;   2128.92;
21.11.2018; 1368.38;   2142.41;
20.11.2018; 1352.35;   2117.32;
19.11.2018; 1367.06;   2140.34;
16.11.2018; 1383.58;   2166.20;
15.11.2018; 1380.12;   2160.80;
14.11.2018; 1392.78;   2180.61;
13.11.2018; 1404.91;   2199.61;
12.11.2018; 1399.42;   2191.01;
09.11.2018; 1419.95;   2223.15;
08.11.2018; 1428.55;   2236.62;
07.11.2018; 1425.81;   2232.33;
06.11.2018; 1415.66;   2216.44;
05.11.2018; 1417.43;   2219.21;
02.11.2018; 1423.15;   2228.17;
01.11.2018; 1420.65;   2224.25;
31.10.2018; 1420.48;   2223.98;
30.10.2018; 1389.76;   2175.89;
29.10.2018; 1376.89;   2155.73;
26.10.2018; 1357.56;   2125.47;
25.10.2018; 1363.37;   2134.56;
24.10.2018; 1358.59;   2127.09;
23.10.2018; 1369.27;   2143.80;
22.10.2018; 1397.68;   2188.29;
19.10.2018; 1399.64;   2191.36;
18.10.2018; 1396.41;   2186.30;
